,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021년05월_계_총인구수,"317,184","18,675","24,467","16,372","21,061","8,878","27,185","48,906","20,512","31,985","26,554","30,253","16,883","14,316","11,137"
2021년05월_계_연령구간인구수,"317,184","18,675","24,467","16,372","21,061","8,878","27,185","48,906","20,512","31,985","26,554","30,253","16,883","14,316","11,137"
2021년05월_계_0~9세,"23,208",806,"1,925","1,267","1,771",473,"1,583","3,452","1,129","2,066","2,085","3,342","1,542","1,135",632
2021년05월_계_10~19세,"29,747","1,098","3,078","1,218","2,278",594,"2,020","4,315","1,662","3,404","3,137","3,296","1,812","1,240",595
2021년05월_계_20~29세,"44,852","2,484","3,206","2,101","2,792","1,336","4,178","7,888","3,119","5,759","3,622","3,274","2,220","1,761","1,112"
2021년05월_계_30~39세,"41,663","2,255","2,792","2,043","2,695","1,281","3,827","7,674","2,238","3,548","3,154","4,451","2,336","1,935","1,434"
2021년05월_계_40~49세,"50,634","2,452","4,265","2,500","3,609","1,364","4,104","8,356","2,887","5,106","4,179","5,482","2,589","2,275","1,466"
2021년05월_계_50~59세,"61,126","3,614","4,731","3,274","3,703","1,721","5,236","9,355","4,603","6,604","5,430","4,883","3,242","2,675","2,055"
2021년05월_계_60~69세,"42,704","3,677","2,800","2,494","2,696","1,293","4,037","5,543","3,086","3,576","3,426","3,513","2,185","2,175","2,203"
2021년05월_계_70~79세,"16,767","1,677","1,246","1,043","1,111",600,"1,506","1,735","1,233","1,337","1,100","1,485",709,802,"1,183"
2021년05월_계_80~89세,"5,789",556,369,378,352,195,629,513,504,519,379,476,218,290,411
2021년05월_계_90~99세,674,54,54,53,53,20,62,75,50,66,42,48,28,27,42
2021년05월_계_100세 이상,20,2,1,1,1,1,3,0,1,0,0,3,2,1,4
2021년05월_남_총인구수,"161,841","9,463","12,525","8,317","10,661","4,709","13,780","25,361","10,469","16,396","13,329","15,095","8,443","7,384","5,909"
2021년05월_남_연령구간인구수,"161,841","9,463","12,525","8,317","10,661","4,709","13,780","25,361","10,469","16,396","13,329","15,095","8,443","7,384","5,909"
2021년05월_남_0~9세,"11,919",414,"1,014",637,931,237,818,"1,740",635,"1,060","1,081","1,668",769,590,325
2021년05월_남_10~19세,"15,758",570,"1,665",653,"1,185",316,"1,096","2,279",872,"1,765","1,714","1,706",957,653,327
2021년05월_남_20~29세,"24,984","1,406","1,818","1,140","1,522",782,"2,298","4,318","1,749","3,316","2,076","1,768","1,191",960,640
2021년05월_남_30~39세,"22,307","1,275","1,450","1,104","1,442",710,"2,120","4,231","1,222","1,912","1,608","2,186","1,171","1,044",832
2021년05월_남_40~49세,"24,833","1,321","1,969","1,273","1,738",742,"2,078","4,105","1,446","2,390","1,828","2,691","1,207","1,191",854
2021년05월_남_50~59세,"30,672","1,777","2,447","1,648","1,871",891,"2,516","4,736","2,264","3,308","2,610","2,473","1,616","1,352","1,163"
2021년05월_남_60~69세,"21,213","1,728","1,404","1,221","1,308",652,"1,949","2,845","1,564","1,824","1,750","1,704","1,098","1,090","1,076"
2021년05월_남_70~79세,"8,010",760,607,483,522,300,688,916,540,625,534,722,358,411,544
2021년05월_남_80~89세,"2,024",204,144,151,131,77,205,175,167,184,120,164,72,87,143
2021년05월_남_90~99세,120,8,7,7,11,2,12,16,10,12,8,13,4,5,5
2021년05월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021년05월_여_총인구수,"155,343","9,212","11,942","8,055","10,400","4,169","13,405","23,545","10,043","15,589","13,225","15,158","8,440","6,932","5,228"
2021년05월_여_연령구간인구수,"155,343","9,212","11,942","8,055","10,400","4,169","13,405","23,545","10,043","15,589","13,225","15,158","8,440","6,932","5,228"
2021년05월_여_0~9세,"11,289",392,911,630,840,236,765,"1,712",494,"1,006","1,004","1,674",773,545,307
2021년05월_여_10~19세,"13,989",528,"1,413",565,"1,093",278,924,"2,036",790,"1,639","1,423","1,590",855,587,268
2021년05월_여_20~29세,"19,868","1,078","1,388",961,"1,270",554,"1,880","3,570","1,370","2,443","1,546","1,506","1,029",801,472
2021년05월_여_30~39세,"19,356",980,"1,342",939,"1,253",571,"1,707","3,443","1,016","1,636","1,546","2,265","1,165",891,602
2021년05월_여_40~49세,"25,801","1,131","2,296","1,227","1,871",622,"2,026","4,251","1,441","2,716","2,351","2,791","1,382","1,084",612
2021년05월_여_50~59세,"30,454","1,837","2,284","1,626","1,832",830,"2,720","4,619","2,339","3,296","2,820","2,410","1,626","1,323",892
2021년05월_여_60~69세,"21,491","1,949","1,396","1,273","1,388",641,"2,088","2,698","1,522","1,752","1,676","1,809","1,087","1,085","1,127"
2021년05월_여_70~79세,"8,757",917,639,560,589,300,818,819,693,712,566,763,351,391,639
2021년05월_여_80~89세,"3,765",352,225,227,221,118,424,338,337,335,259,312,146,203,268
2021년05월_여_90~99세,554,46,47,46,42,18,50,59,40,54,34,35,24,22,37
2021년05월_여_100세 이상,19,2,1,1,1,1,3,0,1,0,0,3,2,0,4
