,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년07월_계_총인구수,"157,757","40,462","5,839","20,163","11,886","15,053","21,069","9,036","21,899","12,350"
2020년07월_계_연령구간인구수,"157,757","40,462","5,839","20,163","11,886","15,053","21,069","9,036","21,899","12,350"
2020년07월_계_0~9세,"15,446","3,797",250,"2,282",965,"1,409","2,158",734,"2,512","1,339"
2020년07월_계_10~19세,"15,596","4,105",364,"1,926","1,188","1,372","2,315",928,"2,123","1,275"
2020년07월_계_20~29세,"18,034","4,677",728,"2,053","1,565","1,926","2,470",936,"2,488","1,191"
2020년07월_계_30~39세,"23,852","6,153",803,"3,111","1,577","2,293","2,808","1,192","4,018","1,897"
2020년07월_계_40~49세,"25,829","7,200",839,"3,264","1,984","2,275","3,441","1,425","3,381","2,020"
2020년07월_계_50~59세,"26,232","6,689","1,073","3,302","2,324","2,429","3,886","1,495","3,106","1,928"
2020년07월_계_60~69세,"21,947","5,137","1,143","2,696","1,597","2,152","2,754","1,523","3,149","1,796"
2020년07월_계_70~79세,"8,026","1,970",486,"1,085",481,934,903,611,901,655
2020년07월_계_80~89세,"2,409",620,136,395,182,225,281,164,189,217
2020년07월_계_90~99세,360,107,16,44,21,35,51,27,30,29
2020년07월_계_100세 이상,26,7,1,5,2,3,2,1,2,3
2020년07월_남_총인구수,"82,507","21,683","3,147","10,378","6,226","7,816","10,793","4,623","11,578","6,263"
2020년07월_남_연령구간인구수,"82,507","21,683","3,147","10,378","6,226","7,816","10,793","4,623","11,578","6,263"
2020년07월_남_0~9세,"7,928","1,948",132,"1,159",489,739,"1,076",374,"1,317",694
2020년07월_남_10~19세,"8,228","2,182",193,"1,019",639,748,"1,183",477,"1,151",636
2020년07월_남_20~29세,"10,167","2,678",417,"1,132",853,"1,012","1,394",550,"1,463",668
2020년07월_남_30~39세,"13,175","3,558",510,"1,600",889,"1,268","1,463",634,"2,237","1,016"
2020년07월_남_40~49세,"13,989","4,094",485,"1,782","1,040","1,223","1,766",759,"1,802","1,038"
2020년07월_남_50~59세,"12,956","3,449",554,"1,676","1,170","1,188","1,915",697,"1,412",895
2020년07월_남_60~69세,"11,169","2,626",552,"1,365",835,"1,046","1,417",768,"1,619",941
2020년07월_남_70~79세,"4,080",953,253,532,243,503,477,309,502,308
2020년07월_남_80~89세,764,187,47,106,67,79,96,53,68,61
2020년07월_남_90~99세,46,8,4,6,1,8,5,2,6,6
2020년07월_남_100세 이상,5,0,0,1,0,2,1,0,1,0
2020년07월_여_총인구수,"75,250","18,779","2,692","9,785","5,660","7,237","10,276","4,413","10,321","6,087"
2020년07월_여_연령구간인구수,"75,250","18,779","2,692","9,785","5,660","7,237","10,276","4,413","10,321","6,087"
2020년07월_여_0~9세,"7,518","1,849",118,"1,123",476,670,"1,082",360,"1,195",645
2020년07월_여_10~19세,"7,368","1,923",171,907,549,624,"1,132",451,972,639
2020년07월_여_20~29세,"7,867","1,999",311,921,712,914,"1,076",386,"1,025",523
2020년07월_여_30~39세,"10,677","2,595",293,"1,511",688,"1,025","1,345",558,"1,781",881
2020년07월_여_40~49세,"11,840","3,106",354,"1,482",944,"1,052","1,675",666,"1,579",982
2020년07월_여_50~59세,"13,276","3,240",519,"1,626","1,154","1,241","1,971",798,"1,694","1,033"
2020년07월_여_60~69세,"10,778","2,511",591,"1,331",762,"1,106","1,337",755,"1,530",855
2020년07월_여_70~79세,"3,946","1,017",233,553,238,431,426,302,399,347
2020년07월_여_80~89세,"1,645",433,89,289,115,146,185,111,121,156
2020년07월_여_90~99세,314,99,12,38,20,27,46,25,24,23
2020년07월_여_100세 이상,21,7,1,4,2,1,1,1,1,3
