카테고리,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼남면,울산광역시 울주군 삼동면
2020년01월_계_총인구수,"222,926","20,542","28,480","28,820","71,394","19,356","8,507","7,822","4,160","3,128","7,955","20,935","1,827"
2020년01월_계_연령구간인구수,"222,926","20,542","28,480","28,820","71,394","19,356","8,507","7,822","4,160","3,128","7,955","20,935","1,827"
2020년01월_계_0~9세,"18,935","1,634","2,537","2,806","7,189","1,865",551,305,127,64,292,"1,522",43
2020년01월_계_10~19세,"23,304","1,680","2,915","3,373","10,313","1,640",534,442,201,124,431,"1,578",73
2020년01월_계_20~29세,"26,581","2,584","3,602","3,311","9,152","2,334",781,876,301,184,749,"2,581",126
2020년01월_계_30~39세,"27,083","2,968","3,341","3,836","8,237","2,945",955,671,295,211,620,"2,899",105
2020년01월_계_40~49세,"38,199","3,777","4,679","5,433","14,269","3,037","1,173",840,460,271,949,"3,124",187
2020년01월_계_50~59세,"41,328","3,944","5,233","5,033","12,595","3,433","1,673","1,738",902,569,"1,751","4,090",367
2020년01월_계_60~69세,"27,353","2,385","3,563","2,903","6,077","2,447","1,527","1,556","1,002",770,"1,680","2,984",459
2020년01월_계_70~79세,"13,117","1,046","1,678","1,386","2,442","1,099",877,896,515,541,928,"1,432",277
2020년01월_계_80~89세,"6,070",453,808,657,989,476,383,432,294,330,467,622,159
2020년01월_계_90~99세,923,61,118,81,129,77,51,66,60,64,86,100,30
2020년01월_계_100세 이상,33,10,6,1,2,3,2,0,3,0,2,3,1
2020년01월_남_총인구수,"115,015","11,681","14,276","15,012","35,981","9,968","4,567","4,059","2,157","1,553","4,040","10,763",958
2020년01월_남_연령구간인구수,"115,015","11,681","14,276","15,012","35,981","9,968","4,567","4,059","2,157","1,553","4,040","10,763",958
2020년01월_남_0~9세,"9,723",850,"1,264","1,443","3,722",933,277,154,63,34,160,805,18
2020년01월_남_10~19세,"12,204",880,"1,489","1,767","5,426",817,295,246,111,61,244,823,45
2020년01월_남_20~29세,"15,023","1,610","2,037","1,824","5,051","1,256",461,519,177,115,430,"1,471",72
2020년01월_남_30~39세,"14,290","1,837","1,710","2,019","3,927","1,618",528,379,165,117,349,"1,580",61
2020년01월_남_40~49세,"19,586","2,310","2,323","2,866","6,652","1,569",730,466,269,167,494,"1,626",114
2020년01월_남_50~59세,"21,975","2,326","2,637","2,718","6,622","1,817",954,929,502,308,903,"2,044",215
2020년01월_남_60~69세,"14,098","1,251","1,767","1,552","3,148","1,278",752,803,526,407,852,"1,516",246
2020년01월_남_70~79세,"6,051",464,779,623,"1,112",503,427,414,245,240,450,664,130
2020년01월_남_80~89세,"1,903",139,255,185,299,164,133,133,87,95,145,213,55
2020년01월_남_90~99세,158,11,15,15,22,13,9,16,12,9,13,21,2
2020년01월_남_100세 이상,4,3,0,0,0,0,1,0,0,0,0,0,0
2020년01월_여_총인구수,"107,911","8,861","14,204","13,808","35,413","9,388","3,940","3,763","2,003","1,575","3,915","10,172",869
2020년01월_여_연령구간인구수,"107,911","8,861","14,204","13,808","35,413","9,388","3,940","3,763","2,003","1,575","3,915","10,172",869
2020년01월_여_0~9세,"9,212",784,"1,273","1,363","3,467",932,274,151,64,30,132,717,25
2020년01월_여_10~19세,"11,100",800,"1,426","1,606","4,887",823,239,196,90,63,187,755,28
2020년01월_여_20~29세,"11,558",974,"1,565","1,487","4,101","1,078",320,357,124,69,319,"1,110",54
2020년01월_여_30~39세,"12,793","1,131","1,631","1,817","4,310","1,327",427,292,130,94,271,"1,319",44
2020년01월_여_40~49세,"18,613","1,467","2,356","2,567","7,617","1,468",443,374,191,104,455,"1,498",73
2020년01월_여_50~59세,"19,353","1,618","2,596","2,315","5,973","1,616",719,809,400,261,848,"2,046",152
2020년01월_여_60~69세,"13,255","1,134","1,796","1,351","2,929","1,169",775,753,476,363,828,"1,468",213
2020년01월_여_70~79세,"7,066",582,899,763,"1,330",596,450,482,270,301,478,768,147
2020년01월_여_80~89세,"4,167",314,553,472,690,312,250,299,207,235,322,409,104
2020년01월_여_90~99세,765,50,103,66,107,64,42,50,48,55,73,79,28
2020년01월_여_100세 이상,29,7,6,1,2,3,1,0,3,0,2,3,1
