,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2020년12월_계_총인구수,"222,538","20,372","28,540","28,688","70,703","19,443","21,524","8,401","7,731","4,229","3,140","7,953","1,814"
2020년12월_계_연령구간인구수,"222,538","20,372","28,540","28,688","70,703","19,443","21,524","8,401","7,731","4,229","3,140","7,953","1,814"
2020년12월_계_0~9세,"17,806","1,498","2,436","2,620","6,659","1,814","1,499",494,272,140,57,265,52
2020년12월_계_10~19세,"22,472","1,632","2,799","3,284","10,026","1,558","1,486",521,393,190,110,406,67
2020년12월_계_20~29세,"26,512","2,534","3,548","3,315","9,217","2,324","2,675",735,847,305,172,722,118
2020년12월_계_30~39세,"25,848","2,813","3,285","3,543","7,719","2,905","2,914",885,623,289,208,551,113
2020년12월_계_40~49세,"37,317","3,708","4,557","5,371","13,804","2,963","3,165","1,181",799,431,253,920,165
2020년12월_계_50~59세,"41,890","3,997","5,273","5,132","12,906","3,500","4,229","1,599","1,696",913,563,"1,727",355
2020년12월_계_60~69세,"29,530","2,527","3,905","3,213","6,589","2,632","3,234","1,635","1,640","1,064",818,"1,808",465
2020년12월_계_70~79세,"13,741","1,115","1,751","1,432","2,581","1,144","1,549",905,929,538,545,973,279
2020년12월_계_80~89세,"6,416",472,851,685,"1,059",512,661,393,463,298,353,495,174
2020년12월_계_90~99세,972,65,128,92,141,86,111,51,69,59,61,84,25
2020년12월_계_100세 이상,34,11,7,1,2,5,1,2,0,2,0,2,1
2020년12월_남_총인구수,"114,918","11,639","14,323","14,975","35,564","10,065","11,051","4,532","4,034","2,190","1,558","4,051",936
2020년12월_남_연령구간인구수,"114,918","11,639","14,323","14,975","35,564","10,065","11,051","4,532","4,034","2,190","1,558","4,051",936
2020년12월_남_0~9세,"9,138",776,"1,213","1,357","3,406",925,788,261,146,72,30,144,20
2020년12월_남_10~19세,"11,693",859,"1,423","1,686","5,248",785,773,281,223,103,52,223,37
2020년12월_남_20~29세,"15,065","1,573","2,016","1,856","5,104","1,262","1,531",440,506,174,105,427,71
2020년12월_남_30~39세,"13,744","1,773","1,701","1,865","3,723","1,601","1,590",477,348,167,116,321,62
2020년12월_남_40~49세,"19,102","2,262","2,249","2,817","6,412","1,530","1,642",745,459,253,152,475,106
2020년12월_남_50~59세,"22,179","2,384","2,649","2,784","6,690","1,850","2,127",919,892,496,305,887,196
2020년12월_남_60~69세,"15,276","1,345","1,951","1,718","3,415","1,382","1,619",830,862,557,427,923,247
2020년12월_남_70~79세,"6,481",505,837,664,"1,215",540,733,423,437,269,252,476,130
2020년12월_남_80~89세,"2,054",149,262,208,327,172,227,145,143,90,108,160,63
2020년12월_남_90~99세,181,10,22,20,24,17,21,10,18,9,11,15,4
2020년12월_남_100세 이상,5,3,0,0,0,1,0,1,0,0,0,0,0
2020년12월_여_총인구수,"107,620","8,733","14,217","13,713","35,139","9,378","10,473","3,869","3,697","2,039","1,582","3,902",878
2020년12월_여_연령구간인구수,"107,620","8,733","14,217","13,713","35,139","9,378","10,473","3,869","3,697","2,039","1,582","3,902",878
2020년12월_여_0~9세,"8,668",722,"1,223","1,263","3,253",889,711,233,126,68,27,121,32
2020년12월_여_10~19세,"10,779",773,"1,376","1,598","4,778",773,713,240,170,87,58,183,30
2020년12월_여_20~29세,"11,447",961,"1,532","1,459","4,113","1,062","1,144",295,341,131,67,295,47
2020년12월_여_30~39세,"12,104","1,040","1,584","1,678","3,996","1,304","1,324",408,275,122,92,230,51
2020년12월_여_40~49세,"18,215","1,446","2,308","2,554","7,392","1,433","1,523",436,340,178,101,445,59
2020년12월_여_50~59세,"19,711","1,613","2,624","2,348","6,216","1,650","2,102",680,804,417,258,840,159
2020년12월_여_60~69세,"14,254","1,182","1,954","1,495","3,174","1,250","1,615",805,778,507,391,885,218
2020년12월_여_70~79세,"7,260",610,914,768,"1,366",604,816,482,492,269,293,497,149
2020년12월_여_80~89세,"4,362",323,589,477,732,340,434,248,320,208,245,335,111
2020년12월_여_90~99세,791,55,106,72,117,69,90,41,51,50,50,69,21
2020년12월_여_100세 이상,29,8,7,1,2,4,1,1,0,2,0,2,1
