,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년09월_계_총인구수,"218,862","10,394","17,416","8,954","4,885","11,393","13,535","19,694","33,985","23,306","22,633","20,517","11,017","21,133"
2020년09월_계_연령구간인구수,"218,862","10,394","17,416","8,954","4,885","11,393","13,535","19,694","33,985","23,306","22,633","20,517","11,017","21,133"
2020년09월_계_0~9세,"16,968",461,"1,402",433,238,947,479,"1,372","3,561","1,129","1,497","2,040","1,339","2,070"
2020년09월_계_10~19세,"20,290",651,"1,332",616,325,"1,128",678,"1,630","3,648","2,156","2,348","1,907","1,297","2,574"
2020년09월_계_20~29세,"27,237","1,104","2,198","1,359",601,"1,516","1,632","2,433","3,967","3,243","3,015","2,329","1,363","2,477"
2020년09월_계_30~39세,"26,841","1,077","2,505","1,043",523,"1,628","1,372","2,461","4,482","2,116","2,330","2,875","1,722","2,707"
2020년09월_계_40~49세,"34,622","1,421","2,674","1,176",587,"1,787","1,676","2,898","6,003","3,562","3,389","3,367","1,840","4,242"
2020년09월_계_50~59세,"41,693","1,933","3,486","1,808",992,"2,085","2,671","3,655","5,910","5,078","4,824","3,742","1,960","3,549"
2020년09월_계_60~69세,"31,327","2,035","2,470","1,482",966,"1,396","2,838","3,130","4,173","3,537","3,367","2,754","1,002","2,177"
2020년09월_계_70~79세,"14,110","1,235",973,756,468,629,"1,517","1,452","1,627","1,730","1,366","1,060",352,945
2020년09월_계_80~89세,"5,103",422,329,248,156,237,584,604,535,693,436,403,126,330
2020년09월_계_90~99세,615,50,45,31,22,37,65,57,78,60,57,38,15,60
2020년09월_계_100세 이상,56,5,2,2,7,3,23,2,1,2,4,2,1,2
2020년09월_남_총인구수,"110,913","5,305","9,070","4,558","2,442","5,682","6,982","9,876","16,985","11,840","11,470","10,398","5,541","10,764"
2020년09월_남_연령구간인구수,"110,913","5,305","9,070","4,558","2,442","5,682","6,982","9,876","16,985","11,840","11,470","10,398","5,541","10,764"
2020년09월_남_0~9세,"8,777",236,722,238,134,467,252,741,"1,893",554,746,"1,029",687,"1,078"
2020년09월_남_10~19세,"10,836",334,692,321,167,611,358,870,"1,930","1,201","1,278","1,033",678,"1,363"
2020년09월_남_20~29세,"15,169",630,"1,224",738,330,816,908,"1,347","2,266","1,834","1,704","1,300",724,"1,348"
2020년09월_남_30~39세,"14,114",616,"1,380",587,302,875,837,"1,275","2,169","1,161","1,224","1,474",844,"1,370"
2020년09월_남_40~49세,"17,595",808,"1,438",607,303,871,936,"1,452","2,947","1,777","1,656","1,752",883,"2,165"
2020년09월_남_50~59세,"20,791","1,022","1,794",898,469,"1,006","1,358","1,823","2,797","2,547","2,404","1,834","1,004","1,835"
2020년09월_남_60~69세,"15,282",957,"1,222",709,464,657,"1,436","1,514","2,028","1,746","1,637","1,353",510,"1,049"
2020년09월_남_70~79세,"6,472",543,475,367,203,299,662,623,772,788,649,483,160,448
2020년09월_남_80~89세,"1,762",153,115,88,59,74,216,216,173,219,165,134,48,102
2020년09월_남_90~99세,103,5,8,5,7,6,15,15,10,12,7,5,3,5
2020년09월_남_100세 이상,12,1,0,0,4,0,4,0,0,1,0,1,0,1
2020년09월_여_총인구수,"107,949","5,089","8,346","4,396","2,443","5,711","6,553","9,818","17,000","11,466","11,163","10,119","5,476","10,369"
2020년09월_여_연령구간인구수,"107,949","5,089","8,346","4,396","2,443","5,711","6,553","9,818","17,000","11,466","11,163","10,119","5,476","10,369"
2020년09월_여_0~9세,"8,191",225,680,195,104,480,227,631,"1,668",575,751,"1,011",652,992
2020년09월_여_10~19세,"9,454",317,640,295,158,517,320,760,"1,718",955,"1,070",874,619,"1,211"
2020년09월_여_20~29세,"12,068",474,974,621,271,700,724,"1,086","1,701","1,409","1,311","1,029",639,"1,129"
2020년09월_여_30~39세,"12,727",461,"1,125",456,221,753,535,"1,186","2,313",955,"1,106","1,401",878,"1,337"
2020년09월_여_40~49세,"17,027",613,"1,236",569,284,916,740,"1,446","3,056","1,785","1,733","1,615",957,"2,077"
2020년09월_여_50~59세,"20,902",911,"1,692",910,523,"1,079","1,313","1,832","3,113","2,531","2,420","1,908",956,"1,714"
2020년09월_여_60~69세,"16,045","1,078","1,248",773,502,739,"1,402","1,616","2,145","1,791","1,730","1,401",492,"1,128"
2020년09월_여_70~79세,"7,638",692,498,389,265,330,855,829,855,942,717,577,192,497
2020년09월_여_80~89세,"3,341",269,214,160,97,163,368,388,362,474,271,269,78,228
2020년09월_여_90~99세,512,45,37,26,15,31,50,42,68,48,50,33,12,55
2020년09월_여_100세 이상,44,4,2,2,3,3,19,2,1,1,4,1,1,1
