카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년03월_계_총인구수,"215,276","10,367","17,176","8,800","4,600","11,308","13,021","18,999","33,413","22,914","22,341","20,400","10,891","21,046"
2021년03월_계_연령구간인구수,"215,276","10,367","17,176","8,800","4,600","11,308","13,021","18,999","33,413","22,914","22,341","20,400","10,891","21,046"
2021년03월_계_0~9세,"16,182",442,"1,344",407,209,904,430,"1,303","3,356","1,044","1,471","2,011","1,307","1,954"
2021년03월_계_10~19세,"19,806",659,"1,292",594,304,"1,104",640,"1,573","3,651","2,016","2,256","1,910","1,264","2,543"
2021년03월_계_20~29세,"26,137","1,103","2,129","1,258",557,"1,472","1,549","2,292","3,775","3,117","2,903","2,221","1,309","2,452"
2021년03월_계_30~39세,"25,922","1,086","2,409","1,043",500,"1,593","1,289","2,311","4,287","2,042","2,301","2,816","1,656","2,589"
2021년03월_계_40~49세,"33,834","1,408","2,628","1,154",534,"1,790","1,587","2,784","5,920","3,350","3,270","3,366","1,821","4,222"
2021년03월_계_50~59세,"40,765","1,886","3,355","1,750",930,"2,049","2,541","3,482","5,803","5,038","4,708","3,636","1,971","3,616"
2021년03월_계_60~69세,"32,401","2,058","2,615","1,528",948,"1,448","2,833","3,145","4,315","3,745","3,510","2,918","1,048","2,290"
2021년03월_계_70~79세,"14,400","1,241","1,026",770,452,665,"1,522","1,438","1,684","1,782","1,406","1,078",361,975
2021년03월_계_80~89세,"5,196",429,333,263,154,247,570,609,538,714,459,403,132,345
2021년03월_계_90~99세,614,53,43,33,12,33,58,62,82,66,54,40,21,57
2021년03월_계_100세 이상,19,2,2,0,0,3,2,0,2,0,3,1,1,3
2021년03월_남_총인구수,"109,045","5,301","8,915","4,471","2,333","5,634","6,699","9,522","16,677","11,639","11,330","10,322","5,472","10,730"
2021년03월_남_연령구간인구수,"109,045","5,301","8,915","4,471","2,333","5,634","6,699","9,522","16,677","11,639","11,330","10,322","5,472","10,730"
2021년03월_남_0~9세,"8,343",227,679,222,123,438,227,706,"1,783",512,740,"1,012",664,"1,010"
2021년03월_남_10~19세,"10,571",340,673,318,167,591,328,849,"1,917","1,121","1,231","1,024",668,"1,344"
2021년03월_남_20~29세,"14,572",619,"1,179",671,304,809,882,"1,269","2,153","1,778","1,631","1,244",712,"1,321"
2021년03월_남_30~39세,"13,598",612,"1,315",584,295,853,775,"1,186","2,077","1,134","1,201","1,445",790,"1,331"
2021년03월_남_40~49세,"17,296",810,"1,414",608,286,876,883,"1,415","2,899","1,659","1,609","1,784",887,"2,166"
2021년03월_남_50~59세,"20,321","1,010","1,739",868,442,979,"1,292","1,721","2,744","2,526","2,352","1,771",993,"1,884"
2021년03월_남_60~69세,"15,785",980,"1,283",724,455,679,"1,431","1,525","2,108","1,837","1,702","1,418",544,"1,099"
2021년03월_남_70~79세,"6,630",537,501,376,203,324,653,619,803,823,679,492,156,464
2021년03월_남_80~89세,"1,831",158,128,94,55,78,215,217,182,235,182,129,53,105
2021년03월_남_90~99세,96,8,4,6,3,7,13,15,11,14,3,2,5,5
2021년03월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년03월_여_총인구수,"106,231","5,066","8,261","4,329","2,267","5,674","6,322","9,477","16,736","11,275","11,011","10,078","5,419","10,316"
2021년03월_여_연령구간인구수,"106,231","5,066","8,261","4,329","2,267","5,674","6,322","9,477","16,736","11,275","11,011","10,078","5,419","10,316"
2021년03월_여_0~9세,"7,839",215,665,185,86,466,203,597,"1,573",532,731,999,643,944
2021년03월_여_10~19세,"9,235",319,619,276,137,513,312,724,"1,734",895,"1,025",886,596,"1,199"
2021년03월_여_20~29세,"11,565",484,950,587,253,663,667,"1,023","1,622","1,339","1,272",977,597,"1,131"
2021년03월_여_30~39세,"12,324",474,"1,094",459,205,740,514,"1,125","2,210",908,"1,100","1,371",866,"1,258"
2021년03월_여_40~49세,"16,538",598,"1,214",546,248,914,704,"1,369","3,021","1,691","1,661","1,582",934,"2,056"
2021년03월_여_50~59세,"20,444",876,"1,616",882,488,"1,070","1,249","1,761","3,059","2,512","2,356","1,865",978,"1,732"
2021년03월_여_60~69세,"16,616","1,078","1,332",804,493,769,"1,402","1,620","2,207","1,908","1,808","1,500",504,"1,191"
2021년03월_여_70~79세,"7,770",704,525,394,249,341,869,819,881,959,727,586,205,511
2021년03월_여_80~89세,"3,365",271,205,169,99,169,355,392,356,479,277,274,79,240
2021년03월_여_90~99세,518,45,39,27,9,26,45,47,71,52,51,38,16,52
2021년03월_여_100세 이상,17,2,2,0,0,3,2,0,2,0,3,0,1,2
