,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년12월_계_총인구수,"2,942,828","139,729","62,542","404,343","387,450","525,354","494,962","296,750","542,040","69,203","20,455"
2020년12월_계_연령구간인구수,"2,942,828","139,729","62,542","404,343","387,450","525,354","494,962","296,750","542,040","69,203","20,455"
2020년12월_계_0~9세,"228,634","11,895","3,742","27,193","38,415","41,814","32,905","18,490","49,907","3,334",939
2020년12월_계_10~19세,"274,162","12,649","5,029","31,658","42,712","49,852","43,210","26,706","56,627","4,617","1,102"
2020년12월_계_20~29세,"401,546","19,133","6,640","57,331","52,362","71,020","70,185","44,194","72,603","5,356","2,722"
2020년12월_계_30~39세,"406,146","21,309","6,863","55,697","57,935","72,394","67,436","37,858","79,439","5,326","1,889"
2020년12월_계_40~49세,"483,977","24,596","9,993","63,407","68,485","88,772","77,416","45,784","95,351","7,764","2,409"
2020년12월_계_50~59세,"512,167","20,446","10,171","67,187","64,469","90,151","90,154","60,609","93,412","11,963","3,605"
2020년12월_계_60~69세,"367,879","15,926","10,028","55,629","38,775","65,811","66,008","39,089","58,312","14,277","4,024"
2020년12월_계_70~79세,"177,503","9,320","6,710","31,257","15,644","30,829","31,387","15,551","24,355","10,079","2,371"
2020년12월_계_80~89세,"77,504","3,762","2,846","12,826","7,272","12,542","13,940","7,277","10,255","5,643","1,141"
2020년12월_계_90~99세,"12,341",612,447,"1,981","1,317","2,028","2,118","1,121","1,669",809,239
2020년12월_계_100세 이상,969,81,73,177,64,141,203,71,110,35,14
2020년12월_남_총인구수,"1,473,943","72,485","31,575","203,638","192,570","260,923","244,713","147,976","273,778","34,644","11,641"
2020년12월_남_연령구간인구수,"1,473,943","72,485","31,575","203,638","192,570","260,923","244,713","147,976","273,778","34,644","11,641"
2020년12월_남_0~9세,"117,356","6,128","1,964","13,912","19,554","21,501","16,846","9,385","25,830","1,754",482
2020년12월_남_10~19세,"141,025","6,562","2,608","16,284","21,943","25,520","22,391","13,733","29,021","2,370",593
2020년12월_남_20~29세,"209,363","9,704","3,616","30,262","27,124","36,637","36,146","23,157","37,666","3,060","1,991"
2020년12월_남_30~39세,"210,025","11,572","3,655","29,925","28,546","37,262","34,803","19,725","40,572","2,798","1,167"
2020년12월_남_40~49세,"247,402","13,444","5,394","33,593","33,779","45,108","38,950","22,761","48,637","4,221","1,515"
2020년12월_남_50~59세,"256,037","11,261","5,415","33,718","31,829","44,486","44,153","29,541","47,408","6,154","2,072"
2020년12월_남_60~69세,"182,261","7,955","4,823","26,658","19,913","31,751","32,108","20,087","29,678","7,114","2,174"
2020년12월_남_70~79세,"80,868","4,333","2,964","14,151","7,210","13,951","14,136","6,988","11,225","4,737","1,173"
2020년12월_남_80~89세,"26,682","1,348","1,003","4,625","2,356","4,266","4,716","2,338","3,379","2,231",420
2020년12월_남_90~99세,"2,665",152,110,463,299,408,419,243,325,196,50
2020년12월_남_100세 이상,259,26,23,47,17,33,45,18,37,9,4
2020년12월_여_총인구수,"1,468,885","67,244","30,967","200,705","194,880","264,431","250,249","148,774","268,262","34,559","8,814"
2020년12월_여_연령구간인구수,"1,468,885","67,244","30,967","200,705","194,880","264,431","250,249","148,774","268,262","34,559","8,814"
2020년12월_여_0~9세,"111,278","5,767","1,778","13,281","18,861","20,313","16,059","9,105","24,077","1,580",457
2020년12월_여_10~19세,"133,137","6,087","2,421","15,374","20,769","24,332","20,819","12,973","27,606","2,247",509
2020년12월_여_20~29세,"192,183","9,429","3,024","27,069","25,238","34,383","34,039","21,037","34,937","2,296",731
2020년12월_여_30~39세,"196,121","9,737","3,208","25,772","29,389","35,132","32,633","18,133","38,867","2,528",722
2020년12월_여_40~49세,"236,575","11,152","4,599","29,814","34,706","43,664","38,466","23,023","46,714","3,543",894
2020년12월_여_50~59세,"256,130","9,185","4,756","33,469","32,640","45,665","46,001","31,068","46,004","5,809","1,533"
2020년12월_여_60~69세,"185,618","7,971","5,205","28,971","18,862","34,060","33,900","19,002","28,634","7,163","1,850"
2020년12월_여_70~79세,"96,635","4,987","3,746","17,106","8,434","16,878","17,251","8,563","13,130","5,342","1,198"
2020년12월_여_80~89세,"50,822","2,414","1,843","8,201","4,916","8,276","9,224","4,939","6,876","3,412",721
2020년12월_여_90~99세,"9,676",460,337,"1,518","1,018","1,620","1,699",878,"1,344",613,189
2020년12월_여_100세 이상,710,55,50,130,47,108,158,53,73,26,10
