카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년07월_계_총인구수,"139,042","6,390","5,245","13,463","4,106","3,424","6,012","2,934","4,598","15,551","43,117","30,065","4,137"
2020년07월_계_연령구간인구수,"139,042","6,390","5,245","13,463","4,106","3,424","6,012","2,934","4,598","15,551","43,117","30,065","4,137"
2020년07월_계_0~9세,"12,190",263,244,902,149,120,204,93,211,968,"7,189","1,753",94
2020년07월_계_10~19세,"12,546",374,362,"1,144",303,214,295,158,339,"1,218","4,627","3,392",120
2020년07월_계_20~29세,"19,315",642,559,"1,647",432,372,652,305,533,"2,140","4,054","7,700",279
2020년07월_계_30~39세,"21,331",636,509,"1,674",413,316,673,254,471,"2,248","9,169","4,678",290
2020년07월_계_40~49세,"24,419",885,826,"2,080",585,498,800,405,616,"2,543","9,121","5,541",519
2020년07월_계_50~59세,"20,192","1,343",905,"2,307",745,643,"1,140",542,857,"2,749","4,395","3,629",937
2020년07월_계_60~69세,"15,544","1,261",826,"1,953",728,629,"1,105",554,781,"2,195","2,744","1,727","1,041"
2020년07월_계_70~79세,"9,205",642,631,"1,190",523,432,728,417,536,995,"1,327","1,177",607
2020년07월_계_80~89세,"3,609",281,318,481,190,163,335,168,206,404,430,428,205
2020년07월_계_90~99세,611,59,59,79,35,32,67,29,36,78,59,38,40
2020년07월_계_100세 이상,80,4,6,6,3,5,13,9,12,13,2,2,5
2020년07월_남_총인구수,"71,985","3,457","2,644","6,814","2,088","1,763","3,175","1,521","2,266","8,623","21,664","15,637","2,333"
2020년07월_남_연령구간인구수,"71,985","3,457","2,644","6,814","2,088","1,763","3,175","1,521","2,266","8,623","21,664","15,637","2,333"
2020년07월_남_0~9세,"6,271",138,137,450,64,72,92,62,106,500,"3,703",902,45
2020년07월_남_10~19세,"6,509",184,184,589,172,103,156,79,168,642,"2,359","1,814",59
2020년07월_남_20~29세,"9,753",382,306,870,238,205,364,172,284,"1,227","1,967","3,556",182
2020년07월_남_30~39세,"11,520",374,275,882,231,182,392,150,262,"1,348","4,456","2,785",183
2020년07월_남_40~49세,"13,399",532,448,"1,101",324,273,484,222,342,"1,500","4,867","2,959",347
2020년07월_남_50~59세,"11,057",774,486,"1,222",396,360,661,309,440,"1,558","2,239","2,056",556
2020년07월_남_60~69세,"7,733",648,392,979,344,312,558,273,354,"1,182","1,258",873,560
2020년07월_남_70~79세,"4,267",304,281,526,236,199,339,178,230,502,650,504,318
2020년07월_남_80~89세,"1,301",103,117,178,71,53,108,61,64,142,153,176,75
2020년07월_남_90~99세,149,17,17,14,12,4,17,13,9,17,11,10,8
2020년07월_남_100세 이상,26,1,1,3,0,0,4,2,7,5,1,2,0
2020년07월_여_총인구수,"67,057","2,933","2,601","6,649","2,018","1,661","2,837","1,413","2,332","6,928","21,453","14,428","1,804"
2020년07월_여_연령구간인구수,"67,057","2,933","2,601","6,649","2,018","1,661","2,837","1,413","2,332","6,928","21,453","14,428","1,804"
2020년07월_여_0~9세,"5,919",125,107,452,85,48,112,31,105,468,"3,486",851,49
2020년07월_여_10~19세,"6,037",190,178,555,131,111,139,79,171,576,"2,268","1,578",61
2020년07월_여_20~29세,"9,562",260,253,777,194,167,288,133,249,913,"2,087","4,144",97
2020년07월_여_30~39세,"9,811",262,234,792,182,134,281,104,209,900,"4,713","1,893",107
2020년07월_여_40~49세,"11,020",353,378,979,261,225,316,183,274,"1,043","4,254","2,582",172
2020년07월_여_50~59세,"9,135",569,419,"1,085",349,283,479,233,417,"1,191","2,156","1,573",381
2020년07월_여_60~69세,"7,811",613,434,974,384,317,547,281,427,"1,013","1,486",854,481
2020년07월_여_70~79세,"4,938",338,350,664,287,233,389,239,306,493,677,673,289
2020년07월_여_80~89세,"2,308",178,201,303,119,110,227,107,142,262,277,252,130
2020년07월_여_90~99세,462,42,42,65,23,28,50,16,27,61,48,28,32
2020년07월_여_100세 이상,54,3,5,3,3,5,9,7,5,8,1,0,5
