,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2021년03월_계_총인구수,"51,705,905","9,598,484","3,372,399","2,408,875","2,936,461","1,445,473","1,458,463","1,129,254","360,462","13,465,837","1,536,399","1,595,714","2,115,823","1,797,450","1,844,811","2,635,563","3,330,463","673,974"
2021년03월_계_연령구간인구수,"51,705,905","9,598,484","3,372,399","2,408,875","2,936,461","1,445,473","1,458,463","1,129,254","360,462","13,465,837","1,536,399","1,595,714","2,115,823","1,797,450","1,844,811","2,635,563","3,330,463","673,974"
2021년03월_계_0~9세,"3,908,794","611,000","228,788","175,023","224,970","117,808","112,297","96,422","47,300","1,134,030","104,267","121,435","169,781","126,003","129,808","186,212","263,754","59,896"
2021년03월_계_10~19세,"4,761,113","773,744","269,772","223,056","272,731","155,277","145,010","111,038","43,522","1,325,112","136,144","147,917","201,595","173,148","165,694","224,849","322,143","70,361"
2021년03월_계_20~29세,"6,767,952","1,450,425","427,087","318,439","397,817","208,324","211,498","142,413","37,866","1,811,928","177,773","197,273","240,801","209,743","198,940","281,752","373,828","82,045"
2021년03월_계_30~39세,"6,812,701","1,460,545","413,824","290,921","402,590","184,137","192,338","149,430","61,515","1,902,623","164,474","192,814","265,022","186,504","183,333","287,291","393,463","81,877"
2021년03월_계_40~49세,"8,250,451","1,511,822","507,745","380,397","481,697","239,690","235,062","186,357","70,075","2,298,082","222,044","239,437","327,135","266,068","258,097","381,224","533,259","112,260"
2021년03월_계_50~59세,"8,613,059","1,513,916","562,268","422,961","510,040","233,891","240,184","207,808","45,953","2,241,613","265,217","270,956","337,907","298,408","312,636","457,121","579,448","112,732"
2021년03월_계_60~69세,"6,876,287","1,255,009","536,731","332,302","377,343","165,964","183,343","148,776","31,270","1,574,976","246,701","229,572","286,395","260,057","275,866","417,995","473,178","80,809"
2021년03월_계_70~79세,"3,694,544","698,222","293,083","176,041","177,632","93,656","91,414","60,792","14,451","767,454","134,639","120,213","171,028","170,491","191,873","241,666","246,385","45,504"
2021년03월_계_80~89세,"1,756,509","280,381","117,687","79,451","78,689","40,468","41,193","23,060","7,245","355,003","73,365","66,515","101,096","92,542","111,394","137,445","126,739","24,236"
2021년03월_계_90~99세,"252,860","40,690","14,652","9,757","12,430","5,966","5,920","3,070","1,228","52,598","11,279","9,260","14,544","13,931","16,503","19,293","17,680","4,059"
2021년03월_계_100세 이상,"11,635","2,730",762,527,522,292,204,88,37,"2,418",496,322,519,555,667,715,586,195
2021년03월_남_총인구수,"25,787,390","4,667,524","1,651,804","1,188,070","1,470,750","715,226","728,075","580,424","180,030","6,776,866","773,248","809,457","1,080,841","893,974","927,884","1,327,990","1,677,021","338,206"
2021년03월_남_연령구간인구수,"25,787,390","4,667,524","1,651,804","1,188,070","1,470,750","715,226","728,075","580,424","180,030","6,776,866","773,248","809,457","1,080,841","893,974","927,884","1,327,990","1,677,021","338,206"
2021년03월_남_0~9세,"2,004,358","313,593","117,397","89,724","115,534","60,518","57,718","49,576","24,191","580,656","53,356","62,073","86,924","64,662","66,099","96,026","135,499","30,812"
2021년03월_남_10~19세,"2,461,124","396,480","139,207","116,435","140,296","80,441","74,958","58,467","21,879","681,134","70,800","76,956","104,686","89,712","86,006","118,190","168,658","36,819"
2021년03월_남_20~29세,"3,553,434","701,692","222,299","169,898","207,288","108,861","110,997","80,049","19,340","954,223","100,001","109,843","132,916","113,372","111,245","159,753","208,326","43,331"
2021년03월_남_30~39세,"3,512,198","730,024","211,834","151,679","208,208","94,061","100,467","79,487","30,060","981,307","86,463","102,529","142,787","96,316","96,542","153,340","205,771","41,323"
2021년03월_남_40~49세,"4,194,134","749,245","255,985","187,691","246,409","118,954","117,325","95,078","35,685","1,169,016","113,993","124,152","174,570","137,030","137,910","198,786","274,572","57,733"
2021년03월_남_50~59세,"4,350,790","744,903","273,191","207,246","254,889","116,034","119,734","105,688","23,984","1,136,118","136,665","139,496","178,806","154,577","167,901","236,757","296,162","58,639"
2021년03월_남_60~69세,"3,365,650","592,801","253,865","158,081","186,974","79,138","89,062","74,951","15,478","783,261","122,776","115,081","143,402","128,577","139,161","207,695","235,216","40,131"
2021년03월_남_70~79세,"1,667,451","318,342","132,317","77,066","81,174","41,585","41,615","28,925","6,688","348,918","60,508","54,292","77,776","75,507","84,444","108,170","109,456","20,668"
2021년03월_남_80~89세,"619,697","109,404","42,457","28,025","27,220","14,328","14,798","7,685","2,455","129,226","26,078","22,934","35,483","31,060","35,212","45,250","39,941","8,141"
2021년03월_남_90~99세,"56,059","10,337","3,105","2,107","2,632","1,269","1,363",507,263,"12,419","2,481","2,025","3,403","3,064","3,282","3,903","3,305",594
2021년03월_남_100세 이상,"2,495",703,147,118,126,37,38,11,7,588,127,76,88,97,82,120,115,15
2021년03월_여_총인구수,"25,918,515","4,930,960","1,720,595","1,220,805","1,465,711","730,247","730,388","548,830","180,432","6,688,971","763,151","786,257","1,034,982","903,476","916,927","1,307,573","1,653,442","335,768"
2021년03월_여_연령구간인구수,"25,918,515","4,930,960","1,720,595","1,220,805","1,465,711","730,247","730,388","548,830","180,432","6,688,971","763,151","786,257","1,034,982","903,476","916,927","1,307,573","1,653,442","335,768"
2021년03월_여_0~9세,"1,904,436","297,407","111,391","85,299","109,436","57,290","54,579","46,846","23,109","553,374","50,911","59,362","82,857","61,341","63,709","90,186","128,255","29,084"
2021년03월_여_10~19세,"2,299,989","377,264","130,565","106,621","132,435","74,836","70,052","52,571","21,643","643,978","65,344","70,961","96,909","83,436","79,688","106,659","153,485","33,542"
2021년03월_여_20~29세,"3,214,518","748,733","204,788","148,541","190,529","99,463","100,501","62,364","18,526","857,705","77,772","87,430","107,885","96,371","87,695","121,999","165,502","38,714"
2021년03월_여_30~39세,"3,300,503","730,521","201,990","139,242","194,382","90,076","91,871","69,943","31,455","921,316","78,011","90,285","122,235","90,188","86,791","133,951","187,692","40,554"
2021년03월_여_40~49세,"4,056,317","762,577","251,760","192,706","235,288","120,736","117,737","91,279","34,390","1,129,066","108,051","115,285","152,565","129,038","120,187","182,438","258,687","54,527"
2021년03월_여_50~59세,"4,262,269","769,013","289,077","215,715","255,151","117,857","120,450","102,120","21,969","1,105,495","128,552","131,460","159,101","143,831","144,735","220,364","283,286","54,093"
2021년03월_여_60~69세,"3,510,637","662,208","282,866","174,221","190,369","86,826","94,281","73,825","15,792","791,715","123,925","114,491","142,993","131,480","136,705","210,300","237,962","40,678"
2021년03월_여_70~79세,"2,027,093","379,880","160,766","98,975","96,458","52,071","49,799","31,867","7,763","418,536","74,131","65,921","93,252","94,984","107,429","133,496","136,929","24,836"
2021년03월_여_80~89세,"1,136,812","170,977","75,230","51,426","51,469","26,140","26,395","15,375","4,790","225,777","47,287","43,581","65,613","61,482","76,182","92,195","86,798","16,095"
2021년03월_여_90~99세,"196,801","30,353","11,547","7,650","9,798","4,697","4,557","2,563",965,"40,179","8,798","7,235","11,141","10,867","13,221","15,390","14,375","3,465"
2021년03월_여_100세 이상,"9,140","2,027",615,409,396,255,166,77,30,"1,830",369,246,431,458,585,595,471,180
