,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년06월_계_총인구수,"1,840,921","220,794","278,481","281,816","116,513","150,591","46,522","27,916","25,255","63,374","39,838","62,153","37,028","34,248","68,055","53,290","88,660","31,526","52,487","43,915","49,404","30,368","38,687"
2021년06월_계_연령구간인구수,"1,840,921","220,794","278,481","281,816","116,513","150,591","46,522","27,916","25,255","63,374","39,838","62,153","37,028","34,248","68,055","53,290","88,660","31,526","52,487","43,915","49,404","30,368","38,687"
2021년06월_계_0~9세,"127,868","17,227","20,191","23,000","10,070","12,969","2,305","1,019","1,076","2,545","1,636","3,338","1,894","1,671","3,788","3,346","8,036","1,278","3,708","2,621","3,032","1,619","1,499"
2021년06월_계_10~19세,"164,787","24,013","25,983","29,683","9,624","15,776","3,021","1,957","1,778","3,734","2,548","5,558","2,671","2,452","5,084","4,378","9,429","2,044","4,103","3,210","3,548","2,180","2,013"
2021년06월_계_20~29세,"197,783","26,806","33,387","37,201","12,373","19,755","4,711","2,293","1,900","4,047","2,860","6,671","2,985","2,809","5,531","5,000","9,178","2,395","4,838","4,082","3,772","2,503","2,686"
2021년06월_계_30~39세,"181,555","24,543","30,192","32,987","14,541","18,099","3,652","1,654","1,583","3,538","2,386","4,587","2,604","2,329","4,804","4,560","10,738","1,950","4,727","3,508","3,808","2,159","2,606"
2021년06월_계_40~49세,"255,665","36,652","41,338","42,865","16,626","23,301","5,235","2,946","2,764","6,128","4,050","8,021","3,950","3,649","7,847","7,321","14,065","3,353","6,348","5,376","6,095","3,506","4,229"
2021년06월_계_50~59세,"311,925","35,959","48,228","49,143","17,339","29,170","8,177","4,837","4,524","10,026","6,539","11,223","6,194","5,591","11,423","9,412","13,031","5,343","8,447","7,432","7,972","4,965","6,950"
2021년06월_계_60~69세,"279,676","29,554","41,661","35,682","16,580","17,711","8,608","5,202","4,817","12,912","7,709","9,838","6,687","6,376","12,627","8,316","11,322","6,103","8,547","7,474","8,700","5,428","7,822"
2021년06월_계_70~79세,"191,213","17,653","24,757","19,096","11,457","8,272","6,228","4,182","3,818","11,343","6,515","7,345","5,380","5,133","9,882","6,244","7,849","5,008","7,039","5,826","7,344","4,588","6,254"
2021년06월_계_80~89세,"113,054","7,377","10,994","10,460","6,840","4,712","3,958","3,257","2,585","7,771","4,810","4,880","3,980","3,630","6,146","4,133","4,372","3,528","4,156","3,845","4,504","3,024","4,092"
2021년06월_계_90~99세,"16,800",971,"1,699","1,636","1,033",808,603,554,394,"1,281",762,660,659,580,882,560,615,510,549,523,613,384,524
2021년06월_계_100세 이상,595,39,51,63,30,18,24,15,16,49,23,32,24,28,41,20,25,14,25,18,16,12,12
2021년06월_남_총인구수,"926,398","109,995","142,137","140,664","58,762","78,601","23,607","13,697","12,304","30,813","19,462","30,733","18,009","16,581","33,683","27,555","44,566","15,889","26,217","22,524","24,895","15,052","20,652"
2021년06월_남_연령구간인구수,"926,398","109,995","142,137","140,664","58,762","78,601","23,607","13,697","12,304","30,813","19,462","30,733","18,009","16,581","33,683","27,555","44,566","15,889","26,217","22,524","24,895","15,052","20,652"
2021년06월_남_0~9세,"65,169","8,897","10,226","11,759","5,162","6,590","1,147",519,527,"1,262",863,"1,704",949,833,"1,914","1,685","4,136",663,"1,887","1,334","1,556",792,764
2021년06월_남_10~19세,"85,428","12,285","13,467","15,474","4,950","8,181","1,567","1,050",936,"2,007","1,304","2,877","1,412","1,264","2,639","2,320","4,780","1,096","2,150","1,690","1,843","1,105","1,031"
2021년06월_남_20~29세,"110,693","14,511","18,993","20,278","6,540","11,513","2,785","1,268","1,038","2,361","1,634","3,643","1,693","1,592","3,117","2,932","4,922","1,428","2,725","2,420","2,214","1,466","1,620"
2021년06월_남_30~39세,"95,564","12,686","16,194","16,929","7,615","9,702","1,886",874,836,"1,924","1,283","2,316","1,371","1,193","2,560","2,475","5,470","1,047","2,441","1,886","2,075","1,157","1,644"
2021년06월_남_40~49세,"136,627","18,898","21,860","21,152","9,219","12,016","3,005","1,629","1,511","3,546","2,308","4,135","2,175","2,015","4,386","4,351","7,388","1,998","3,572","3,033","3,568","2,045","2,817"
2021년06월_남_50~59세,"167,868","18,143","25,418","24,800","9,522","15,911","4,501","2,694","2,521","5,629","3,661","6,126","3,397","3,029","6,331","5,416","7,160","3,137","4,679","4,263","4,479","2,797","4,254"
2021년06월_남_60~69세,"141,267","14,053","20,586","17,877","8,428","9,330","4,493","2,740","2,398","6,423","3,912","5,195","3,339","3,201","6,339","4,314","5,722","3,222","4,334","3,960","4,342","2,745","4,314"
