카테고리,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년02월_계_총인구수,"34,487","13,616","4,389","2,311","1,142","2,499","1,796","2,787","1,844","1,657",639,"1,807"
2021년02월_계_연령구간인구수,"34,487","13,616","4,389","2,311","1,142","2,499","1,796","2,787","1,844","1,657",639,"1,807"
2021년02월_계_0~9세,"1,722",979,244,65,28,51,72,101,43,50,14,75
2021년02월_계_10~19세,"2,503","1,344",354,121,40,139,97,126,65,83,46,88
2021년02월_계_20~29세,"2,849","1,528",367,139,63,120,71,182,112,96,37,134
2021년02월_계_30~39세,"2,388","1,272",327,105,50,105,85,151,86,72,22,113
2021년02월_계_40~49세,"3,765","1,878",478,194,102,192,160,248,129,149,51,184
2021년02월_계_50~59세,"5,616","2,219",707,387,183,373,299,431,319,268,104,326
2021년02월_계_60~69세,"6,262","2,048",748,476,260,565,398,605,364,329,109,360
2021년02월_계_70~79세,"5,215","1,419",604,452,243,513,325,514,382,313,128,322
2021년02월_계_80~89세,"3,590",806,489,320,142,372,258,364,300,248,107,184
2021년02월_계_90~99세,545,113,69,49,30,61,30,62,42,47,21,21
2021년02월_계_100세 이상,32,10,2,3,1,8,1,3,2,2,0,0
2021년02월_남_총인구수,"16,667","6,566","2,125","1,116",544,"1,215",849,"1,366",885,784,316,901
2021년02월_남_연령구간인구수,"16,667","6,566","2,125","1,116",544,"1,215",849,"1,366",885,784,316,901
2021년02월_남_0~9세,858,498,119,40,10,25,26,50,24,22,7,37
2021년02월_남_10~19세,"1,289",674,197,55,21,75,49,59,31,49,26,53
2021년02월_남_20~29세,"1,605",823,220,80,39,76,39,117,63,56,22,70
2021년02월_남_30~39세,"1,223",632,176,56,27,61,38,74,49,39,9,62
2021년02월_남_40~49세,"2,088",946,249,116,64,122,102,150,86,95,37,121
2021년02월_남_50~59세,"3,023","1,119",372,208,106,218,167,243,191,149,63,187
2021년02월_남_60~69세,"3,127",997,399,248,120,289,189,309,184,163,60,169
2021년02월_남_70~79세,"2,244",613,240,199,112,226,151,227,154,123,60,139
2021년02월_남_80~89세,"1,101",241,139,106,41,109,86,121,95,77,26,60
2021년02월_남_90~99세,104,22,14,7,4,13,2,15,7,11,6,3
2021년02월_남_100세 이상,5,1,0,1,0,1,0,1,1,0,0,0
2021년02월_여_총인구수,"17,820","7,050","2,264","1,195",598,"1,284",947,"1,421",959,873,323,906
2021년02월_여_연령구간인구수,"17,820","7,050","2,264","1,195",598,"1,284",947,"1,421",959,873,323,906
2021년02월_여_0~9세,864,481,125,25,18,26,46,51,19,28,7,38
2021년02월_여_10~19세,"1,214",670,157,66,19,64,48,67,34,34,20,35
2021년02월_여_20~29세,"1,244",705,147,59,24,44,32,65,49,40,15,64
2021년02월_여_30~39세,"1,165",640,151,49,23,44,47,77,37,33,13,51
2021년02월_여_40~49세,"1,677",932,229,78,38,70,58,98,43,54,14,63
2021년02월_여_50~59세,"2,593","1,100",335,179,77,155,132,188,128,119,41,139
2021년02월_여_60~69세,"3,135","1,051",349,228,140,276,209,296,180,166,49,191
2021년02월_여_70~79세,"2,971",806,364,253,131,287,174,287,228,190,68,183
2021년02월_여_80~89세,"2,489",565,350,214,101,263,172,243,205,171,81,124
2021년02월_여_90~99세,441,91,55,42,26,48,28,47,35,36,15,18
2021년02월_여_100세 이상,27,9,2,2,1,7,1,2,1,2,0,0
