,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년08월_계_총인구수,"34,099","13,374","4,418","2,273","1,142","2,506","1,789","2,763","1,812","1,606",618,"1,798"
2021년08월_계_연령구간인구수,"34,099","13,374","4,418","2,273","1,142","2,506","1,789","2,763","1,812","1,606",618,"1,798"
2021년08월_계_0~9세,"1,615",899,247,59,26,52,70,94,34,47,13,74
2021년08월_계_10~19세,"2,435","1,325",334,119,45,134,93,126,62,74,44,79
2021년08월_계_20~29세,"2,766","1,486",361,134,60,116,71,172,108,92,33,133
2021년08월_계_30~39세,"2,321","1,195",350,101,53,106,82,162,81,64,17,110
2021년08월_계_40~49세,"3,602","1,780",466,181,97,188,159,240,126,137,46,182
2021년08월_계_50~59세,"5,559","2,214",716,374,181,374,290,418,314,264,103,311
2021년08월_계_60~69세,"6,422","2,082",779,488,264,582,412,615,372,344,109,375
2021년08월_계_70~79세,"5,108","1,437",597,435,235,497,318,502,361,283,126,317
2021년08월_계_80~89세,"3,659",821,489,327,148,384,259,370,315,252,104,190
2021년08월_계_90~99세,583,124,76,53,32,65,34,64,37,48,23,27
2021년08월_계_100세 이상,29,11,3,2,1,8,1,0,2,1,0,0
2021년08월_남_총인구수,"16,514","6,452","2,144","1,097",547,"1,222",863,"1,354",881,755,305,894
2021년08월_남_연령구간인구수,"16,514","6,452","2,144","1,097",547,"1,222",863,"1,354",881,755,305,894
2021년08월_남_0~9세,797,454,118,33,9,27,26,47,22,20,7,34
2021년08월_남_10~19세,"1,252",665,186,54,23,75,47,60,30,40,26,46
2021년08월_남_20~29세,"1,571",804,218,80,37,72,43,106,60,54,21,76
2021년08월_남_30~39세,"1,191",603,179,54,28,63,40,82,46,35,4,57
2021년08월_남_40~49세,"1,979",875,245,114,63,114,102,149,83,87,34,113
2021년08월_남_50~59세,"3,041","1,143",380,200,107,219,164,238,194,146,66,184
2021년08월_남_60~69세,"3,233","1,014",424,251,124,301,205,318,190,174,59,173
2021년08월_남_70~79세,"2,210",621,240,192,108,224,148,219,152,108,56,142
2021년08월_남_80~89세,"1,127",247,139,111,44,114,86,119,96,79,26,66
2021년08월_남_90~99세,106,24,15,7,4,11,2,16,7,11,6,3
2021년08월_남_100세 이상,7,2,0,1,0,2,0,0,1,1,0,0
2021년08월_여_총인구수,"17,585","6,922","2,274","1,176",595,"1,284",926,"1,409",931,851,313,904
2021년08월_여_연령구간인구수,"17,585","6,922","2,274","1,176",595,"1,284",926,"1,409",931,851,313,904
2021년08월_여_0~9세,818,445,129,26,17,25,44,47,12,27,6,40
2021년08월_여_10~19세,"1,183",660,148,65,22,59,46,66,32,34,18,33
2021년08월_여_20~29세,"1,195",682,143,54,23,44,28,66,48,38,12,57
2021년08월_여_30~39세,"1,130",592,171,47,25,43,42,80,35,29,13,53
2021년08월_여_40~49세,"1,623",905,221,67,34,74,57,91,43,50,12,69
2021년08월_여_50~59세,"2,518","1,071",336,174,74,155,126,180,120,118,37,127
2021년08월_여_60~69세,"3,189","1,068",355,237,140,281,207,297,182,170,50,202
2021년08월_여_70~79세,"2,898",816,357,243,127,273,170,283,209,175,70,175
2021년08월_여_80~89세,"2,532",574,350,216,104,270,173,251,219,173,78,124
2021년08월_여_90~99세,477,100,61,46,28,54,32,48,30,37,17,24
2021년08월_여_100세 이상,22,9,3,1,1,6,1,0,1,0,0,0
