,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년05월_계_총인구수,"64,336","12,408","9,900",626,228,"3,196","2,973","4,416","3,944","4,989","1,905","2,653","3,381","2,335","3,139","2,315","3,122","1,298","1,508"
2020년05월_계_연령구간인구수,"64,336","12,408","9,900",626,228,"3,196","2,973","4,416","3,944","4,989","1,905","2,653","3,381","2,335","3,139","2,315","3,122","1,298","1,508"
2020년05월_계_0~9세,"2,651","1,021",541,20,4,71,71,129,92,119,59,44,84,67,112,67,77,29,44
2020년05월_계_10~19세,"4,015","1,491",781,19,14,101,142,200,180,235,95,100,143,101,121,66,103,54,69
2020년05월_계_20~29세,"4,304","1,218",803,15,9,149,144,246,224,274,89,119,234,131,216,132,149,66,86
2020년05월_계_30~39세,"3,825","1,202",757,23,15,141,150,199,153,217,73,96,149,126,171,112,116,49,76
2020년05월_계_40~49세,"6,466","1,886","1,229",28,35,233,230,381,346,438,158,199,277,158,261,148,222,97,140
2020년05월_계_50~59세,"10,509","1,941","1,695",46,44,501,506,717,658,848,299,432,624,384,499,414,452,193,256
2020년05월_계_60~69세,"12,442","1,717","1,848",102,31,709,622,911,828,"1,033",416,566,707,551,678,488,628,270,337
2020년05월_계_70~79세,"11,418","1,186","1,448",186,43,724,562,945,823,"1,042",411,581,619,449,575,481,743,307,293
2020년05월_계_80~89세,"7,447",617,689,161,32,474,470,620,549,686,256,412,458,319,432,351,537,197,187
2020년05월_계_90~99세,"1,211",122,105,26,1,93,75,66,84,89,47,104,82,47,70,54,91,35,20
2020년05월_계_100세 이상,48,7,4,0,0,0,1,2,7,8,2,0,4,2,4,2,4,1,0
2020년05월_남_총인구수,"31,220","6,123","4,831",316,119,"1,584","1,420","2,150","1,897","2,397",930,"1,242","1,609","1,094","1,536","1,109","1,467",626,770
2020년05월_남_연령구간인구수,"31,220","6,123","4,831",316,119,"1,584","1,420","2,150","1,897","2,397",930,"1,242","1,609","1,094","1,536","1,109","1,467",626,770
2020년05월_남_0~9세,"1,328",513,269,10,0,32,38,65,37,59,30,17,44,29,64,33,44,15,29
2020년05월_남_10~19세,"2,124",793,409,10,5,59,70,109,77,126,45,58,81,62,65,39,52,31,33
2020년05월_남_20~29세,"2,503",700,428,5,8,102,75,149,141,160,51,76,130,80,130,84,81,47,56
2020년05월_남_30~39세,"2,083",568,402,9,12,91,94,115,96,122,40,58,90,61,96,75,78,33,43
2020년05월_남_40~49세,"3,784",961,658,16,30,165,140,231,216,280,104,136,177,94,166,101,146,66,97
2020년05월_남_50~59세,"5,778","1,023",897,23,24,306,302,390,353,470,187,239,329,209,290,222,264,106,144
2020년05월_남_60~69세,"6,139",806,884,59,16,363,330,441,400,482,210,290,362,279,330,255,304,146,182
2020년05월_남_70~79세,"4,903",540,634,101,14,297,226,409,393,443,174,245,244,181,245,197,310,117,133
2020년05월_남_80~89세,"2,314",199,232,77,10,147,129,223,169,231,77,106,128,93,123,95,171,56,48
2020년05월_남_90~99세,257,18,17,6,0,22,16,17,15,23,11,17,24,6,27,7,17,9,5
2020년05월_남_100세 이상,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년05월_여_총인구수,"33,116","6,285","5,069",310,109,"1,612","1,553","2,266","2,047","2,592",975,"1,411","1,772","1,241","1,603","1,206","1,655",672,738
2020년05월_여_연령구간인구수,"33,116","6,285","5,069",310,109,"1,612","1,553","2,266","2,047","2,592",975,"1,411","1,772","1,241","1,603","1,206","1,655",672,738
2020년05월_여_0~9세,"1,323",508,272,10,4,39,33,64,55,60,29,27,40,38,48,34,33,14,15
2020년05월_여_10~19세,"1,891",698,372,9,9,42,72,91,103,109,50,42,62,39,56,27,51,23,36
2020년05월_여_20~29세,"1,801",518,375,10,1,47,69,97,83,114,38,43,104,51,86,48,68,19,30
2020년05월_여_30~39세,"1,742",634,355,14,3,50,56,84,57,95,33,38,59,65,75,37,38,16,33
2020년05월_여_40~49세,"2,682",925,571,12,5,68,90,150,130,158,54,63,100,64,95,47,76,31,43
2020년05월_여_50~59세,"4,731",918,798,23,20,195,204,327,305,378,112,193,295,175,209,192,188,87,112
2020년05월_여_60~69세,"6,303",911,964,43,15,346,292,470,428,551,206,276,345,272,348,233,324,124,155
2020년05월_여_70~79세,"6,515",646,814,85,29,427,336,536,430,599,237,336,375,268,330,284,433,190,160
2020년05월_여_80~89세,"5,133",418,457,84,22,327,341,397,380,455,179,306,330,226,309,256,366,141,139
2020년05월_여_90~99세,954,104,88,20,1,71,59,49,69,66,36,87,58,41,43,47,74,26,15
2020년05월_여_100세 이상,41,5,3,0,0,0,1,1,7,7,1,0,4,2,4,1,4,1,0
