카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020년01월_계_총인구수,"28,773","7,962","1,967","1,672","2,386","1,394","1,934","1,226","4,467","2,524","1,760","1,481"
2020년01월_계_연령구간인구수,"28,773","7,962","1,967","1,672","2,386","1,394","1,934","1,226","4,467","2,524","1,760","1,481"
2020년01월_계_0~9세,"1,193",502,68,34,64,25,47,38,238,72,66,39
2020년01월_계_10~19세,"2,140",694,139,83,147,53,95,60,493,229,83,64
2020년01월_계_20~29세,"2,550",785,123,106,164,88,142,85,604,202,129,122
2020년01월_계_30~39세,"1,852",684,107,73,127,64,90,55,349,127,101,75
2020년01월_계_40~49세,"3,239","1,064",196,164,216,112,169,100,571,351,166,130
2020년01월_계_50~59세,"5,038","1,323",353,276,435,271,359,219,738,463,311,290
2020년01월_계_60~69세,"4,786","1,196",377,328,408,255,384,218,620,371,299,330
2020년01월_계_70~79세,"4,355","1,004",332,316,418,278,359,246,489,369,325,219
2020년01월_계_80~89세,"3,117",611,246,243,345,215,240,179,318,294,243,183
2020년01월_계_90~99세,492,96,24,48,60,33,49,26,47,46,35,28
2020년01월_계_100세 이상,11,3,2,1,2,0,0,0,0,0,2,1
2020년01월_남_총인구수,"14,067","3,855",983,824,"1,115",672,944,594,"2,197","1,260",867,756
2020년01월_남_연령구간인구수,"14,067","3,855",983,824,"1,115",672,944,594,"2,197","1,260",867,756
2020년01월_남_0~9세,598,257,34,17,38,12,27,21,110,34,28,20
2020년01월_남_10~19세,"1,122",361,75,48,76,28,56,22,249,124,45,38
2020년01월_남_20~29세,"1,373",414,72,68,84,57,76,52,311,108,72,59
2020년01월_남_30~39세,"1,015",341,69,50,68,38,48,34,182,78,65,42
2020년01월_남_40~49세,"1,820",550,118,103,119,66,98,60,305,208,114,79
2020년01월_남_50~59세,"2,793",712,204,148,246,148,190,132,397,276,171,169
2020년01월_남_60~69세,"2,478",589,192,178,196,136,205,111,321,200,159,191
2020년01월_남_70~79세,"1,784",415,129,126,172,109,154,104,207,138,134,96
2020년01월_남_80~89세,983,200,85,76,103,69,83,54,101,83,73,56
2020년01월_남_90~99세,99,16,5,10,12,9,7,4,14,11,5,6
2020년01월_남_100세 이상,2,0,0,0,1,0,0,0,0,0,1,0
2020년01월_여_총인구수,"14,706","4,107",984,848,"1,271",722,990,632,"2,270","1,264",893,725
2020년01월_여_연령구간인구수,"14,706","4,107",984,848,"1,271",722,990,632,"2,270","1,264",893,725
2020년01월_여_0~9세,595,245,34,17,26,13,20,17,128,38,38,19
2020년01월_여_10~19세,"1,018",333,64,35,71,25,39,38,244,105,38,26
2020년01월_여_20~29세,"1,177",371,51,38,80,31,66,33,293,94,57,63
2020년01월_여_30~39세,837,343,38,23,59,26,42,21,167,49,36,33
2020년01월_여_40~49세,"1,419",514,78,61,97,46,71,40,266,143,52,51
2020년01월_여_50~59세,"2,245",611,149,128,189,123,169,87,341,187,140,121
2020년01월_여_60~69세,"2,308",607,185,150,212,119,179,107,299,171,140,139
2020년01월_여_70~79세,"2,571",589,203,190,246,169,205,142,282,231,191,123
2020년01월_여_80~89세,"2,134",411,161,167,242,146,157,125,217,211,170,127
2020년01월_여_90~99세,393,80,19,38,48,24,42,22,33,35,30,22
2020년01월_여_100세 이상,9,3,2,1,1,0,0,0,0,0,1,1
