,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2021년06월_계_총인구수,"27,916","7,828","1,871","1,674","2,336","1,328","1,908","1,161","4,233","2,460","1,684","1,433"
2021년06월_계_연령구간인구수,"27,916","7,828","1,871","1,674","2,336","1,328","1,908","1,161","4,233","2,460","1,684","1,433"
2021년06월_계_0~9세,"1,019",450,54,28,66,19,43,31,190,62,41,35
2021년06월_계_10~19세,"1,957",657,129,82,122,37,86,42,461,204,83,54
2021년06월_계_20~29세,"2,293",759,109,103,143,69,127,83,478,208,98,116
2021년06월_계_30~39세,"1,654",626,97,62,109,61,82,46,318,94,93,66
2021년06월_계_40~49세,"2,946","1,034",171,144,197,95,157,75,494,315,152,112
2021년06월_계_50~59세,"4,837","1,287",292,283,424,242,348,199,734,457,299,272
2021년06월_계_60~69세,"5,202","1,287",400,359,450,290,412,234,684,412,325,349
2021년06월_계_70~79세,"4,182",966,319,302,387,254,354,235,496,339,309,221
2021년06월_계_80~89세,"3,257",644,269,257,375,229,247,192,318,311,241,174
2021년06월_계_90~99세,554,112,30,54,62,29,52,24,59,58,42,32
2021년06월_계_100세 이상,15,6,1,0,1,3,0,0,1,0,1,2
2021년06월_남_총인구수,"13,697","3,786",917,822,"1,105",649,927,581,"2,115","1,233",829,733
2021년06월_남_연령구간인구수,"13,697","3,786",917,822,"1,105",649,927,581,"2,115","1,233",829,733
2021년06월_남_0~9세,519,223,26,12,39,13,27,20,87,30,21,21
2021년06월_남_10~19세,"1,050",349,69,48,72,14,48,18,249,113,43,27
2021년06월_남_20~29세,"1,268",411,64,65,79,42,67,54,254,111,54,67
2021년06월_남_30~39세,874,301,59,39,58,41,41,27,170,55,48,35
2021년06월_남_40~49세,"1,629",533,98,95,102,60,82,50,261,178,104,66
2021년06월_남_50~59세,"2,694",694,163,149,236,139,190,118,399,280,172,154
2021년06월_남_60~69세,"2,740",624,221,196,228,154,220,132,357,226,180,202
2021년06월_남_70~79세,"1,803",425,122,125,173,108,167,97,224,137,123,102
2021년06월_남_80~89세,"1,013",208,88,82,106,73,77,63,97,92,74,53
2021년06월_남_90~99세,104,17,7,11,11,5,8,2,17,11,9,6
2021년06월_남_100세 이상,3,1,0,0,1,0,0,0,0,0,1,0
2021년06월_여_총인구수,"14,219","4,042",954,852,"1,231",679,981,580,"2,118","1,227",855,700
2021년06월_여_연령구간인구수,"14,219","4,042",954,852,"1,231",679,981,580,"2,118","1,227",855,700
2021년06월_여_0~9세,500,227,28,16,27,6,16,11,103,32,20,14
2021년06월_여_10~19세,907,308,60,34,50,23,38,24,212,91,40,27
2021년06월_여_20~29세,"1,025",348,45,38,64,27,60,29,224,97,44,49
2021년06월_여_30~39세,780,325,38,23,51,20,41,19,148,39,45,31
2021년06월_여_40~49세,"1,317",501,73,49,95,35,75,25,233,137,48,46
2021년06월_여_50~59세,"2,143",593,129,134,188,103,158,81,335,177,127,118
2021년06월_여_60~69세,"2,462",663,179,163,222,136,192,102,327,186,145,147
2021년06월_여_70~79세,"2,379",541,197,177,214,146,187,138,272,202,186,119
2021년06월_여_80~89세,"2,244",436,181,175,269,156,170,129,221,219,167,121
2021년06월_여_90~99세,450,95,23,43,51,24,44,22,42,47,33,26
2021년06월_여_100세 이상,12,5,1,0,0,3,0,0,1,0,0,2
