,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년08월_계_총인구수,"150,643","48,522","2,186","3,072","5,016","2,799","2,786","1,786","1,533","57,617","11,868","11,730","1,728"
2021년08월_계_연령구간인구수,"150,643","48,522","2,186","3,072","5,016","2,799","2,786","1,786","1,533","57,617","11,868","11,730","1,728"
2021년08월_계_0~9세,"12,863","4,264",72,74,265,63,76,41,29,"6,250",865,810,54
2021년08월_계_10~19세,"15,764","5,089",134,136,278,123,79,86,50,"7,279","1,126","1,267",117
2021년08월_계_20~29세,"19,689","6,027",194,255,627,189,191,122,122,"8,161","1,536","2,085",180
2021년08월_계_30~39세,"18,036","5,733",145,150,504,161,147,92,109,"8,376","1,233","1,267",119
2021년08월_계_40~49세,"23,205","7,807",202,267,542,201,247,153,150,"10,345","1,805","1,306",180
2021년08월_계_50~59세,"29,237","8,510",433,622,"1,144",534,485,327,274,"11,062","2,718","2,760",368
2021년08월_계_60~69세,"17,964","6,175",422,653,793,584,605,436,299,"4,204","1,711","1,737",345
2021년08월_계_70~79세,"8,297","3,012",299,483,487,506,532,289,263,"1,269",581,370,206
2021년08월_계_80~89세,"4,755","1,616",236,364,328,370,347,210,196,589,254,108,137
2021년08월_계_90~99세,813,285,48,65,48,66,74,26,40,81,39,19,22
2021년08월_계_100세 이상,20,4,1,3,0,2,3,4,1,1,0,1,0
2021년08월_남_총인구수,"78,647","24,837","1,137","1,514","2,582","1,413","1,378",898,835,"30,365","6,286","6,447",955
2021년08월_남_연령구간인구수,"78,647","24,837","1,137","1,514","2,582","1,413","1,378",898,835,"30,365","6,286","6,447",955
2021년08월_남_0~9세,"6,541","2,149",51,35,141,28,34,20,13,"3,189",443,410,28
2021년08월_남_10~19세,"8,171","2,660",81,66,143,79,43,44,29,"3,735",568,660,63
2021년08월_남_20~29세,"11,433","3,320",121,150,363,121,117,80,72,"4,684",896,"1,389",120
2021년08월_남_30~39세,"9,709","2,958",82,78,287,90,88,48,65,"4,485",696,747,85
2021년08월_남_40~49세,"11,981","4,096",115,138,267,119,155,100,105,"5,221",971,572,122
2021년08월_남_50~59세,"15,948","4,522",251,357,620,319,296,185,188,"6,025","1,489","1,482",214
2021년08월_남_60~69세,"9,447","3,205",224,352,412,297,287,230,160,"2,265",885,939,191
2021년08월_남_70~79세,"3,763","1,365",122,210,222,222,235,113,128,571,270,214,91
2021년08월_남_80~89세,"1,512",510,77,113,121,127,115,73,68,177,64,29,38
2021년08월_남_90~99세,140,52,12,14,6,11,8,5,7,13,4,5,3
2021년08월_남_100세 이상,2,0,1,1,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"71,996","23,685","1,049","1,558","2,434","1,386","1,408",888,698,"27,252","5,582","5,283",773
2021년08월_여_연령구간인구수,"71,996","23,685","1,049","1,558","2,434","1,386","1,408",888,698,"27,252","5,582","5,283",773
2021년08월_여_0~9세,"6,322","2,115",21,39,124,35,42,21,16,"3,061",422,400,26
2021년08월_여_10~19세,"7,593","2,429",53,70,135,44,36,42,21,"3,544",558,607,54
2021년08월_여_20~29세,"8,256","2,707",73,105,264,68,74,42,50,"3,477",640,696,60
2021년08월_여_30~39세,"8,327","2,775",63,72,217,71,59,44,44,"3,891",537,520,34
2021년08월_여_40~49세,"11,224","3,711",87,129,275,82,92,53,45,"5,124",834,734,58
2021년08월_여_50~59세,"13,289","3,988",182,265,524,215,189,142,86,"5,037","1,229","1,278",154
2021년08월_여_60~69세,"8,517","2,970",198,301,381,287,318,206,139,"1,939",826,798,154
2021년08월_여_70~79세,"4,534","1,647",177,273,265,284,297,176,135,698,311,156,115
2021년08월_여_80~89세,"3,243","1,106",159,251,207,243,232,137,128,412,190,79,99
2021년08월_여_90~99세,673,233,36,51,42,55,66,21,33,68,35,14,19
2021년08월_여_100세 이상,18,4,0,2,0,2,3,4,1,1,0,1,0
