카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020년08월_계_총인구수,"45,980","14,274","2,838","3,208","1,276","3,672","1,927","2,848","2,654","1,887","2,457","4,525","4,414"
2020년08월_계_연령구간인구수,"45,980","14,274","2,838","3,208","1,276","3,672","1,927","2,848","2,654","1,887","2,457","4,525","4,414"
2020년08월_계_0~9세,"2,322","1,051",132,121,36,149,69,71,88,77,114,213,201
2020년08월_계_10~19세,"3,030","1,223",111,178,48,208,105,136,128,86,123,323,361
2020년08월_계_20~29세,"4,768","1,685",233,268,108,313,175,596,215,158,187,423,407
2020년08월_계_30~39세,"3,671","1,473",224,234,77,256,128,159,197,134,185,306,298
2020년08월_계_40~49세,"5,230","1,891",309,336,115,380,175,230,257,179,248,569,541
2020년08월_계_50~59세,"8,123","2,266",516,627,254,697,399,435,456,349,458,850,816
2020년08월_계_60~69세,"8,075","2,082",573,646,270,693,375,483,537,390,490,805,731
2020년08월_계_70~79세,"6,328","1,592",453,496,204,570,288,409,430,323,400,572,591
2020년08월_계_80~89세,"3,806",856,246,255,136,361,182,285,295,163,225,393,409
2020년08월_계_90~99세,595,146,40,44,27,40,29,43,47,26,26,68,59
2020년08월_계_100세 이상,32,9,1,3,1,5,2,1,4,2,1,3,0
2020년08월_남_총인구수,"23,373","7,230","1,436","1,626",642,"1,878",986,"1,619","1,346",938,"1,219","2,266","2,187"
2020년08월_남_연령구간인구수,"23,373","7,230","1,436","1,626",642,"1,878",986,"1,619","1,346",938,"1,219","2,266","2,187"
2020년08월_남_0~9세,"1,160",509,62,59,15,83,40,33,47,47,52,111,102
2020년08월_남_10~19세,"1,579",644,58,88,22,106,58,87,65,43,60,178,170
2020년08월_남_20~29세,"2,850",961,125,145,62,182,96,507,125,81,95,232,239
2020년08월_남_30~39세,"1,936",768,118,136,40,139,70,89,114,61,89,161,151
2020년08월_남_40~49세,"3,033","1,043",198,196,66,230,98,138,175,113,158,310,308
2020년08월_남_50~59세,"4,495","1,213",292,344,146,389,213,243,255,186,260,482,472
2020년08월_남_60~69세,"4,165","1,044",291,355,146,370,217,241,266,198,241,414,382
2020년08월_남_70~79세,"2,803",713,199,213,90,246,126,184,195,145,196,254,242
2020년08월_남_80~89세,"1,221",303,83,80,47,122,64,89,96,54,65,105,113
2020년08월_남_90~99세,128,31,10,10,8,10,4,8,8,10,3,18,8
2020년08월_남_100세 이상,3,1,0,0,0,1,0,0,0,0,0,1,0
2020년08월_여_총인구수,"22,607","7,044","1,402","1,582",634,"1,794",941,"1,229","1,308",949,"1,238","2,259","2,227"
2020년08월_여_연령구간인구수,"22,607","7,044","1,402","1,582",634,"1,794",941,"1,229","1,308",949,"1,238","2,259","2,227"
2020년08월_여_0~9세,"1,162",542,70,62,21,66,29,38,41,30,62,102,99
2020년08월_여_10~19세,"1,451",579,53,90,26,102,47,49,63,43,63,145,191
2020년08월_여_20~29세,"1,918",724,108,123,46,131,79,89,90,77,92,191,168
2020년08월_여_30~39세,"1,735",705,106,98,37,117,58,70,83,73,96,145,147
2020년08월_여_40~49세,"2,197",848,111,140,49,150,77,92,82,66,90,259,233
2020년08월_여_50~59세,"3,628","1,053",224,283,108,308,186,192,201,163,198,368,344
2020년08월_여_60~69세,"3,910","1,038",282,291,124,323,158,242,271,192,249,391,349
2020년08월_여_70~79세,"3,525",879,254,283,114,324,162,225,235,178,204,318,349
2020년08월_여_80~89세,"2,585",553,163,175,89,239,118,196,199,109,160,288,296
2020년08월_여_90~99세,467,115,30,34,19,30,25,35,39,16,23,50,51
2020년08월_여_100세 이상,29,8,1,3,1,4,2,1,4,2,1,2,0
