,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년09월_계_총인구수,"225,684","10,989","5,305","4,805","8,810","9,817","13,491","5,291","8,024","5,629","6,260","3,045","4,519","3,278","9,552","17,773","10,952","19,395","12,082","16,979","4,994","11,594","9,359","23,741"
2020년09월_계_연령구간인구수,"225,684","10,989","5,305","4,805","8,810","9,817","13,491","5,291","8,024","5,629","6,260","3,045","4,519","3,278","9,552","17,773","10,952","19,395","12,082","16,979","4,994","11,594","9,359","23,741"
2020년09월_계_0~9세,"18,822",520,232,172,647,"1,393","1,022",517,246,213,447,65,149,144,737,"1,939","1,013","1,706",878,"1,379",460,"1,176",821,"2,946"
2020년09월_계_10~19세,"24,837",762,340,292,945,"1,113","1,597",482,451,353,618,136,215,249,"1,027","2,504","1,445","2,228","1,172","1,908",548,"1,615","1,022","3,815"
2020년09월_계_20~29세,"27,261","1,165",532,439,"1,039","1,290","1,844",538,755,540,735,209,524,308,"1,140","1,838","1,179","2,188","2,154","2,657",539,"1,555","1,279","2,814"
2020년09월_계_30~39세,"26,401","1,055",484,384,959,"1,716","1,448",773,660,472,658,227,322,258,"1,028","2,277","1,240","2,253","1,693","2,021",598,"1,481","1,215","3,179"
2020년09월_계_40~49세,"37,784","1,455",713,642,"1,349","1,709","2,315",834,"1,050",755,963,425,555,466,"1,553","3,316","1,879","3,273","2,137","2,760",845,"2,133","1,615","5,042"
2020년09월_계_50~59세,"36,435","1,820",887,857,"1,496","1,196","2,368",797,"1,416",905,943,570,756,536,"1,656","2,519","1,653","3,101","1,971","3,152",783,"1,859","1,718","3,476"
2020년09월_계_60~69세,"28,602","2,081","1,069",879,"1,226",801,"1,610",687,"1,534","1,094","1,011",689,858,571,"1,359","1,783","1,386","2,547","1,222","1,911",651,"1,035",985,"1,613"
2020년09월_계_70~79세,"17,508","1,495",772,778,779,406,876,440,"1,305",933,644,502,745,506,735,"1,068",779,"1,427",571,791,383,497,469,607
2020년09월_계_80~89세,"6,993",555,231,319,323,162,363,200,509,331,223,191,348,207,286,464,325,576,247,348,161,215,205,204
2020년09월_계_90~99세,961,76,41,39,43,29,41,19,90,31,18,25,38,28,31,62,49,90,35,50,26,26,29,45
2020년09월_계_100세 이상,80,5,4,4,4,2,7,4,8,2,0,6,9,5,0,3,4,6,2,2,0,2,1,0
2020년09월_남_총인구수,"112,457","5,500","2,685","2,422","4,299","4,830","6,674","2,609","4,080","2,958","3,090","1,621","2,418","1,705","4,802","8,758","5,419","9,462","6,225","8,499","2,507","5,553","4,555","11,786"
2020년09월_남_연령구간인구수,"112,457","5,500","2,685","2,422","4,299","4,830","6,674","2,609","4,080","2,958","3,090","1,621","2,418","1,705","4,802","8,758","5,419","9,462","6,225","8,499","2,507","5,553","4,555","11,786"
2020년09월_남_0~9세,"9,653",282,120,81,307,730,535,278,119,111,234,28,72,66,409,990,552,874,453,697,220,584,406,"1,505"
2020년09월_남_10~19세,"12,736",377,178,141,500,558,811,245,233,182,297,74,111,129,517,"1,280",734,"1,144",662,"1,020",300,795,535,"1,913"
2020년09월_남_20~29세,"14,730",652,312,240,544,641,"1,036",270,412,310,391,115,359,176,638,"1,001",641,"1,182","1,079","1,447",286,792,668,"1,538"
2020년09월_남_30~39세,"13,612",598,270,235,513,843,765,385,382,280,362,142,201,156,554,"1,110",605,"1,163",915,"1,039",302,693,619,"1,480"
2020년09월_남_40~49세,"19,462",819,426,412,689,860,"1,152",438,601,468,512,280,372,277,827,"1,689",956,"1,597","1,131","1,324",438,958,796,"2,440"
2020년09월_남_50~59세,"18,291",926,461,469,712,590,"1,171",406,778,503,437,348,453,315,798,"1,238",782,"1,472","1,046","1,513",396,907,801,"1,769"
2020년09월_남_60~69세,"13,639",948,479,407,561,360,743,331,758,508,459,334,435,294,624,814,644,"1,231",606,978,333,502,469,821
2020년09월_남_70~79세,"7,759",670,364,323,358,196,344,191,588,436,308,220,312,213,327,459,369,627,254,349,173,228,183,267
2020년09월_남_80~89세,"2,360",211,71,100,107,48,106,61,186,149,86,74,97,71,103,158,131,153,71,120,54,87,71,45
2020년09월_남_90~99세,199,14,4,12,8,3,10,3,21,10,4,4,6,6,5,19,5,19,8,12,5,7,6,8
2020년09월_남_100세 이상,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
