카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년11월_계_총인구수,"218,785","10,266","5,050","4,597","9,415","10,483","12,627","4,948","7,434","5,240","5,950","2,752","3,962","3,047","9,103","16,660","10,667","21,259","11,787","16,332","4,682","11,289","8,188","23,047"
2021년11월_계_연령구간인구수,"218,785","10,266","5,050","4,597","9,415","10,483","12,627","4,948","7,434","5,240","5,950","2,752","3,962","3,047","9,103","16,660","10,667","21,259","11,787","16,332","4,682","11,289","8,188","23,047"
2021년11월_계_0~9세,"16,496",403,199,135,633,"1,487",853,452,195,175,375,47,119,125,603,"1,523",935,"1,755",742,"1,166",334,"1,041",615,"2,584"
2021년11월_계_10~19세,"23,809",672,296,303,"1,041","1,282","1,434",448,385,296,593,114,193,210,965,"2,390","1,425","2,357","1,098","1,821",488,"1,579",816,"3,603"
2021년11월_계_20~29세,"26,264","1,012",490,377,"1,133","1,225","1,665",501,675,486,664,178,385,281,"1,055","1,767","1,161","2,504","2,178","2,516",532,"1,405","1,170","2,904"
2021년11월_계_30~39세,"23,716",896,405,338,975,"1,796","1,244",643,545,397,558,177,246,231,899,"1,836","1,073","2,444","1,527","1,844",506,"1,355",963,"2,818"
2021년11월_계_40~49세,"36,089","1,311",665,605,"1,456","1,892","2,106",791,912,679,919,361,453,404,"1,449","3,146","1,867","3,508","2,007","2,620",787,"2,109","1,315","4,727"
2021년11월_계_50~59세,"35,977","1,716",820,792,"1,621","1,285","2,283",775,"1,308",821,908,485,655,500,"1,584","2,493","1,580","3,479","2,014","3,040",760,"1,858","1,571","3,629"
2021년11월_계_60~69세,"29,925","2,059","1,060",878,"1,363",887,"1,677",685,"1,499","1,049",995,654,804,558,"1,404","1,863","1,446","2,935","1,334","2,084",688,"1,144","1,028","1,831"
2021년11월_계_70~79세,"17,914","1,525",812,769,792,429,926,420,"1,284",941,680,500,719,501,775,"1,079",774,"1,529",589,799,386,533,460,692
2021년11월_계_80~89세,"7,592",592,256,353,347,176,397,217,545,352,235,211,354,213,340,500,359,651,262,392,172,230,221,217
2021년11월_계_90~99세,973,78,46,45,52,24,42,14,83,42,23,24,32,24,29,62,44,95,33,48,29,35,29,40
2021년11월_계_100세 이상,30,2,1,2,2,0,0,2,3,2,0,1,2,0,0,1,3,2,3,2,0,0,0,2
2021년11월_남_총인구수,"108,916","5,136","2,536","2,340","4,573","5,172","6,210","2,434","3,786","2,740","2,910","1,470","2,115","1,576","4,549","8,192","5,262","10,427","6,091","8,102","2,339","5,432","3,990","11,534"
2021년11월_남_연령구간인구수,"108,916","5,136","2,536","2,340","4,573","5,172","6,210","2,434","3,786","2,740","2,910","1,470","2,115","1,576","4,549","8,192","5,262","10,427","6,091","8,102","2,339","5,432","3,990","11,534"
2021년11월_남_0~9세,"8,508",218,106,62,302,773,444,248,99,91,187,20,70,56,325,766,516,924,386,595,170,522,300,"1,328"
2021년11월_남_10~19세,"12,182",336,154,154,543,660,732,218,190,156,286,62,101,99,484,"1,234",717,"1,204",601,937,260,783,433,"1,838"
2021년11월_남_20~29세,"14,233",553,286,218,591,632,938,260,386,275,344,107,247,170,588,973,639,"1,328","1,106","1,376",280,729,607,"1,600"
2021년11월_남_30~39세,"12,206",524,216,207,515,862,655,315,312,243,299,110,160,138,486,897,528,"1,303",825,910,256,621,486,"1,338"
2021년11월_남_40~49세,"18,607",746,393,380,728,950,"1,055",421,528,419,494,242,313,245,771,"1,578",929,"1,735","1,060","1,281",403,976,676,"2,284"
2021년11월_남_50~59세,"18,245",893,441,460,779,629,"1,141",393,738,467,434,304,408,298,788,"1,234",758,"1,664","1,078","1,451",396,912,739,"1,840"
2021년11월_남_60~69세,"14,193",944,472,413,621,399,758,320,740,488,450,325,421,291,637,857,651,"1,381",681,"1,043",338,548,475,940
2021년11월_남_70~79세,"7,939",679,373,321,375,208,368,188,572,435,319,212,293,211,345,461,369,679,270,362,177,233,185,304
2021년11월_남_80~89세,"2,599",224,90,112,106,56,112,69,201,150,93,85,97,65,120,172,151,190,76,136,57,100,82,55
2021년11월_남_90~99세,200,19,5,12,12,3,7,2,19,15,4,3,5,3,5,20,4,19,8,11,2,8,7,7
2021년11월_남_100세 이상,4,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"109,869","5,130","2,514","2,257","4,842","5,311","6,417","2,514","3,648","2,500","3,040","1,282","1,847","1,471","4,554","8,468","5,405","10,832","5,696","8,230","2,343","5,857","4,198","11,513"
2021년11월_여_연령구간인구수,"109,869","5,130","2,514","2,257","4,842","5,311","6,417","2,514","3,648","2,500","3,040","1,282","1,847","1,471","4,554","8,468","5,405","10,832","5,696","8,230","2,343","5,857","4,198","11,513"
2021년11월_여_0~9세,"7,988",185,93,73,331,714,409,204,96,84,188,27,49,69,278,757,419,831,356,571,164,519,315,"1,256"
2021년11월_여_10~19세,"11,627",336,142,149,498,622,702,230,195,140,307,52,92,111,481,"1,156",708,"1,153",497,884,228,796,383,"1,765"
2021년11월_여_20~29세,"12,031",459,204,159,542,593,727,241,289,211,320,71,138,111,467,794,522,"1,176","1,072","1,140",252,676,563,"1,304"
2021년11월_여_30~39세,"11,510",372,189,131,460,934,589,328,233,154,259,67,86,93,413,939,545,"1,141",702,934,250,734,477,"1,480"
2021년11월_여_40~49세,"17,482",565,272,225,728,942,"1,051",370,384,260,425,119,140,159,678,"1,568",938,"1,773",947,"1,339",384,"1,133",639,"2,443"
2021년11월_여_50~59세,"17,732",823,379,332,842,656,"1,142",382,570,354,474,181,247,202,796,"1,259",822,"1,815",936,"1,589",364,946,832,"1,789"
2021년11월_여_60~69세,"15,732","1,115",588,465,742,488,919,365,759,561,545,329,383,267,767,"1,006",795,"1,554",653,"1,041",350,596,553,891
2021년11월_여_70~79세,"9,975",846,439,448,417,221,558,232,712,506,361,288,426,290,430,618,405,850,319,437,209,300,275,388
2021년11월_여_80~89세,"4,993",368,166,241,241,120,285,148,344,202,142,126,257,148,220,328,208,461,186,256,115,130,139,162
2021년11월_여_90~99세,773,59,41,33,40,21,35,12,64,27,19,21,27,21,24,42,40,76,25,37,27,27,22,33
2021년11월_여_100세 이상,26,2,1,1,1,0,0,2,2,1,0,1,2,0,0,1,3,2,3,2,0,0,0,2
