카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년02월_계_총인구수,"87,570","10,585","14,617","5,536","32,715","3,133","6,333","4,694","2,007","4,984","2,966"
2021년02월_계_연령구간인구수,"87,570","10,585","14,617","5,536","32,715","3,133","6,333","4,694","2,007","4,984","2,966"
2021년02월_계_0~9세,"7,981",694,"2,252",163,"4,246",48,197,116,63,123,79
2021년02월_계_10~19세,"9,389","1,091","1,460",310,"5,245",143,422,206,85,256,171
2021년02월_계_20~29세,"8,962","1,278","1,054",500,"4,115",238,710,331,142,355,239
2021년02월_계_30~39세,"10,530",926,"2,443",335,"5,437",146,440,269,133,237,164
2021년02월_계_40~49세,"13,900","1,517","2,311",596,"7,123",273,698,413,203,493,273
2021년02월_계_50~59세,"12,961","1,863","1,678","1,140","3,892",590,"1,135",885,346,844,588
2021년02월_계_60~69세,"11,012","1,588","1,534","1,187","1,680",608,"1,220","1,005",478,"1,062",650
2021년02월_계_70~79세,"7,893","1,065","1,146",794,673,584,884,902,359,978,508
2021년02월_계_80~89세,"4,275",500,642,431,265,445,524,488,156,560,264
2021년02월_계_90~99세,632,63,95,75,38,57,87,77,39,74,27
2021년02월_계_100세 이상,35,0,2,5,1,1,16,2,3,2,3
2021년02월_남_총인구수,"43,952","5,288","7,312","2,908","16,163","1,555","3,269","2,366","1,032","2,526","1,533"
2021년02월_남_연령구간인구수,"43,952","5,288","7,312","2,908","16,163","1,555","3,269","2,366","1,032","2,526","1,533"
2021년02월_남_0~9세,"4,106",354,"1,177",79,"2,170",20,107,62,37,67,33
2021년02월_남_10~19세,"4,774",580,722,152,"2,680",77,206,90,44,138,85
2021년02월_남_20~29세,"4,832",725,561,284,"2,041",141,436,193,77,237,137
2021년02월_남_30~39세,"5,361",489,"1,182",192,"2,642",101,257,167,85,140,106
2021년02월_남_40~49세,"7,316",769,"1,284",362,"3,435",170,408,279,129,308,172
2021년02월_남_50~59세,"7,099",986,928,661,"2,032",342,641,512,185,470,342
2021년02월_남_60~69세,"5,520",766,728,652,796,312,637,502,248,533,346
2021년02월_남_70~79세,"3,549",452,532,381,290,261,398,393,164,449,229
2021년02월_남_80~89세,"1,290",158,181,135,71,119,167,153,57,174,75
2021년02월_남_90~99세,99,9,17,9,5,11,12,14,6,10,6
2021년02월_남_100세 이상,6,0,0,1,1,1,0,1,0,0,2
2021년02월_여_총인구수,"43,618","5,297","7,305","2,628","16,552","1,578","3,064","2,328",975,"2,458","1,433"
2021년02월_여_연령구간인구수,"43,618","5,297","7,305","2,628","16,552","1,578","3,064","2,328",975,"2,458","1,433"
2021년02월_여_0~9세,"3,875",340,"1,075",84,"2,076",28,90,54,26,56,46
2021년02월_여_10~19세,"4,615",511,738,158,"2,565",66,216,116,41,118,86
2021년02월_여_20~29세,"4,130",553,493,216,"2,074",97,274,138,65,118,102
2021년02월_여_30~39세,"5,169",437,"1,261",143,"2,795",45,183,102,48,97,58
2021년02월_여_40~49세,"6,584",748,"1,027",234,"3,688",103,290,134,74,185,101
2021년02월_여_50~59세,"5,862",877,750,479,"1,860",248,494,373,161,374,246
2021년02월_여_60~69세,"5,492",822,806,535,884,296,583,503,230,529,304
2021년02월_여_70~79세,"4,344",613,614,413,383,323,486,509,195,529,279
2021년02월_여_80~89세,"2,985",342,461,296,194,326,357,335,99,386,189
2021년02월_여_90~99세,533,54,78,66,33,46,75,63,33,64,21
2021년02월_여_100세 이상,29,0,2,4,0,0,16,1,3,2,1
