,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021년08월_계_총인구수,"281,878","2,669","4,491","18,159","33,241","12,832","2,925","1,779","3,153","1,510",863,"3,216","5,488","2,842","3,644","6,820","25,220","6,192","43,875","7,726","8,726","2,758","2,251","2,966","18,355","40,725","19,452"
2021년08월_계_연령구간인구수,"281,878","2,669","4,491","18,159","33,241","12,832","2,925","1,779","3,153","1,510",863,"3,216","5,488","2,842","3,644","6,820","25,220","6,192","43,875","7,726","8,726","2,758","2,251","2,966","18,355","40,725","19,452"
2021년08월_계_0~9세,"22,873",46,125,"1,443","5,903",843,60,36,56,16,13,80,136,57,129,425,"1,873",322,"3,182",339,339,105,48,81,"2,032","3,476","1,708"
2021년08월_계_10~19세,"29,569",113,188,"2,489","5,027","1,085",94,62,115,41,41,144,277,136,269,561,"2,596",527,"5,139",581,656,172,92,198,"1,746","4,727","2,493"
2021년08월_계_20~29세,"37,059",197,381,"3,099","3,210","1,385",150,117,183,66,50,219,415,286,344,"1,136","3,838",734,"6,503",924,"1,082",320,250,361,"2,104","6,432","3,273"
2021년08월_계_30~39세,"33,059",103,264,"2,153","6,581","1,374",121,98,135,65,27,141,263,154,274,858,"2,837",632,"4,855",733,758,241,209,271,"2,503","5,079","2,330"
2021년08월_계_40~49세,"42,668",202,424,"3,266","6,970","1,757",204,122,219,114,52,231,495,256,427,843,"3,664",838,"6,868",980,"1,024",293,268,386,"2,857","6,618","3,290"
2021년08월_계_50~59세,"49,197",505,854,"3,574","3,578","2,301",463,293,527,276,138,504,930,550,543,983,"4,467","1,129","8,557","1,311","1,652",433,416,496,"3,063","7,771","3,883"
2021년08월_계_60~69세,"36,044",596,949,"1,335","1,382","2,057",650,430,721,330,199,789,"1,163",615,759,948,"3,547","1,076","5,686","1,422","1,629",532,499,564,"2,227","4,234","1,705"
2021년08월_계_70~79세,"19,156",445,713,481,400,"1,227",645,343,632,311,164,618,920,437,581,673,"1,565",613,"2,064",974,"1,072",434,311,396,"1,120","1,516",501
2021년08월_계_80~89세,"10,545",399,506,277,162,697,461,238,490,251,145,419,776,294,273,349,712,268,874,401,453,197,129,187,600,752,235
2021년08월_계_90~99세,"1,642",62,87,38,27,103,76,39,75,33,33,69,108,52,43,42,115,49,136,60,60,31,28,26,98,118,34
2021년08월_계_100세 이상,66,1,0,4,1,3,1,1,0,7,1,2,5,5,2,2,6,4,11,1,1,0,1,0,5,2,0
2021년08월_남_총인구수,"140,664","1,319","2,321","8,960","16,915","6,430","1,477",849,"1,593",784,417,"1,562","2,747","1,453","1,780","3,366","12,407","3,129","21,895","3,841","4,413","1,347","1,172","1,502","9,265","20,141","9,579"
2021년08월_남_연령구간인구수,"140,664","1,319","2,321","8,960","16,915","6,430","1,477",849,"1,593",784,417,"1,562","2,747","1,453","1,780","3,366","12,407","3,129","21,895","3,841","4,413","1,347","1,172","1,502","9,265","20,141","9,579"
2021년08월_남_0~9세,"11,692",33,55,723,"3,040",445,29,19,31,11,7,42,73,37,62,200,958,176,"1,578",182,183,52,25,42,"1,060","1,761",868
2021년08월_남_10~19세,"15,404",51,101,"1,318","2,660",586,50,26,65,26,21,80,140,77,144,309,"1,291",281,"2,684",308,346,86,52,107,917,"2,446","1,232"
2021년08월_남_20~29세,"20,160",121,229,"1,663","1,705",710,90,55,117,42,32,113,240,176,187,587,"2,135",396,"3,612",514,617,167,120,207,"1,161","3,385","1,779"
2021년08월_남_30~39세,"17,025",52,166,"1,098","3,193",738,77,53,93,46,15,78,152,93,156,474,"1,431",345,"2,543",385,397,140,127,150,"1,278","2,569","1,176"
2021년08월_남_40~49세,"21,052",119,265,"1,441","3,451",906,144,79,152,76,34,139,322,145,229,419,"1,785",428,"3,269",543,571,151,160,199,"1,471","3,100","1,454"
2021년08월_남_50~59세,"24,790",309,520,"1,772","1,941","1,224",289,160,308,172,87,266,519,295,276,492,"2,078",586,"4,066",632,849,215,242,259,"1,532","3,803","1,898"
2021년08월_남_60~69세,"18,056",322,493,671,720,"1,050",334,241,365,195,104,411,622,330,360,442,"1,722",506,"2,841",663,753,241,237,276,"1,110","2,170",877
2021년08월_남_70~79세,"8,669",188,318,188,164,549,298,143,286,133,79,283,409,188,281,300,733,293,979,427,502,187,144,182,533,669,213
2021년08월_남_80~89세,"3,481",105,161,81,37,204,146,66,159,74,34,137,245,100,75,134,252,108,296,176,185,101,58,71,187,213,76
2021년08월_남_90~99세,329,19,13,5,4,18,20,7,17,6,3,13,24,12,10,9,22,10,26,11,10,7,7,9,16,25,6
2021년08월_남_100세 이상,6,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"141,214","1,350","2,170","9,199","16,326","6,402","1,448",930,"1,560",726,446,"1,654","2,741","1,389","1,864","3,454","12,813","3,063","21,980","3,885","4,313","1,411","1,079","1,464","9,090","20,584","9,873"
2021년08월_여_연령구간인구수,"141,214","1,350","2,170","9,199","16,326","6,402","1,448",930,"1,560",726,446,"1,654","2,741","1,389","1,864","3,454","12,813","3,063","21,980","3,885","4,313","1,411","1,079","1,464","9,090","20,584","9,873"
2021년08월_여_0~9세,"11,181",13,70,720,"2,863",398,31,17,25,5,6,38,63,20,67,225,915,146,"1,604",157,156,53,23,39,972,"1,715",840
