카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년09월_계_총인구수,"39,271","4,267",242,"5,847",245,224,"1,503",327,"3,168","2,281","3,566","2,544",219,"2,348",450,230,519,327,"1,780","1,575","1,583","2,728",280,987,"2,031"
2020년09월_계_연령구간인구수,"39,271","4,267",242,"5,847",245,224,"1,503",327,"3,168","2,281","3,566","2,544",219,"2,348",450,230,519,327,"1,780","1,575","1,583","2,728",280,987,"2,031"
2020년09월_계_0~9세,"1,626",155,5,233,9,11,48,6,176,91,141,114,9,71,11,11,35,12,79,78,78,125,10,20,98
2020년09월_계_10~19세,"2,049",225,6,284,5,6,50,14,219,99,218,215,5,124,23,17,34,23,106,102,64,97,7,34,72
2020년09월_계_20~29세,"2,839",291,14,516,9,6,114,20,227,143,213,173,7,210,70,16,50,30,121,131,84,198,18,52,126
2020년09월_계_30~39세,"2,790",273,15,445,17,15,97,20,219,141,235,177,13,201,48,14,62,27,121,131,114,180,33,61,131
2020년09월_계_40~49세,"4,388",461,16,650,22,23,189,37,411,218,418,276,33,311,75,28,90,43,195,219,161,227,25,80,180
2020년09월_계_50~59세,"7,099",781,55,"1,116",40,32,295,70,575,437,628,383,58,453,88,51,103,62,322,286,240,463,47,148,366
2020년09월_계_60~69세,"7,622",837,51,"1,228",64,49,241,72,575,450,699,456,44,390,70,43,72,66,330,281,333,554,67,226,424
2020년09월_계_70~79세,"6,415",738,39,816,56,54,291,62,506,429,624,422,30,329,40,25,44,41,287,208,296,476,45,219,338
2020년09월_계_80~89세,"3,944",447,39,482,21,27,163,25,242,250,342,298,17,213,24,22,29,17,200,124,189,349,24,132,268
2020년09월_계_90~99세,483,58,2,73,2,1,15,1,18,23,48,30,2,41,1,3,0,6,19,13,22,58,4,15,28
2020년09월_계_100세 이상,16,1,0,4,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,2,1,0,0,0
2020년09월_남_총인구수,"20,917","2,226",126,"3,150",127,129,810,189,"1,685","1,203","1,866","1,308",127,"1,314",289,130,297,193,952,860,831,"1,419",152,491,"1,043"
2020년09월_남_연령구간인구수,"20,917","2,226",126,"3,150",127,129,810,189,"1,685","1,203","1,866","1,308",127,"1,314",289,130,297,193,952,860,831,"1,419",152,491,"1,043"
2020년09월_남_0~9세,842,87,2,129,5,9,24,2,86,50,75,58,6,32,6,6,18,5,33,33,42,62,6,10,56
2020년09월_남_10~19세,"1,053",107,2,134,2,4,24,11,118,49,103,105,3,74,14,10,23,13,60,55,27,53,4,16,42
2020년09월_남_20~29세,"1,708",187,10,289,6,4,70,9,139,82,112,108,3,132,49,10,24,19,79,72,53,119,12,43,77
2020년09월_남_30~39세,"1,758",162,9,285,11,11,66,17,133,99,143,116,6,133,38,9,43,16,67,78,71,107,22,37,79
2020년09월_남_40~49세,"2,930",299,11,416,17,18,138,27,273,138,268,167,26,222,57,24,64,33,133,151,115,153,15,50,115
2020년09월_남_50~59세,"4,317",474,36,644,24,20,193,47,350,253,387,227,39,289,60,33,62,44,205,176,152,289,23,78,212
2020년09월_남_60~69세,"4,180",461,32,683,36,26,123,34,308,239,377,253,24,223,41,23,36,39,177,165,174,308,39,128,231
2020년09월_남_70~79세,"2,870",307,12,387,20,25,118,33,216,194,290,194,17,136,16,11,21,21,142,97,134,215,24,94,146
2020년09월_남_80~89세,"1,168",132,12,168,5,11,53,9,60,93,104,76,3,70,8,3,6,2,51,29,59,100,5,33,76
2020년09월_남_90~99세,86,10,0,14,1,1,1,0,2,6,7,4,0,2,0,1,0,1,5,3,3,12,2,2,9
2020년09월_남_100세 이상,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
