카테고리,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년02월_계_총인구수,"53,694","21,974","4,836","7,042","1,785","1,792","1,381","2,418","2,415","4,115","5,330",414,192
2020년02월_계_연령구간인구수,"53,694","21,974","4,836","7,042","1,785","1,792","1,381","2,418","2,415","4,115","5,330",414,192
2020년02월_계_0~9세,"3,784","2,105",194,666,74,83,53,103,83,145,254,12,12
2020년02월_계_10~19세,"4,344","2,410",273,565,122,77,60,204,67,173,375,15,3
2020년02월_계_20~29세,"5,141","2,471",375,845,142,139,99,177,138,253,467,26,9
2020년02월_계_30~39세,"5,001","2,387",282,943,133,125,118,137,139,277,427,21,12
2020년02월_계_40~49세,"6,816","3,439",498,911,180,147,106,270,185,386,595,73,26
2020년02월_계_50~59세,"8,818","3,440",835,"1,173",292,304,258,395,362,701,936,85,37
2020년02월_계_60~69세,"8,236","2,780",847,862,315,320,279,393,455,891,936,108,50
2020년02월_계_70~79세,"7,164","1,905",942,700,298,320,245,430,555,847,848,41,33
2020년02월_계_80~89세,"3,831",889,522,332,193,239,144,271,389,393,425,25,9
2020년02월_계_90~99세,522,135,61,40,34,37,19,35,40,49,63,8,1
2020년02월_계_100세 이상,37,13,7,5,2,1,0,3,2,0,4,0,0
2020년02월_남_총인구수,"26,740","10,756","2,431","3,691",944,863,681,"1,229","1,155","2,020","2,603",253,114
2020년02월_남_연령구간인구수,"26,740","10,756","2,431","3,691",944,863,681,"1,229","1,155","2,020","2,603",253,114
2020년02월_남_0~9세,"1,926","1,066",96,361,43,43,20,46,45,67,126,6,7
2020년02월_남_10~19세,"2,255","1,229",148,278,89,40,30,115,37,86,193,7,3
2020년02월_남_20~29세,"2,846","1,312",226,489,84,64,52,103,74,153,266,19,4
2020년02월_남_30~39세,"2,610","1,136",166,519,76,65,62,85,80,166,234,14,7
2020년02월_남_40~49세,"3,894","1,772",320,519,118,97,73,176,119,264,361,55,20
2020년02월_남_50~59세,"4,800","1,735",499,680,167,170,141,256,213,378,480,57,24
2020년02월_남_60~69세,"4,082","1,324",412,442,176,164,147,189,222,431,482,65,28
2020년02월_남_70~79세,"3,044",871,378,294,123,137,106,174,222,359,338,23,19
2020년02월_남_80~89세,"1,180",284,169,101,58,75,46,79,137,107,115,7,2
2020년02월_남_90~99세,99,27,14,7,10,8,4,6,6,9,8,0,0
2020년02월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"26,954","11,218","2,405","3,351",841,929,700,"1,189","1,260","2,095","2,727",161,78
2020년02월_여_연령구간인구수,"26,954","11,218","2,405","3,351",841,929,700,"1,189","1,260","2,095","2,727",161,78
2020년02월_여_0~9세,"1,858","1,039",98,305,31,40,33,57,38,78,128,6,5
2020년02월_여_10~19세,"2,089","1,181",125,287,33,37,30,89,30,87,182,8,0
2020년02월_여_20~29세,"2,295","1,159",149,356,58,75,47,74,64,100,201,7,5
2020년02월_여_30~39세,"2,391","1,251",116,424,57,60,56,52,59,111,193,7,5
2020년02월_여_40~49세,"2,922","1,667",178,392,62,50,33,94,66,122,234,18,6
2020년02월_여_50~59세,"4,018","1,705",336,493,125,134,117,139,149,323,456,28,13
2020년02월_여_60~69세,"4,154","1,456",435,420,139,156,132,204,233,460,454,43,22
2020년02월_여_70~79세,"4,120","1,034",564,406,175,183,139,256,333,488,510,18,14
2020년02월_여_80~89세,"2,651",605,353,231,135,164,98,192,252,286,310,18,7
2020년02월_여_90~99세,423,108,47,33,24,29,15,29,34,40,55,8,1
2020년02월_여_100세 이상,33,13,4,4,2,1,0,3,2,0,4,0,0
