,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년07월_계_총인구수,"54,223","8,320","14,994","6,734","1,889","2,058","3,827","3,615","2,302","3,225","1,961","3,004","2,294"
2020년07월_계_연령구간인구수,"54,223","8,320","14,994","6,734","1,889","2,058","3,827","3,615","2,302","3,225","1,961","3,004","2,294"
2020년07월_계_0~9세,"3,800",641,"1,660",679,72,48,125,112,71,109,76,135,72
2020년07월_계_10~19세,"4,579",812,"1,820",730,102,81,194,149,110,175,88,206,112
2020년07월_계_20~29세,"5,036",874,"1,551",894,122,109,281,247,184,248,123,251,152
2020년07월_계_30~39세,"5,062",758,"1,959",965,112,99,246,189,140,165,109,165,155
2020년07월_계_40~49세,"7,618","1,078","2,921","1,310",176,200,399,348,193,308,163,300,222
2020년07월_계_50~59세,"9,385","1,480","2,424","1,297",315,376,690,612,430,552,308,507,394
2020년07월_계_60~69세,"7,883","1,148","1,424",487,338,428,776,801,457,592,381,567,484
2020년07월_계_70~79세,"6,336",916,824,234,323,409,655,675,394,634,389,485,398
2020년07월_계_80~89세,"3,979",512,371,117,293,274,408,425,296,387,283,332,281
2020년07월_계_90~99세,511,97,36,20,32,34,47,54,25,53,37,53,23
2020년07월_계_100세 이상,34,4,4,1,4,0,6,3,2,2,4,3,1
2020년07월_남_총인구수,"27,869","4,117","7,973","3,858",921,"1,033","1,916","1,800","1,167","1,541",933,"1,460","1,150"
2020년07월_남_연령구간인구수,"27,869","4,117","7,973","3,858",921,"1,033","1,916","1,800","1,167","1,541",933,"1,460","1,150"
2020년07월_남_0~9세,"1,911",340,784,349,45,20,51,67,50,69,32,70,34
2020년07월_남_10~19세,"2,444",432,969,386,45,50,105,85,70,95,52,102,53
2020년07월_남_20~29세,"2,873",478,832,547,70,62,187,152,108,139,70,135,93
2020년07월_남_30~39세,"2,790",383,"1,021",582,72,58,142,112,86,91,59,89,95
2020년07월_남_40~49세,"4,512",564,"1,726",794,107,122,239,234,119,190,109,166,142
2020년07월_남_50~59세,"5,360",776,"1,414",800,199,226,371,357,237,300,176,289,215
2020년07월_남_60~69세,"3,991",562,748,272,154,242,396,388,251,276,181,273,248
2020년07월_남_70~79세,"2,642",398,366,95,126,168,272,291,152,249,153,205,167
2020년07월_남_80~89세,"1,235",161,104,29,91,77,141,108,87,123,97,117,100
2020년07월_남_90~99세,104,22,8,4,11,8,9,6,7,9,3,14,3
2020년07월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년07월_여_총인구수,"26,354","4,203","7,021","2,876",968,"1,025","1,911","1,815","1,135","1,684","1,028","1,544","1,144"
2020년07월_여_연령구간인구수,"26,354","4,203","7,021","2,876",968,"1,025","1,911","1,815","1,135","1,684","1,028","1,544","1,144"
2020년07월_여_0~9세,"1,889",301,876,330,27,28,74,45,21,40,44,65,38
2020년07월_여_10~19세,"2,135",380,851,344,57,31,89,64,40,80,36,104,59
2020년07월_여_20~29세,"2,163",396,719,347,52,47,94,95,76,109,53,116,59
2020년07월_여_30~39세,"2,272",375,938,383,40,41,104,77,54,74,50,76,60
2020년07월_여_40~49세,"3,106",514,"1,195",516,69,78,160,114,74,118,54,134,80
2020년07월_여_50~59세,"4,025",704,"1,010",497,116,150,319,255,193,252,132,218,179
2020년07월_여_60~69세,"3,892",586,676,215,184,186,380,413,206,316,200,294,236
2020년07월_여_70~79세,"3,694",518,458,139,197,241,383,384,242,385,236,280,231
2020년07월_여_80~89세,"2,744",351,267,88,202,197,267,317,209,264,186,215,181
2020년07월_여_90~99세,407,75,28,16,21,26,38,48,18,44,34,39,20
2020년07월_여_100세 이상,27,3,3,1,3,0,3,3,2,2,3,3,1
