카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년08월_계_총인구수,"54,045","8,332","14,965","6,641","1,873","2,065","3,819","3,602","2,294","3,220","1,955","2,996","2,283"
2020년08월_계_연령구간인구수,"54,045","8,332","14,965","6,641","1,873","2,065","3,819","3,602","2,294","3,220","1,955","2,996","2,283"
2020년08월_계_0~9세,"3,724",633,"1,635",643,71,49,124,110,73,104,78,134,70
2020년08월_계_10~19세,"4,540",817,"1,812",720,100,80,189,141,109,171,85,206,110
2020년08월_계_20~29세,"5,017",868,"1,552",891,121,114,276,251,181,248,121,246,148
2020년08월_계_30~39세,"5,007",763,"1,939",932,111,99,248,187,137,167,110,164,150
2020년08월_계_40~49세,"7,566","1,073","2,906","1,290",174,201,398,340,192,305,163,304,220
2020년08월_계_50~59세,"9,405","1,490","2,451","1,302",313,374,687,612,431,550,303,500,392
2020년08월_계_60~69세,"7,909","1,155","1,436",486,337,433,776,799,457,599,382,564,485
2020년08월_계_70~79세,"6,347",917,824,235,322,405,664,673,393,633,389,489,403
2020년08월_계_80~89세,"3,978",514,370,120,289,274,406,430,294,386,282,332,281
2020년08월_계_90~99세,518,98,36,21,31,36,45,56,25,55,38,54,23
2020년08월_계_100세 이상,34,4,4,1,4,0,6,3,2,2,4,3,1
2020년08월_남_총인구수,"27,777","4,125","7,954","3,807",913,"1,039","1,910","1,790","1,165","1,543",929,"1,455","1,147"
2020년08월_남_연령구간인구수,"27,777","4,125","7,954","3,807",913,"1,039","1,910","1,790","1,165","1,543",929,"1,455","1,147"
2020년08월_남_0~9세,"1,867",336,768,330,44,20,50,64,51,66,34,71,33
2020년08월_남_10~19세,"2,421",435,968,380,44,50,103,80,69,93,49,100,50
2020년08월_남_20~29세,"2,875",478,840,545,69,63,183,155,107,140,71,131,93
2020년08월_남_30~39세,"2,742",384,"1,002",558,71,59,145,110,84,92,59,86,92
2020년08월_남_40~49세,"4,486",563,"1,716",784,108,121,237,228,119,188,109,171,142
2020년08월_남_50~59세,"5,375",777,"1,422",806,198,226,370,359,237,302,174,288,216
2020년08월_남_60~69세,"4,016",569,758,273,153,246,397,387,252,280,179,271,251
2020년08월_남_70~79세,"2,650",398,370,96,126,168,273,290,151,251,153,207,167
2020년08월_남_80~89세,"1,233",161,101,31,89,78,140,111,88,121,97,116,100
2020년08월_남_90~99세,105,23,8,4,10,8,9,6,7,10,3,14,3
2020년08월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년08월_여_총인구수,"26,268","4,207","7,011","2,834",960,"1,026","1,909","1,812","1,129","1,677","1,026","1,541","1,136"
2020년08월_여_연령구간인구수,"26,268","4,207","7,011","2,834",960,"1,026","1,909","1,812","1,129","1,677","1,026","1,541","1,136"
2020년08월_여_0~9세,"1,857",297,867,313,27,29,74,46,22,38,44,63,37
2020년08월_여_10~19세,"2,119",382,844,340,56,30,86,61,40,78,36,106,60
2020년08월_여_20~29세,"2,142",390,712,346,52,51,93,96,74,108,50,115,55
2020년08월_여_30~39세,"2,265",379,937,374,40,40,103,77,53,75,51,78,58
2020년08월_여_40~49세,"3,080",510,"1,190",506,66,80,161,112,73,117,54,133,78
2020년08월_여_50~59세,"4,030",713,"1,029",496,115,148,317,253,194,248,129,212,176
2020년08월_여_60~69세,"3,893",586,678,213,184,187,379,412,205,319,203,293,234
2020년08월_여_70~79세,"3,697",519,454,139,196,237,391,383,242,382,236,282,236
2020년08월_여_80~89세,"2,745",353,269,89,200,196,266,319,206,265,185,216,181
2020년08월_여_90~99세,413,75,28,17,21,28,36,50,18,45,35,40,20
2020년08월_여_100세 이상,27,3,3,1,3,0,3,3,2,2,3,3,1
