,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년09월_계_총인구수,"50,065","18,305","3,770","4,435",782,"3,273","3,460","4,300","2,373","2,090",229,"2,550",989,"2,694",815
2020년09월_계_연령구간인구수,"50,065","18,305","3,770","4,435",782,"3,273","3,460","4,300","2,373","2,090",229,"2,550",989,"2,694",815
2020년09월_계_0~9세,"3,213","1,466",218,341,46,110,137,202,119,69,10,150,37,265,43
2020년09월_계_10~19세,"3,669","1,770",194,376,50,131,211,266,102,101,10,147,56,223,32
2020년09월_계_20~29세,"3,770","1,817",232,295,41,205,213,273,128,131,9,157,57,158,54
2020년09월_계_30~39세,"4,086","1,844",296,396,76,191,215,257,125,132,6,169,60,260,59
2020년09월_계_40~49세,"6,290","2,727",437,584,117,338,403,443,212,177,31,295,101,337,88
2020년09월_계_50~59세,"8,129","3,122",599,671,126,521,587,626,399,364,33,351,168,419,143
2020년09월_계_60~69세,"8,527","2,783",737,631,161,706,630,718,492,419,36,456,167,448,143
2020년09월_계_70~79세,"7,428","1,806",626,650,127,643,605,888,481,367,48,494,185,352,156
2020년09월_계_80~89세,"4,366",842,380,437,34,377,414,552,280,288,39,298,137,205,83
2020년09월_계_90~99세,562,118,49,53,2,49,44,73,35,41,6,32,20,27,13
2020년09월_계_100세 이상,25,10,2,1,2,2,1,2,0,1,1,1,1,0,1
2020년09월_남_총인구수,"25,165","9,222","1,918","2,215",428,"1,635","1,772","2,088","1,205","1,025",118,"1,259",492,"1,359",429
2020년09월_남_연령구간인구수,"25,165","9,222","1,918","2,215",428,"1,635","1,772","2,088","1,205","1,025",118,"1,259",492,"1,359",429
2020년09월_남_0~9세,"1,665",791,110,164,23,63,60,97,77,31,8,72,18,130,21
2020년09월_남_10~19세,"1,888",903,94,201,27,66,108,136,46,53,5,71,34,121,23
2020년09월_남_20~29세,"2,199","1,039",137,172,29,105,142,159,79,79,9,96,36,88,29
2020년09월_남_30~39세,"2,233",937,180,224,47,126,114,141,66,88,3,96,33,139,39
2020년09월_남_40~49세,"3,687","1,434",294,346,82,211,258,258,145,104,22,199,62,206,66
2020년09월_남_50~59세,"4,488","1,649",339,367,71,297,342,360,233,213,19,199,97,223,79
2020년09월_남_60~69세,"4,240","1,348",383,324,77,344,327,351,241,213,21,216,88,238,69
2020년09월_남_70~79세,"3,268",821,262,272,62,305,264,377,216,148,20,205,81,158,77
2020년09월_남_80~89세,"1,393",276,112,137,10,112,147,194,95,87,11,97,38,52,25
2020년09월_남_90~99세,101,23,7,8,0,6,10,15,7,8,0,7,5,4,1
2020년09월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년09월_여_총인구수,"24,900","9,083","1,852","2,220",354,"1,638","1,688","2,212","1,168","1,065",111,"1,291",497,"1,335",386
2020년09월_여_연령구간인구수,"24,900","9,083","1,852","2,220",354,"1,638","1,688","2,212","1,168","1,065",111,"1,291",497,"1,335",386
2020년09월_여_0~9세,"1,548",675,108,177,23,47,77,105,42,38,2,78,19,135,22
2020년09월_여_10~19세,"1,781",867,100,175,23,65,103,130,56,48,5,76,22,102,9
2020년09월_여_20~29세,"1,571",778,95,123,12,100,71,114,49,52,0,61,21,70,25
2020년09월_여_30~39세,"1,853",907,116,172,29,65,101,116,59,44,3,73,27,121,20
2020년09월_여_40~49세,"2,603","1,293",143,238,35,127,145,185,67,73,9,96,39,131,22
2020년09월_여_50~59세,"3,641","1,473",260,304,55,224,245,266,166,151,14,152,71,196,64
2020년09월_여_60~69세,"4,287","1,435",354,307,84,362,303,367,251,206,15,240,79,210,74
2020년09월_여_70~79세,"4,160",985,364,378,65,338,341,511,265,219,28,289,104,194,79
2020년09월_여_80~89세,"2,973",566,268,300,24,265,267,358,185,201,28,201,99,153,58
2020년09월_여_90~99세,461,95,42,45,2,43,34,58,28,33,6,25,15,23,12
2020년09월_여_100세 이상,22,9,2,1,2,2,1,2,0,0,1,0,1,0,1
