카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년08월_계_총인구수,"49,171","18,065","3,683","4,333",786,"3,181","3,401","4,191","2,312","2,069",223,"2,471",987,"2,650",819
2021년08월_계_연령구간인구수,"49,171","18,065","3,683","4,333",786,"3,181","3,401","4,191","2,312","2,069",223,"2,471",987,"2,650",819
2021년08월_계_0~9세,"2,986","1,395",203,298,51,86,132,174,114,62,5,137,44,241,44
2021년08월_계_10~19세,"3,518","1,693",193,396,46,118,194,263,94,88,9,134,49,216,25
2021년08월_계_20~29세,"3,738","1,852",211,282,44,183,208,262,130,131,10,137,59,161,68
2021년08월_계_30~39세,"3,722","1,677",278,346,71,156,213,227,107,127,5,169,62,231,53
2021년08월_계_40~49세,"6,033","2,637",412,574,113,314,359,410,203,180,25,275,99,343,89
2021년08월_계_50~59세,"7,935","3,072",565,638,124,527,579,616,387,347,37,339,166,406,132
2021년08월_계_60~69세,"8,719","2,889",750,652,160,723,641,706,487,429,37,461,171,453,160
2021년08월_계_70~79세,"7,324","1,838",608,637,135,625,593,860,465,366,47,478,174,352,146
2021년08월_계_80~89세,"4,553",882,412,448,39,396,428,595,283,289,40,296,141,216,88
2021년08월_계_90~99세,626,125,51,61,2,52,53,76,41,49,7,44,21,31,13
2021년08월_계_100세 이상,17,5,0,1,1,1,1,2,1,1,1,1,1,0,1
2021년08월_남_총인구수,"24,757","9,107","1,860","2,159",432,"1,596","1,731","2,063","1,182","1,007",117,"1,227",493,"1,353",430
2021년08월_남_연령구간인구수,"24,757","9,107","1,860","2,159",432,"1,596","1,731","2,063","1,182","1,007",117,"1,227",493,"1,353",430
2021년08월_남_0~9세,"1,530",746,97,139,24,50,58,83,71,30,3,64,20,123,22
2021년08월_남_10~19세,"1,831",870,96,220,26,59,95,134,43,49,5,70,30,118,16
2021년08월_남_20~29세,"2,195","1,068",126,161,28,100,137,160,81,75,10,85,33,91,40
2021년08월_남_30~39세,"2,011",835,163,196,49,99,115,131,59,79,2,94,36,122,31
2021년08월_남_40~49세,"3,533","1,375",272,334,81,201,226,248,139,106,18,185,66,215,67
2021년08월_남_50~59세,"4,470","1,645",331,359,68,307,342,369,229,205,23,198,96,224,74
2021년08월_남_60~69세,"4,348","1,411",374,336,76,358,335,345,244,218,22,226,90,232,81
2021년08월_남_70~79세,"3,270",844,269,272,67,299,260,369,216,150,24,187,78,165,70
2021년08월_남_80~89세,"1,444",285,123,136,13,117,149,208,91,83,10,106,39,57,27
2021년08월_남_90~99세,123,28,9,6,0,6,14,16,9,11,0,11,5,6,2
2021년08월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년08월_여_총인구수,"24,414","8,958","1,823","2,174",354,"1,585","1,670","2,128","1,130","1,062",106,"1,244",494,"1,297",389
2021년08월_여_연령구간인구수,"24,414","8,958","1,823","2,174",354,"1,585","1,670","2,128","1,130","1,062",106,"1,244",494,"1,297",389
2021년08월_여_0~9세,"1,456",649,106,159,27,36,74,91,43,32,2,73,24,118,22
2021년08월_여_10~19세,"1,687",823,97,176,20,59,99,129,51,39,4,64,19,98,9
2021년08월_여_20~29세,"1,543",784,85,121,16,83,71,102,49,56,0,52,26,70,28
2021년08월_여_30~39세,"1,711",842,115,150,22,57,98,96,48,48,3,75,26,109,22
2021년08월_여_40~49세,"2,500","1,262",140,240,32,113,133,162,64,74,7,90,33,128,22
2021년08월_여_50~59세,"3,465","1,427",234,279,56,220,237,247,158,142,14,141,70,182,58
2021년08월_여_60~69세,"4,371","1,478",376,316,84,365,306,361,243,211,15,235,81,221,79
2021년08월_여_70~79세,"4,054",994,339,365,68,326,333,491,249,216,23,291,96,187,76
2021년08월_여_80~89세,"3,109",597,289,312,26,279,279,387,192,206,30,190,102,159,61
2021년08월_여_90~99세,503,97,42,55,2,46,39,60,32,38,7,33,16,25,11
2021년08월_여_100세 이상,15,5,0,1,1,1,1,2,1,0,1,0,1,0,1
