카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2021년07월_계_총인구수,"43,808","13,428","3,645","3,721","1,805","3,186","6,039","4,032","1,527","1,378","2,868","2,179"
2021년07월_계_연령구간인구수,"43,808","13,428","3,645","3,721","1,805","3,186","6,039","4,032","1,527","1,378","2,868","2,179"
2021년07월_계_0~9세,"2,587",977,292,152,50,138,617,155,49,30,72,55
2021년07월_계_10~19세,"3,183","1,222",292,166,67,174,593,254,91,56,172,96
2021년07월_계_20~29세,"4,068","1,256",300,380,136,279,814,382,124,98,179,120
2021년07월_계_30~39세,"3,498","1,123",253,319,125,172,771,272,105,78,146,134
2021년07월_계_40~49세,"5,355","1,919",459,412,176,361,844,485,151,96,255,197
2021년07월_계_50~59세,"7,406","2,160",606,683,340,577,843,797,280,228,477,415
2021년07월_계_60~69세,"7,505","2,067",644,746,375,606,660,749,296,310,549,503
2021년07월_계_70~79세,"5,818","1,613",456,490,272,481,518,548,251,261,536,392
2021년07월_계_80~89세,"3,849",954,300,322,231,361,343,335,155,192,433,223
2021년07월_계_90~99세,522,133,39,50,32,36,35,55,25,28,47,42
2021년07월_계_100세 이상,17,4,4,1,1,1,1,0,0,1,2,2
2021년07월_남_총인구수,"22,457","6,662","1,851","2,015",954,"1,714","3,169","2,043",799,689,"1,435","1,126"
2021년07월_남_연령구간인구수,"22,457","6,662","1,851","2,015",954,"1,714","3,169","2,043",799,689,"1,435","1,126"
2021년07월_남_0~9세,"1,313",513,163,76,21,77,294,68,25,8,39,29
2021년07월_남_10~19세,"1,671",631,156,85,33,98,307,127,51,31,102,50
2021년07월_남_20~29세,"2,418",694,166,226,87,220,505,227,65,59,103,66
2021년07월_남_30~39세,"1,872",552,112,206,79,92,419,150,63,45,78,76
2021년07월_남_40~49세,"3,023","1,026",247,268,110,228,466,275,92,48,152,111
2021년07월_남_50~59세,"4,246","1,203",370,391,205,321,495,445,169,135,270,242
2021년07월_남_60~69세,"3,982","1,017",322,419,220,330,364,410,159,164,296,281
2021년07월_남_70~79세,"2,570",709,212,224,109,213,207,236,115,115,241,189
2021년07월_남_80~89세,"1,244",293,93,106,80,127,101,93,54,78,144,75
2021년07월_남_90~99세,117,24,9,14,10,8,11,12,6,6,10,7
2021년07월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"21,351","6,766","1,794","1,706",851,"1,472","2,870","1,989",728,689,"1,433","1,053"
2021년07월_여_연령구간인구수,"21,351","6,766","1,794","1,706",851,"1,472","2,870","1,989",728,689,"1,433","1,053"
2021년07월_여_0~9세,"1,274",464,129,76,29,61,323,87,24,22,33,26
2021년07월_여_10~19세,"1,512",591,136,81,34,76,286,127,40,25,70,46
2021년07월_여_20~29세,"1,650",562,134,154,49,59,309,155,59,39,76,54
2021년07월_여_30~39세,"1,626",571,141,113,46,80,352,122,42,33,68,58
2021년07월_여_40~49세,"2,332",893,212,144,66,133,378,210,59,48,103,86
2021년07월_여_50~59세,"3,160",957,236,292,135,256,348,352,111,93,207,173
2021년07월_여_60~69세,"3,523","1,050",322,327,155,276,296,339,137,146,253,222
2021년07월_여_70~79세,"3,248",904,244,266,163,268,311,312,136,146,295,203
2021년07월_여_80~89세,"2,605",661,207,216,151,234,242,242,101,114,289,148
2021년07월_여_90~99세,405,109,30,36,22,28,24,43,19,22,37,35
2021년07월_여_100세 이상,16,4,3,1,1,1,1,0,0,1,2,2
