카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2021년02월_계_총인구수,"37,528","15,352","4,943","3,390","2,323","2,841","1,260","2,095","1,080","1,447","2,797"
2021년02월_계_연령구간인구수,"37,528","15,352","4,943","3,390","2,323","2,841","1,260","2,095","1,080","1,447","2,797"
2021년02월_계_0~9세,"1,968","1,294",151,134,79,77,33,37,15,44,104
2021년02월_계_10~19세,"2,758","1,577",291,208,111,131,52,106,33,78,171
2021년02월_계_20~29세,"3,041","1,589",322,211,129,206,70,142,62,95,215
2021년02월_계_30~39세,"2,706","1,524",292,188,139,163,64,89,46,53,148
2021년02월_계_40~49세,"4,103","2,131",410,330,202,262,102,157,93,140,276
2021년02월_계_50~59세,"6,276","2,476",855,572,337,496,202,390,258,241,449
2021년02월_계_60~69세,"6,654","2,209","1,001",679,505,570,268,373,248,242,559
2021년02월_계_70~79세,"5,442","1,470",888,578,417,482,217,400,175,262,553
2021년02월_계_80~89세,"3,910",904,639,422,331,373,223,363,126,236,293
2021년02월_계_90~99세,645,168,92,63,70,80,26,38,23,56,29
2021년02월_계_100세 이상,25,10,2,5,3,1,3,0,1,0,0
2021년02월_남_총인구수,"18,270","7,497","2,409","1,631","1,123","1,395",598,995,543,715,"1,364"
2021년02월_남_연령구간인구수,"18,270","7,497","2,409","1,631","1,123","1,395",598,995,543,715,"1,364"
2021년02월_남_0~9세,"1,000",646,85,52,44,49,15,18,5,27,59
2021년02월_남_10~19세,"1,455",817,168,106,60,78,22,50,21,40,93
2021년02월_남_20~29세,"1,726",888,185,119,77,118,33,81,36,56,133
2021년02월_남_30~39세,"1,433",750,164,102,87,101,35,51,31,28,84
2021년02월_남_40~49세,"2,263","1,069",238,210,123,151,67,108,55,81,161
2021년02월_남_50~59세,"3,417","1,311",457,317,186,275,118,221,149,151,232
2021년02월_남_60~69세,"3,326","1,063",512,337,270,300,136,194,128,130,256
2021년02월_남_70~79세,"2,303",632,362,243,170,215,100,161,71,106,243
2021년02월_남_80~89세,"1,213",289,217,127,94,92,66,104,40,85,99
2021년02월_남_90~99세,130,31,21,16,12,16,5,7,7,11,4
2021년02월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2021년02월_여_총인구수,"19,258","7,855","2,534","1,759","1,200","1,446",662,"1,100",537,732,"1,433"
2021년02월_여_연령구간인구수,"19,258","7,855","2,534","1,759","1,200","1,446",662,"1,100",537,732,"1,433"
2021년02월_여_0~9세,968,648,66,82,35,28,18,19,10,17,45
2021년02월_여_10~19세,"1,303",760,123,102,51,53,30,56,12,38,78
2021년02월_여_20~29세,"1,315",701,137,92,52,88,37,61,26,39,82
2021년02월_여_30~39세,"1,273",774,128,86,52,62,29,38,15,25,64
2021년02월_여_40~49세,"1,840","1,062",172,120,79,111,35,49,38,59,115
2021년02월_여_50~59세,"2,859","1,165",398,255,151,221,84,169,109,90,217
2021년02월_여_60~69세,"3,328","1,146",489,342,235,270,132,179,120,112,303
2021년02월_여_70~79세,"3,139",838,526,335,247,267,117,239,104,156,310
2021년02월_여_80~89세,"2,697",615,422,295,237,281,157,259,86,151,194
2021년02월_여_90~99세,515,137,71,47,58,64,21,31,16,45,25
2021년02월_여_100세 이상,21,9,2,3,3,1,2,0,1,0,0
