,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년12월_계_총인구수,"31,227","11,131","3,079","3,711","3,581","3,495","3,206","2,383",269,372
2020년12월_계_연령구간인구수,"31,227","11,131","3,079","3,711","3,581","3,495","3,206","2,383",269,372
2020년12월_계_0~9세,"1,704",912,116,190,117,115,105,106,16,27
2020년12월_계_10~19세,"2,279","1,180",171,248,172,198,126,132,10,42
2020년12월_계_20~29세,"2,700","1,298",218,286,240,242,229,148,17,22
2020년12월_계_30~39세,"2,313","1,169",182,273,205,174,152,123,15,20
2020년12월_계_40~49세,"3,722","1,648",330,403,382,336,245,301,29,48
2020년12월_계_50~59세,"5,109","1,769",523,594,638,587,512,381,45,60
2020년12월_계_60~69세,"5,355","1,500",607,724,696,673,639,416,44,56
2020년12월_계_70~79세,"4,747","1,065",536,556,658,672,700,441,51,68
2020년12월_계_80~89세,"2,913",527,351,380,414,423,445,309,40,24
2020년12월_계_90~99세,367,59,44,51,58,74,51,23,2,5
2020년12월_계_100세 이상,18,4,1,6,1,1,2,3,0,0
2020년12월_남_총인구수,"15,429","5,483","1,558","1,795","1,831","1,673","1,538","1,223",141,187
2020년12월_남_연령구간인구수,"15,429","5,483","1,558","1,795","1,831","1,673","1,538","1,223",141,187
2020년12월_남_0~9세,809,424,58,97,62,54,48,45,8,13
2020년12월_남_10~19세,"1,191",620,83,127,94,103,62,71,10,21
2020년12월_남_20~29세,"1,553",744,138,145,134,134,144,90,7,17
2020년12월_남_30~39세,"1,259",603,104,155,127,96,83,72,9,10
2020년12월_남_40~49세,"2,154",843,198,242,254,203,167,196,20,31
2020년12월_남_50~59세,"2,823",891,309,316,366,329,294,246,30,42
2020년12월_남_60~69세,"2,700",724,317,358,360,340,312,239,26,24
2020년12월_남_70~79세,"2,012",465,232,228,282,290,289,180,23,23
2020년12월_남_80~89세,863,158,110,118,140,114,129,82,7,5
2020년12월_남_90~99세,65,11,9,9,12,10,10,2,1,1
2020년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년12월_여_총인구수,"15,798","5,648","1,521","1,916","1,750","1,822","1,668","1,160",128,185
2020년12월_여_연령구간인구수,"15,798","5,648","1,521","1,916","1,750","1,822","1,668","1,160",128,185
2020년12월_여_0~9세,895,488,58,93,55,61,57,61,8,14
2020년12월_여_10~19세,"1,088",560,88,121,78,95,64,61,0,21
2020년12월_여_20~29세,"1,147",554,80,141,106,108,85,58,10,5
2020년12월_여_30~39세,"1,054",566,78,118,78,78,69,51,6,10
2020년12월_여_40~49세,"1,568",805,132,161,128,133,78,105,9,17
2020년12월_여_50~59세,"2,286",878,214,278,272,258,218,135,15,18
2020년12월_여_60~69세,"2,655",776,290,366,336,333,327,177,18,32
2020년12월_여_70~79세,"2,735",600,304,328,376,382,411,261,28,45
2020년12월_여_80~89세,"2,050",369,241,262,274,309,316,227,33,19
2020년12월_여_90~99세,302,48,35,42,46,64,41,21,1,4
2020년12월_여_100세 이상,18,4,1,6,1,1,2,3,0,0
