카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년07월_계_총인구수,"31,444","8,238","3,334","1,815","3,750","1,867","3,109","2,818","2,784","3,729"
2021년07월_계_연령구간인구수,"31,444","8,238","3,334","1,815","3,750","1,867","3,109","2,818","2,784","3,729"
2021년07월_계_0~9세,"1,264",489,130,58,123,45,90,98,92,139
2021년07월_계_10~19세,"2,044",776,178,63,211,80,255,122,128,231
2021년07월_계_20~29세,"2,351",739,175,111,255,127,239,189,229,287
2021년07월_계_30~39세,"1,927",634,160,110,209,96,166,170,180,202
2021년07월_계_40~49세,"3,343","1,112",343,161,353,159,267,252,286,410
2021년07월_계_50~59세,"5,326","1,341",551,287,632,335,567,467,512,634
2021년07월_계_60~69세,"6,127","1,319",665,426,786,388,584,668,579,712
2021년07월_계_70~79세,"5,002","1,017",655,316,631,332,511,465,427,648
2021년07월_계_80~89세,"3,530",704,427,244,475,260,369,340,304,407
2021년07월_계_90~99세,515,105,49,38,73,44,58,47,46,55
2021년07월_계_100세 이상,15,2,1,1,2,1,3,0,1,4
2021년07월_남_총인구수,"15,835","4,073","1,679",900,"1,881",907,"1,607","1,407","1,425","1,956"
2021년07월_남_연령구간인구수,"15,835","4,073","1,679",900,"1,881",907,"1,607","1,407","1,425","1,956"
2021년07월_남_0~9세,653,243,59,34,70,16,48,52,48,83
2021년07월_남_10~19세,"1,098",428,90,28,111,45,145,62,64,125
2021년07월_남_20~29세,"1,394",412,105,60,158,84,153,114,133,175
2021년07월_남_30~39세,"1,033",308,87,63,115,56,102,93,93,116
2021년07월_남_40~49세,"1,990",603,231,116,220,95,144,146,162,273
2021년07월_남_50~59세,"3,137",746,330,153,373,198,357,281,306,393
2021년07월_남_60~69세,"3,232",664,352,220,419,206,301,370,322,378
2021년07월_남_70~79세,"2,115",432,266,143,265,126,225,193,186,279
2021년07월_남_80~89세,"1,067",218,147,73,135,71,122,89,97,115
2021년07월_남_90~99세,116,19,12,10,15,10,10,7,14,19
2021년07월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"15,609","4,165","1,655",915,"1,869",960,"1,502","1,411","1,359","1,773"
2021년07월_여_연령구간인구수,"15,609","4,165","1,655",915,"1,869",960,"1,502","1,411","1,359","1,773"
2021년07월_여_0~9세,611,246,71,24,53,29,42,46,44,56
2021년07월_여_10~19세,946,348,88,35,100,35,110,60,64,106
2021년07월_여_20~29세,957,327,70,51,97,43,86,75,96,112
2021년07월_여_30~39세,894,326,73,47,94,40,64,77,87,86
2021년07월_여_40~49세,"1,353",509,112,45,133,64,123,106,124,137
2021년07월_여_50~59세,"2,189",595,221,134,259,137,210,186,206,241
2021년07월_여_60~69세,"2,895",655,313,206,367,182,283,298,257,334
2021년07월_여_70~79세,"2,887",585,389,173,366,206,286,272,241,369
2021년07월_여_80~89세,"2,463",486,280,171,340,189,247,251,207,292
2021년07월_여_90~99세,399,86,37,28,58,34,48,40,32,36
2021년07월_여_100세 이상,15,2,1,1,2,1,3,0,1,4
