,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년09월_계_총인구수,"31,375","8,282","3,310","1,795","3,723","1,862","3,099","2,798","2,774","3,732"
2021년09월_계_연령구간인구수,"31,375","8,282","3,310","1,795","3,723","1,862","3,099","2,798","2,774","3,732"
2021년09월_계_0~9세,"1,243",485,125,56,122,50,85,99,83,138
2021년09월_계_10~19세,"2,041",790,179,64,202,81,252,118,129,226
2021년09월_계_20~29세,"2,334",739,173,108,246,126,236,182,234,290
2021년09월_계_30~39세,"1,880",628,152,104,201,89,161,168,176,201
2021년09월_계_40~49세,"3,305","1,112",334,155,352,158,264,244,280,406
2021년09월_계_50~59세,"5,347","1,354",545,286,626,340,574,466,508,648
2021년09월_계_60~69세,"6,154","1,331",666,420,796,382,586,669,589,715
2021년09월_계_70~79세,"4,973","1,028",652,323,622,325,500,459,427,637
2021년09월_계_80~89세,"3,564",704,431,239,481,267,380,344,305,413
2021년09월_계_90~99세,519,109,52,39,73,43,58,49,42,54
2021년09월_계_100세 이상,15,2,1,1,2,1,3,0,1,4
2021년09월_남_총인구수,"15,801","4,088","1,670",885,"1,865",903,"1,606","1,392","1,423","1,969"
2021년09월_남_연령구간인구수,"15,801","4,088","1,670",885,"1,865",903,"1,606","1,392","1,423","1,969"
2021년09월_남_0~9세,644,238,59,34,70,18,46,51,46,82
2021년09월_남_10~19세,"1,100",437,90,28,106,45,148,60,63,123
2021년09월_남_20~29세,"1,387",415,102,58,153,83,147,110,136,183
2021년09월_남_30~39세,999,301,85,58,109,52,98,90,91,115
2021년09월_남_40~49세,"1,975",604,227,113,220,95,141,145,159,271
2021년09월_남_50~59세,"3,133",741,326,153,370,199,361,276,304,403
2021년09월_남_60~69세,"3,250",675,356,212,423,203,304,371,326,380
2021년09월_남_70~79세,"2,115",435,266,147,263,126,225,191,187,275
2021년09월_남_80~89세,"1,081",221,148,70,136,72,126,91,99,118
2021년09월_남_90~99세,117,21,11,12,15,10,10,7,12,19
2021년09월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"15,574","4,194","1,640",910,"1,858",959,"1,493","1,406","1,351","1,763"
2021년09월_여_연령구간인구수,"15,574","4,194","1,640",910,"1,858",959,"1,493","1,406","1,351","1,763"
2021년09월_여_0~9세,599,247,66,22,52,32,39,48,37,56
2021년09월_여_10~19세,941,353,89,36,96,36,104,58,66,103
2021년09월_여_20~29세,947,324,71,50,93,43,89,72,98,107
2021년09월_여_30~39세,881,327,67,46,92,37,63,78,85,86
2021년09월_여_40~49세,"1,330",508,107,42,132,63,123,99,121,135
2021년09월_여_50~59세,"2,214",613,219,133,256,141,213,190,204,245
2021년09월_여_60~69세,"2,904",656,310,208,373,179,282,298,263,335
2021년09월_여_70~79세,"2,858",593,386,176,359,199,275,268,240,362
2021년09월_여_80~89세,"2,483",483,283,169,345,195,254,253,206,295
2021년09월_여_90~99세,402,88,41,27,58,33,48,42,30,35
2021년09월_여_100세 이상,15,2,1,1,2,1,3,0,1,4
