카테고리,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020년03월_계_총인구수,"69,804","24,813","3,020","3,347","2,912","6,310","2,881","2,054","3,069","2,206","2,482","4,979","3,917","4,139","3,675"
2020년03월_계_연령구간인구수,"69,804","24,813","3,020","3,347","2,912","6,310","2,881","2,054","3,069","2,206","2,482","4,979","3,917","4,139","3,675"
2020년03월_계_0~9세,"4,269","2,378",103,153,82,319,110,48,103,84,93,213,222,213,148
2020년03월_계_10~19세,"5,468","3,006",160,157,155,392,184,114,174,91,124,269,202,241,199
2020년03월_계_20~29세,"5,675","2,688",228,215,163,494,182,116,200,97,152,301,271,278,290
2020년03월_계_30~39세,"5,403","2,698",193,231,139,435,155,91,137,116,122,313,277,253,243
2020년03월_계_40~49세,"8,316","3,845",297,328,283,680,260,190,337,220,238,411,412,411,404
2020년03월_계_50~59세,"11,935","4,089",564,551,512,"1,131",479,339,532,333,444,922,666,743,630
2020년03월_계_60~69세,"11,984","3,070",613,666,624,"1,170",576,404,553,445,465,"1,110",718,828,742
2020년03월_계_70~79세,"10,074","1,988",509,639,568,"1,040",569,425,575,416,481,835,705,732,592
2020년03월_계_80~89세,"5,855",913,313,370,338,588,328,288,378,354,315,533,388,385,364
2020년03월_계_90~99세,784,136,38,36,44,59,37,38,75,45,43,67,54,53,59
2020년03월_계_100세 이상,41,2,2,1,4,2,1,1,5,5,5,5,2,2,4
2020년03월_남_총인구수,"34,459","12,227","1,505","1,672","1,453","3,095","1,385",971,"1,520","1,041","1,249","2,444","1,957","2,059","1,881"
2020년03월_남_연령구간인구수,"34,459","12,227","1,505","1,672","1,453","3,095","1,385",971,"1,520","1,041","1,249","2,444","1,957","2,059","1,881"
2020년03월_남_0~9세,"2,159","1,196",52,80,41,161,51,28,53,40,55,105,112,109,76
2020년03월_남_10~19세,"2,846","1,547",86,81,83,205,101,56,95,53,73,143,96,131,96
2020년03월_남_20~29세,"3,163","1,454",126,110,98,294,99,64,112,59,91,188,146,167,155
2020년03월_남_30~39세,"2,792","1,282",108,144,90,244,81,50,72,58,64,178,155,127,139
2020년03월_남_40~49세,"4,732","1,934",186,208,173,398,151,119,208,140,159,244,282,246,284
2020년03월_남_50~59세,"6,570","2,137",302,328,298,590,256,201,316,175,273,511,381,425,377
2020년03월_남_60~69세,"5,917","1,476",319,317,315,559,280,198,284,223,229,545,375,412,385
2020년03월_남_70~79세,"4,334",900,215,280,237,462,253,155,239,163,198,356,301,326,249
2020년03월_남_80~89세,"1,795",272,102,118,114,175,100,96,129,114,96,161,104,105,109
2020년03월_남_90~99세,149,29,9,6,4,7,13,4,12,15,10,13,5,11,11
2020년03월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020년03월_여_총인구수,"35,345","12,586","1,515","1,675","1,459","3,215","1,496","1,083","1,549","1,165","1,233","2,535","1,960","2,080","1,794"
2020년03월_여_연령구간인구수,"35,345","12,586","1,515","1,675","1,459","3,215","1,496","1,083","1,549","1,165","1,233","2,535","1,960","2,080","1,794"
2020년03월_여_0~9세,"2,110","1,182",51,73,41,158,59,20,50,44,38,108,110,104,72
2020년03월_여_10~19세,"2,622","1,459",74,76,72,187,83,58,79,38,51,126,106,110,103
2020년03월_여_20~29세,"2,512","1,234",102,105,65,200,83,52,88,38,61,113,125,111,135
2020년03월_여_30~39세,"2,611","1,416",85,87,49,191,74,41,65,58,58,135,122,126,104
2020년03월_여_40~49세,"3,584","1,911",111,120,110,282,109,71,129,80,79,167,130,165,120
2020년03월_여_50~59세,"5,365","1,952",262,223,214,541,223,138,216,158,171,411,285,318,253
2020년03월_여_60~69세,"6,067","1,594",294,349,309,611,296,206,269,222,236,565,343,416,357
2020년03월_여_70~79세,"5,740","1,088",294,359,331,578,316,270,336,253,283,479,404,406,343
2020년03월_여_80~89세,"4,060",641,211,252,224,413,228,192,249,240,219,372,284,280,255
2020년03월_여_90~99세,635,107,29,30,40,52,24,34,63,30,33,54,49,42,48
2020년03월_여_100세 이상,39,2,2,1,4,2,1,1,5,4,4,5,2,2,4
