,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년03월_계_총인구수,"68,291","24,750","2,909","3,207","2,790","6,078","2,811","2,012","2,974","2,121","2,419","4,845","3,748","4,026","3,601"
2021년03월_계_연령구간인구수,"68,291","24,750","2,909","3,207","2,790","6,078","2,811","2,012","2,974","2,121","2,419","4,845","3,748","4,026","3,601"
2021년03월_계_0~9세,"3,876","2,270",92,126,62,277,93,44,85,73,78,178,180,188,130
2021년03월_계_10~19세,"5,174","2,917",148,136,133,353,172,91,156,84,120,241,192,232,199
2021년03월_계_20~29세,"5,510","2,738",216,196,145,458,175,125,195,80,142,286,243,262,249
2021년03월_계_30~39세,"4,916","2,514",155,194,128,385,133,78,126,106,112,266,252,239,228
2021년03월_계_40~49세,"7,974","3,846",265,296,240,628,243,165,315,205,231,405,371,380,384
2021년03월_계_50~59세,"11,454","4,065",555,517,485,"1,067",467,333,493,291,423,840,608,694,616
2021년03월_계_60~69세,"12,485","3,293",605,677,635,"1,216",585,419,569,462,471,"1,172",742,861,778
2021년03월_계_70~79세,"9,943","1,998",522,639,554,990,574,420,549,411,464,836,698,718,570
2021년03월_계_80~89세,"6,078",959,300,389,356,637,331,296,410,354,321,556,401,389,379
2021년03월_계_90~99세,841,148,49,37,47,64,37,40,69,54,52,60,60,61,63
2021년03월_계_100세 이상,40,2,2,0,5,3,1,1,7,1,5,5,1,2,5
2021년03월_남_총인구수,"33,755","12,162","1,457","1,599","1,392","2,973","1,370",956,"1,479",991,"1,227","2,383","1,898","2,011","1,857"
2021년03월_남_연령구간인구수,"33,755","12,162","1,457","1,599","1,392","2,973","1,370",956,"1,479",991,"1,227","2,383","1,898","2,011","1,857"
2021년03월_남_0~9세,"1,950","1,133",44,68,34,133,42,25,48,31,46,85,89,103,69
2021년03월_남_10~19세,"2,663","1,482",81,68,75,177,90,46,82,45,69,131,95,125,97
2021년03월_남_20~29세,"3,106","1,479",115,100,88,285,103,70,104,53,91,182,136,166,134
2021년03월_남_30~39세,"2,591","1,235",93,124,83,217,66,41,74,48,60,152,139,118,141
2021년03월_남_40~49세,"4,475","1,873",160,193,146,375,149,109,187,131,156,244,263,224,265
2021년03월_남_50~59세,"6,351","2,134",305,303,278,562,261,196,291,161,266,473,351,395,375
2021년03월_남_60~69세,"6,244","1,593",320,327,337,577,288,209,303,225,239,577,405,434,410
2021년03월_남_70~79세,"4,334",901,227,289,233,438,258,158,236,176,194,362,297,324,241
2021년03월_남_80~89세,"1,888",300,101,118,113,203,101,98,142,107,94,168,117,112,114
2021년03월_남_90~99세,153,32,11,9,5,6,12,4,12,14,12,9,6,10,11
2021년03월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"34,536","12,588","1,452","1,608","1,398","3,105","1,441","1,056","1,495","1,130","1,192","2,462","1,850","2,015","1,744"
2021년03월_여_연령구간인구수,"34,536","12,588","1,452","1,608","1,398","3,105","1,441","1,056","1,495","1,130","1,192","2,462","1,850","2,015","1,744"
2021년03월_여_0~9세,"1,926","1,137",48,58,28,144,51,19,37,42,32,93,91,85,61
2021년03월_여_10~19세,"2,511","1,435",67,68,58,176,82,45,74,39,51,110,97,107,102
2021년03월_여_20~29세,"2,404","1,259",101,96,57,173,72,55,91,27,51,104,107,96,115
2021년03월_여_30~39세,"2,325","1,279",62,70,45,168,67,37,52,58,52,114,113,121,87
2021년03월_여_40~49세,"3,499","1,973",105,103,94,253,94,56,128,74,75,161,108,156,119
2021년03월_여_50~59세,"5,103","1,931",250,214,207,505,206,137,202,130,157,367,257,299,241
2021년03월_여_60~69세,"6,241","1,700",285,350,298,639,297,210,266,237,232,595,337,427,368
2021년03월_여_70~79세,"5,609","1,097",295,350,321,552,316,262,313,235,270,474,401,394,329
2021년03월_여_80~89세,"4,190",659,199,271,243,434,230,198,268,247,227,388,284,277,265
2021년03월_여_90~99세,688,116,38,28,42,58,25,36,57,40,40,51,54,51,52
2021년03월_여_100세 이상,40,2,2,0,5,3,1,1,7,1,5,5,1,2,5
