카테고리,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년10월_계_총인구수,"62,598","39,644",917,422,"1,756","1,037","1,769","3,203","2,841","1,426",958,"1,578","1,601","2,116","3,330"
2021년10월_계_연령구간인구수,"62,598","39,644",917,422,"1,756","1,037","1,769","3,203","2,841","1,426",958,"1,578","1,601","2,116","3,330"
2021년10월_계_0~9세,"3,282","2,726",18,9,29,25,36,112,81,29,17,29,28,49,94
2021년10월_계_10~19세,"5,551","4,570",37,16,59,22,43,256,118,59,37,66,57,57,154
2021년10월_계_20~29세,"6,655","5,170",56,11,109,49,95,260,202,71,59,74,112,133,254
2021년10월_계_30~39세,"4,677","3,546",39,14,78,37,74,196,171,48,43,64,61,112,194
2021년10월_계_40~49세,"7,949","6,105",100,37,116,58,130,323,260,94,68,101,106,157,294
2021년10월_계_50~59세,"11,371","7,266",156,69,295,186,306,518,529,255,196,283,298,381,633
2021년10월_계_60~69세,"10,125","4,967",202,93,402,229,394,703,650,325,217,368,332,493,750
2021년10월_계_70~79세,"7,317","3,244",184,104,325,192,333,487,429,288,170,332,325,388,516
2021년10월_계_80~89세,"4,954","1,801",112,62,303,213,305,306,340,232,130,226,238,295,391
2021년10월_계_90~99세,690,234,12,7,40,26,50,42,60,25,19,34,43,50,48
2021년10월_계_100세 이상,27,15,1,0,0,0,3,0,1,0,2,1,1,1,2
2021년10월_남_총인구수,"30,920","19,458",467,200,896,503,864,"1,578","1,423",729,492,787,761,"1,074","1,688"
2021년10월_남_연령구간인구수,"30,920","19,458",467,200,896,503,864,"1,578","1,423",729,492,787,761,"1,074","1,688"
2021년10월_남_0~9세,"1,667","1,386",7,2,16,12,21,53,33,17,8,19,14,30,49
2021년10월_남_10~19세,"2,893","2,379",22,12,34,9,22,116,69,35,16,30,27,34,88
2021년10월_남_20~29세,"3,599","2,753",31,6,58,29,52,159,115,41,39,47,65,71,133
2021년10월_남_30~39세,"2,411","1,773",23,8,45,20,43,110,104,28,22,34,39,64,98
2021년10월_남_40~49세,"4,060","2,933",65,21,77,45,76,177,154,56,43,69,59,108,177
2021년10월_남_50~59세,"6,174","3,754",97,46,185,110,191,292,303,158,115,176,165,223,359
2021년10월_남_60~69세,"5,343","2,470",102,44,242,141,219,366,351,185,123,206,193,276,425
2021년10월_남_70~79세,"3,111","1,360",85,41,144,74,154,206,199,116,76,135,125,162,234
2021년10월_남_80~89세,"1,503",597,35,19,85,57,76,91,80,86,41,64,69,91,112
2021년10월_남_90~99세,156,52,0,1,10,6,8,8,15,7,9,7,5,15,13
2021년10월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"31,678","20,186",450,222,860,534,905,"1,625","1,418",697,466,791,840,"1,042","1,642"
2021년10월_여_연령구간인구수,"31,678","20,186",450,222,860,534,905,"1,625","1,418",697,466,791,840,"1,042","1,642"
2021년10월_여_0~9세,"1,615","1,340",11,7,13,13,15,59,48,12,9,10,14,19,45
2021년10월_여_10~19세,"2,658","2,191",15,4,25,13,21,140,49,24,21,36,30,23,66
2021년10월_여_20~29세,"3,056","2,417",25,5,51,20,43,101,87,30,20,27,47,62,121
2021년10월_여_30~39세,"2,266","1,773",16,6,33,17,31,86,67,20,21,30,22,48,96
2021년10월_여_40~49세,"3,889","3,172",35,16,39,13,54,146,106,38,25,32,47,49,117
2021년10월_여_50~59세,"5,197","3,512",59,23,110,76,115,226,226,97,81,107,133,158,274
2021년10월_여_60~69세,"4,782","2,497",100,49,160,88,175,337,299,140,94,162,139,217,325
2021년10월_여_70~79세,"4,206","1,884",99,63,181,118,179,281,230,172,94,197,200,226,282
2021년10월_여_80~89세,"3,451","1,204",77,43,218,156,229,215,260,146,89,162,169,204,279
2021년10월_여_90~99세,534,182,12,6,30,20,42,34,45,18,10,27,38,35,35
2021년10월_여_100세 이상,24,14,1,0,0,0,1,0,1,0,2,1,1,1,2
