카테고리,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년11월_계_총인구수,"54,486","21,314","2,248","2,687","2,794","2,541","2,428","2,818","1,809","3,346","2,518","3,116","1,964","2,244","2,659"
2020년11월_계_연령구간인구수,"54,486","21,314","2,248","2,687","2,794","2,541","2,428","2,818","1,809","3,346","2,518","3,116","1,964","2,244","2,659"
2020년11월_계_0~9세,"2,700","1,817",55,79,87,67,61,84,45,77,73,83,44,55,73
2020년11월_계_10~19세,"4,151","2,580",107,100,214,123,149,113,51,154,105,147,74,106,128
2020년11월_계_20~29세,"4,330","2,394",141,170,164,134,169,142,77,192,156,209,116,139,127
2020년11월_계_30~39세,"3,868","2,121",129,141,136,137,125,138,93,154,158,170,108,121,137
2020년11월_계_40~49세,"6,195","3,179",194,252,247,209,244,233,151,295,253,303,180,207,248
2020년11월_계_50~59세,"9,111","3,462",409,494,456,420,424,444,285,597,491,546,304,369,410
2020년11월_계_60~69세,"9,652","2,771",479,555,533,547,452,634,417,685,520,661,426,437,535
2020년11월_계_70~79세,"8,385","1,822",406,525,589,516,480,611,340,673,460,548,397,446,572
2020년11월_계_80~89세,"5,252",985,283,322,329,339,281,365,309,449,264,388,269,303,366
2020년11월_계_90~99세,806,175,44,48,38,47,42,52,40,64,37,56,46,58,59
2020년11월_계_100세 이상,36,8,1,1,1,2,1,2,1,6,1,5,0,3,4
2020년11월_남_총인구수,"26,909","10,534","1,157","1,363","1,372","1,249","1,169","1,372",886,"1,650","1,270","1,515",998,"1,079","1,295"
2020년11월_남_연령구간인구수,"26,909","10,534","1,157","1,363","1,372","1,249","1,169","1,372",886,"1,650","1,270","1,515",998,"1,079","1,295"
2020년11월_남_0~9세,"1,428",952,27,41,46,42,37,46,20,44,43,43,20,29,38
2020년11월_남_10~19세,"2,241","1,380",63,58,127,59,87,50,33,84,51,70,50,49,80
2020년11월_남_20~29세,"2,448","1,324",91,96,98,78,91,78,49,112,86,121,70,76,78
2020년11월_남_30~39세,"2,072","1,040",79,82,77,83,69,83,55,96,95,97,62,67,87
2020년11월_남_40~49세,"3,538","1,619",127,162,151,122,143,158,101,188,174,176,128,132,157
2020년11월_남_50~59세,"4,962","1,718",246,298,251,248,235,257,175,329,272,298,172,210,253
2020년11월_남_60~69세,"4,786","1,321",259,279,260,264,221,307,202,359,267,339,227,225,256
2020년11월_남_70~79세,"3,606",798,183,227,240,233,198,284,146,281,192,229,176,190,229
2020년11월_남_80~89세,"1,683",347,78,112,115,108,78,104,95,142,84,135,85,93,107
2020년11월_남_90~99세,144,35,4,8,7,12,10,5,10,14,6,7,8,8,10
2020년11월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년11월_여_총인구수,"27,577","10,780","1,091","1,324","1,422","1,292","1,259","1,446",923,"1,696","1,248","1,601",966,"1,165","1,364"
2020년11월_여_연령구간인구수,"27,577","10,780","1,091","1,324","1,422","1,292","1,259","1,446",923,"1,696","1,248","1,601",966,"1,165","1,364"
2020년11월_여_0~9세,"1,272",865,28,38,41,25,24,38,25,33,30,40,24,26,35
2020년11월_여_10~19세,"1,910","1,200",44,42,87,64,62,63,18,70,54,77,24,57,48
2020년11월_여_20~29세,"1,882","1,070",50,74,66,56,78,64,28,80,70,88,46,63,49
2020년11월_여_30~39세,"1,796","1,081",50,59,59,54,56,55,38,58,63,73,46,54,50
2020년11월_여_40~49세,"2,657","1,560",67,90,96,87,101,75,50,107,79,127,52,75,91
2020년11월_여_50~59세,"4,149","1,744",163,196,205,172,189,187,110,268,219,248,132,159,157
2020년11월_여_60~69세,"4,866","1,450",220,276,273,283,231,327,215,326,253,322,199,212,279
2020년11월_여_70~79세,"4,779","1,024",223,298,349,283,282,327,194,392,268,319,221,256,343
2020년11월_여_80~89세,"3,569",638,205,210,214,231,203,261,214,307,180,253,184,210,259
2020년11월_여_90~99세,662,140,40,40,31,35,32,47,30,50,31,49,38,50,49
2020년11월_여_100세 이상,35,8,1,1,1,2,1,2,1,5,1,5,0,3,4
