,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년12월_계_총인구수,"54,529","21,394","2,246","2,672","2,795","2,525","2,435","2,807","1,814","3,337","2,519","3,114","1,971","2,252","2,648"
2020년12월_계_연령구간인구수,"54,529","21,394","2,246","2,672","2,795","2,525","2,435","2,807","1,814","3,337","2,519","3,114","1,971","2,252","2,648"
2020년12월_계_0~9세,"2,690","1,827",52,77,84,65,60,81,45,77,71,82,42,55,72
2020년12월_계_10~19세,"4,237","2,660",110,102,213,122,152,112,51,152,107,150,78,107,121
2020년12월_계_20~29세,"4,308","2,380",144,170,163,133,168,140,78,185,152,210,115,142,128
2020년12월_계_30~39세,"3,860","2,122",126,140,135,137,123,136,94,153,158,171,108,118,139
2020년12월_계_40~49세,"6,164","3,160",193,247,250,201,243,229,148,288,253,306,187,213,246
2020년12월_계_50~59세,"9,068","3,457",401,492,452,415,426,437,290,601,488,538,299,366,406
2020년12월_계_60~69세,"9,689","2,791",473,551,538,542,462,640,412,687,523,662,427,444,537
2020년12월_계_70~79세,"8,387","1,819",419,520,594,514,479,610,346,672,462,543,396,445,568
2020년12월_계_80~89세,"5,280",993,284,324,327,347,280,368,310,451,265,391,273,302,365
2020년12월_계_90~99세,810,177,43,48,38,47,41,52,39,65,39,56,46,57,62
2020년12월_계_100세 이상,36,8,1,1,1,2,1,2,1,6,1,5,0,3,4
2020년12월_남_총인구수,"26,964","10,607","1,151","1,358","1,372","1,238","1,175","1,369",885,"1,646","1,264","1,519","1,003","1,089","1,288"
2020년12월_남_연령구간인구수,"26,964","10,607","1,151","1,358","1,372","1,238","1,175","1,369",885,"1,646","1,264","1,519","1,003","1,089","1,288"
2020년12월_남_0~9세,"1,420",959,23,38,46,40,36,44,20,44,42,42,19,30,37
2020년12월_남_10~19세,"2,322","1,454",66,60,126,58,89,50,34,83,52,71,53,50,76
2020년12월_남_20~29세,"2,447","1,321",91,97,97,80,91,78,51,109,82,123,70,80,77
2020년12월_남_30~39세,"2,079","1,044",77,81,77,82,67,83,56,97,95,101,63,65,91
2020년12월_남_40~49세,"3,513","1,610",125,158,153,118,139,156,96,184,174,177,130,136,157
2020년12월_남_50~59세,"4,935","1,707",239,300,253,242,242,255,177,332,268,296,168,208,248
2020년12월_남_60~69세,"4,803","1,334",260,276,257,261,227,312,195,359,266,339,232,230,255
2020년12월_남_70~79세,"3,609",791,187,228,242,237,195,281,154,279,193,228,173,191,230
2020년12월_남_80~89세,"1,695",353,79,112,114,109,79,105,93,144,86,135,87,93,106
2020년12월_남_90~99세,140,34,4,8,7,11,10,5,9,14,6,7,8,6,11
2020년12월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년12월_여_총인구수,"27,565","10,787","1,095","1,314","1,423","1,287","1,260","1,438",929,"1,691","1,255","1,595",968,"1,163","1,360"
2020년12월_여_연령구간인구수,"27,565","10,787","1,095","1,314","1,423","1,287","1,260","1,438",929,"1,691","1,255","1,595",968,"1,163","1,360"
2020년12월_여_0~9세,"1,270",868,29,39,38,25,24,37,25,33,29,40,23,25,35
2020년12월_여_10~19세,"1,915","1,206",44,42,87,64,63,62,17,69,55,79,25,57,45
2020년12월_여_20~29세,"1,861","1,059",53,73,66,53,77,62,27,76,70,87,45,62,51
2020년12월_여_30~39세,"1,781","1,078",49,59,58,55,56,53,38,56,63,70,45,53,48
2020년12월_여_40~49세,"2,651","1,550",68,89,97,83,104,73,52,104,79,129,57,77,89
2020년12월_여_50~59세,"4,133","1,750",162,192,199,173,184,182,113,269,220,242,131,158,158
2020년12월_여_60~69세,"4,886","1,457",213,275,281,281,235,328,217,328,257,323,195,214,282
2020년12월_여_70~79세,"4,778","1,028",232,292,352,277,284,329,192,393,269,315,223,254,338
2020년12월_여_80~89세,"3,585",640,205,212,213,238,201,263,217,307,179,256,186,209,259
2020년12월_여_90~99세,670,143,39,40,31,36,31,47,30,51,33,49,38,51,51
2020년12월_여_100세 이상,35,8,1,1,1,2,1,2,1,5,1,5,0,3,4
