,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년11월_계_총인구수,"82,623","2,674","2,500","2,551","3,598","3,850","1,341","2,564","1,785","1,810","2,668","5,001","2,245","1,900","4,632","1,368","11,280","12,653","11,604","6,599"
2020년11월_계_연령구간인구수,"82,623","2,674","2,500","2,551","3,598","3,850","1,341","2,564","1,785","1,810","2,668","5,001","2,245","1,900","4,632","1,368","11,280","12,653","11,604","6,599"
2020년11월_계_0~9세,"4,330",97,61,71,94,120,43,70,47,49,43,182,66,40,140,45,768,889,"1,051",454
2020년11월_계_10~19세,"6,239",126,105,113,163,214,62,133,81,69,108,310,96,72,201,62,"1,039","1,362","1,418",505
2020년11월_계_20~29세,"7,235",159,121,157,268,267,94,187,94,105,128,427,129,142,330,87,"1,318","1,346","1,305",571
2020년11월_계_30~39세,"6,680",170,130,169,220,270,85,173,103,113,153,323,133,96,286,80,"1,132","1,203","1,200",641
2020년11월_계_40~49세,"10,031",260,215,251,340,413,107,219,181,179,238,571,187,179,438,144,"1,569","1,858","1,907",775
2020년11월_계_50~59세,"13,770",444,368,442,594,675,198,457,269,280,396,941,329,346,865,216,"1,879","2,140","1,840","1,091"
2020년11월_계_60~69세,"14,522",641,584,541,780,768,293,554,388,393,577,986,487,399,965,270,"1,710","1,719","1,405","1,062"
2020년11월_계_70~79세,"11,379",415,497,480,637,643,251,410,333,356,578,771,436,345,800,278,"1,119","1,265",884,881
2020년11월_계_80~89세,"7,156",306,360,275,409,409,179,311,243,223,377,424,339,247,503,158,623,761,498,511
2020년11월_계_90~99세,"1,207",55,54,45,88,71,27,48,44,40,69,64,42,32,92,28,114,109,95,90
2020년11월_계_100세 이상,74,1,5,7,5,0,2,2,2,3,1,2,1,2,12,0,9,1,1,18
2020년11월_남_총인구수,"40,934","1,352","1,236","1,334","1,820","1,900",639,"1,313",890,915,"1,280","2,547","1,103",965,"2,320",708,"5,534","6,162","5,624","3,292"
2020년11월_남_연령구간인구수,"40,934","1,352","1,236","1,334","1,820","1,900",639,"1,313",890,915,"1,280","2,547","1,103",965,"2,320",708,"5,534","6,162","5,624","3,292"
2020년11월_남_0~9세,"2,241",59,36,39,43,63,21,38,29,22,20,93,39,20,69,24,391,465,530,240
2020년11월_남_10~19세,"3,208",75,61,65,90,101,37,66,44,42,53,166,48,44,111,28,498,706,716,257
2020년11월_남_20~29세,"4,048",100,76,89,145,139,54,114,60,63,77,241,77,78,191,57,719,733,702,333
2020년11월_남_30~39세,"3,546",103,76,109,128,150,51,97,57,67,92,178,80,61,168,49,575,611,579,315
2020년11월_남_40~49세,"5,627",151,139,162,229,256,72,140,116,119,160,344,132,124,269,100,813,927,946,428
2020년11월_남_50~59세,"7,487",239,217,273,327,369,108,264,150,161,226,526,186,193,487,129,971,"1,085",968,608
2020년11월_남_60~69세,"7,285",342,294,281,419,391,137,299,188,212,292,501,241,215,494,139,808,825,675,532
2020년11월_남_70~79세,"4,958",187,224,219,290,290,99,188,149,152,226,342,182,151,343,117,512,533,358,396
2020년11월_남_80~89세,"2,249",83,105,89,122,118,54,91,85,69,126,135,112,70,161,56,216,249,139,169
2020년11월_남_90~99세,271,13,6,7,25,23,6,16,11,8,7,21,6,9,27,9,26,28,11,12
2020년11월_남_100세 이상,14,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2020년11월_여_총인구수,"41,689","1,322","1,264","1,217","1,778","1,950",702,"1,251",895,895,"1,388","2,454","1,142",935,"2,312",660,"5,746","6,491","5,980","3,307"
2020년11월_여_연령구간인구수,"41,689","1,322","1,264","1,217","1,778","1,950",702,"1,251",895,895,"1,388","2,454","1,142",935,"2,312",660,"5,746","6,491","5,980","3,307"
2020년11월_여_0~9세,"2,089",38,25,32,51,57,22,32,18,27,23,89,27,20,71,21,377,424,521,214
2020년11월_여_10~19세,"3,031",51,44,48,73,113,25,67,37,27,55,144,48,28,90,34,541,656,702,248
2020년11월_여_20~29세,"3,187",59,45,68,123,128,40,73,34,42,51,186,52,64,139,30,599,613,603,238
2020년11월_여_30~39세,"3,134",67,54,60,92,120,34,76,46,46,61,145,53,35,118,31,557,592,621,326
2020년11월_여_40~49세,"4,404",109,76,89,111,157,35,79,65,60,78,227,55,55,169,44,756,931,961,347
2020년11월_여_50~59세,"6,283",205,151,169,267,306,90,193,119,119,170,415,143,153,378,87,908,"1,055",872,483
2020년11월_여_60~69세,"7,237",299,290,260,361,377,156,255,200,181,285,485,246,184,471,131,902,894,730,530
2020년11월_여_70~79세,"6,421",228,273,261,347,353,152,222,184,204,352,429,254,194,457,161,607,732,526,485
2020년11월_여_80~89세,"4,907",223,255,186,287,291,125,220,158,154,251,289,227,177,342,102,407,512,359,342
2020년11월_여_90~99세,936,42,48,38,63,48,21,32,33,32,62,43,36,23,65,19,88,81,84,78
2020년11월_여_100세 이상,60,1,3,6,3,0,2,2,1,3,0,2,1,2,12,0,4,1,1,16
