카테고리,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021년09월_계_총인구수,"81,177","2,619","2,427","2,466","3,493","3,731","1,306","2,464","1,747","1,765","2,567","4,952","2,194","1,871","4,537","1,337","11,021","12,728","11,535","6,417"
2021년09월_계_연령구간인구수,"81,177","2,619","2,427","2,466","3,493","3,731","1,306","2,464","1,747","1,765","2,567","4,952","2,194","1,871","4,537","1,337","11,021","12,728","11,535","6,417"
2021년09월_계_0~9세,"3,999",77,62,65,83,119,43,58,49,45,35,184,72,43,121,41,705,844,939,414
2021년09월_계_10~19세,"6,080",118,95,115,156,195,59,113,78,70,95,299,82,71,195,58,"1,024","1,393","1,360",504
2021년09월_계_20~29세,"6,920",163,111,135,255,251,78,181,78,100,124,400,110,139,287,72,"1,230","1,321","1,360",525
2021년09월_계_30~39세,"6,281",144,122,152,195,250,84,150,97,91,124,309,117,85,263,77,"1,080","1,208","1,144",589
2021년09월_계_40~49세,"9,617",244,202,226,315,368,102,199,159,173,223,526,178,159,415,133,"1,570","1,849","1,829",747
2021년09월_계_50~59세,"13,338",417,339,425,550,633,192,417,276,263,373,942,305,337,839,204,"1,779","2,129","1,889","1,029"
2021년09월_계_60~69세,"15,004",649,599,541,786,781,284,578,380,397,584,"1,025",499,407,"1,028",278,"1,743","1,829","1,492","1,124"
2021년09월_계_70~79세,"11,349",430,487,486,637,650,243,401,334,345,560,763,428,334,773,277,"1,155","1,279",915,852
2021년09월_계_80~89세,"7,313",321,354,274,425,406,192,309,252,228,383,436,350,262,517,167,613,781,504,539
2021년09월_계_90~99세,"1,234",56,55,42,89,77,29,54,44,51,65,67,49,33,91,30,118,95,102,87
2021년09월_계_100세 이상,42,0,1,5,2,1,0,4,0,2,1,1,4,1,8,0,4,0,1,7
2021년09월_남_총인구수,"40,302","1,320","1,197","1,316","1,784","1,825",622,"1,261",876,891,"1,238","2,527","1,081",948,"2,292",692,"5,438","6,157","5,636","3,201"
2021년09월_남_연령구간인구수,"40,302","1,320","1,197","1,316","1,784","1,825",622,"1,261",876,891,"1,238","2,527","1,081",948,"2,292",692,"5,438","6,157","5,636","3,201"
2021년09월_남_0~9세,"2,080",48,34,34,45,60,21,26,28,21,18,95,43,20,55,21,362,432,491,226
2021년09월_남_10~19세,"3,095",68,58,65,81,91,34,57,43,39,46,153,41,38,108,29,497,710,686,251
2021년09월_남_20~29세,"3,852",98,74,82,143,132,47,110,53,61,74,216,68,82,169,43,660,714,729,297
2021년09월_남_30~39세,"3,370",83,70,98,118,143,49,88,57,56,77,179,73,56,155,46,555,607,565,295
2021년09월_남_40~49세,"5,370",150,131,155,215,215,66,124,100,110,146,323,124,99,262,99,810,935,890,416
2021년09월_남_50~59세,"7,353",234,196,276,310,350,103,249,159,159,220,518,174,202,473,121,941,"1,082","1,008",578
2021년09월_남_60~69세,"7,602",332,301,285,430,400,140,311,186,219,296,544,256,226,539,143,833,869,718,574
2021년09월_남_70~79세,"4,990",204,223,225,289,289,99,186,149,143,228,335,179,140,345,120,538,541,377,380
2021년09월_남_80~89세,"2,300",93,102,88,127,121,55,92,93,71,122,144,112,77,159,59,210,243,157,175
2021년09월_남_90~99세,284,10,7,8,25,23,8,18,8,12,10,20,11,8,27,11,30,24,15,9
2021년09월_남_100세 이상,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2021년09월_여_총인구수,"40,875","1,299","1,230","1,150","1,709","1,906",684,"1,203",871,874,"1,329","2,425","1,113",923,"2,245",645,"5,583","6,571","5,899","3,216"
2021년09월_여_연령구간인구수,"40,875","1,299","1,230","1,150","1,709","1,906",684,"1,203",871,874,"1,329","2,425","1,113",923,"2,245",645,"5,583","6,571","5,899","3,216"
2021년09월_여_0~9세,"1,919",29,28,31,38,59,22,32,21,24,17,89,29,23,66,20,343,412,448,188
2021년09월_여_10~19세,"2,985",50,37,50,75,104,25,56,35,31,49,146,41,33,87,29,527,683,674,253
2021년09월_여_20~29세,"3,068",65,37,53,112,119,31,71,25,39,50,184,42,57,118,29,570,607,631,228
2021년09월_여_30~39세,"2,911",61,52,54,77,107,35,62,40,35,47,130,44,29,108,31,525,601,579,294
2021년09월_여_40~49세,"4,247",94,71,71,100,153,36,75,59,63,77,203,54,60,153,34,760,914,939,331
2021년09월_여_50~59세,"5,985",183,143,149,240,283,89,168,117,104,153,424,131,135,366,83,838,"1,047",881,451
2021년09월_여_60~69세,"7,402",317,298,256,356,381,144,267,194,178,288,481,243,181,489,135,910,960,774,550
2021년09월_여_70~79세,"6,359",226,264,261,348,361,144,215,185,202,332,428,249,194,428,157,617,738,538,472
2021년09월_여_80~89세,"5,013",228,252,186,298,285,137,217,159,157,261,292,238,185,358,108,403,538,347,364
2021년09월_여_90~99세,950,46,48,34,64,54,21,36,36,39,55,47,38,25,64,19,88,71,87,78
2021년09월_여_100세 이상,36,0,0,5,1,0,0,4,0,2,0,1,4,1,8,0,2,0,1,7
