카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년02월_계_총인구수,"81,358","3,900","2,613","1,175","2,113","1,882","2,365","1,664","1,670","1,568",970,"1,605","1,940","2,311","1,949","2,109","2,765","3,576","3,469","6,036","6,838","4,190","7,379","17,271"
2020년02월_계_연령구간인구수,"81,358","3,900","2,613","1,175","2,113","1,882","2,365","1,664","1,670","1,568",970,"1,605","1,940","2,311","1,949","2,109","2,765","3,576","3,469","6,036","6,838","4,190","7,379","17,271"
2020년02월_계_0~9세,"5,268",164,101,51,72,63,94,54,65,54,30,73,76,95,100,91,122,192,182,567,657,217,444,"1,704"
2020년02월_계_10~19세,"7,577",217,175,53,125,108,132,79,97,68,40,82,105,174,125,178,204,365,285,628,793,344,657,"2,543"
2020년02월_계_20~29세,"7,661",279,217,83,150,141,134,78,104,123,64,108,128,185,113,149,183,388,374,669,609,487,835,"2,060"
2020년02월_계_30~39세,"6,746",227,155,65,133,82,125,78,94,77,57,69,104,134,106,105,155,303,262,687,722,425,655,"1,926"
2020년02월_계_40~49세,"11,088",365,327,113,188,181,243,144,154,130,69,163,188,232,184,286,325,481,497,918,"1,116",529,"1,035","3,220"
2020년02월_계_50~59세,"13,933",716,481,186,391,305,360,252,308,280,163,254,346,436,332,491,540,644,561,"1,008","1,035",700,"1,366","2,778"
2020년02월_계_60~69세,"12,440",780,505,231,391,364,485,339,337,281,213,254,351,395,386,337,570,524,589,717,913,678,"1,109","1,691"
2020년02월_계_70~79세,"9,696",623,385,186,338,344,445,307,266,305,183,313,342,337,354,277,415,437,471,554,657,515,768,874
2020년02월_계_80~89세,"5,993",448,224,175,280,256,304,282,200,218,134,251,263,272,212,177,216,216,211,254,293,249,446,412
2020년02월_계_90~99세,914,77,38,32,43,37,42,50,44,30,17,34,35,49,35,18,34,26,36,31,41,45,60,60
2020년02월_계_100세 이상,42,4,5,0,2,1,1,1,1,2,0,4,2,2,2,0,1,0,1,3,2,1,4,3
2020년02월_남_총인구수,"39,875","1,878","1,325",578,"1,032",925,"1,135",794,834,801,482,809,969,"1,144",959,"1,024","1,360","1,693","1,647","2,927","3,292","2,021","3,730","8,516"
2020년02월_남_연령구간인구수,"39,875","1,878","1,325",578,"1,032",925,"1,135",794,834,801,482,809,969,"1,144",959,"1,024","1,360","1,693","1,647","2,927","3,292","2,021","3,730","8,516"
2020년02월_남_0~9세,"2,789",87,59,27,33,35,41,34,34,30,22,36,41,51,58,46,63,101,94,294,341,110,233,919
2020년02월_남_10~19세,"3,915",106,79,33,66,60,75,38,50,42,22,42,60,98,67,89,116,183,137,302,378,202,333,"1,337"
2020년02월_남_20~29세,"4,250",148,134,42,82,88,77,43,56,68,36,58,77,97,63,77,117,210,208,371,345,272,466,"1,115"
2020년02월_남_30~39세,"3,408",120,81,33,76,48,70,49,63,39,31,40,54,72,63,58,72,147,128,346,332,221,345,920
2020년02월_남_40~49세,"5,760",200,188,75,109,114,156,95,96,81,44,110,121,128,110,141,181,232,258,446,573,269,529,"1,504"
2020년02월_남_50~59세,"7,345",378,266,100,226,173,197,140,174,179,89,157,203,246,183,276,276,322,278,519,515,327,743,"1,378"
2020년02월_남_60~69세,"6,222",418,259,120,210,190,244,174,180,141,112,119,175,222,201,177,286,232,265,341,444,320,559,833
2020년02월_남_70~79세,"4,044",251,172,86,136,125,171,125,116,130,79,145,154,131,143,111,168,177,195,224,260,214,363,368
2020년02월_남_80~89세,"1,925",159,71,54,85,84,97,84,56,80,41,90,76,88,59,47,76,80,72,77,96,78,144,131
2020년02월_남_90~99세,207,10,16,8,9,8,7,11,8,11,6,9,7,11,12,2,5,9,12,6,7,7,15,11
2020년02월_남_100세 이상,10,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,1,1,0,0
2020년02월_여_총인구수,"41,483","2,022","1,288",597,"1,081",957,"1,230",870,836,767,488,796,971,"1,167",990,"1,085","1,405","1,883","1,822","3,109","3,546","2,169","3,649","8,755"
2020년02월_여_연령구간인구수,"41,483","2,022","1,288",597,"1,081",957,"1,230",870,836,767,488,796,971,"1,167",990,"1,085","1,405","1,883","1,822","3,109","3,546","2,169","3,649","8,755"
2020년02월_여_0~9세,"2,479",77,42,24,39,28,53,20,31,24,8,37,35,44,42,45,59,91,88,273,316,107,211,785
2020년02월_여_10~19세,"3,662",111,96,20,59,48,57,41,47,26,18,40,45,76,58,89,88,182,148,326,415,142,324,"1,206"
2020년02월_여_20~29세,"3,411",131,83,41,68,53,57,35,48,55,28,50,51,88,50,72,66,178,166,298,264,215,369,945
2020년02월_여_30~39세,"3,338",107,74,32,57,34,55,29,31,38,26,29,50,62,43,47,83,156,134,341,390,204,310,"1,006"
2020년02월_여_40~49세,"5,328",165,139,38,79,67,87,49,58,49,25,53,67,104,74,145,144,249,239,472,543,260,506,"1,716"
2020년02월_여_50~59세,"6,588",338,215,86,165,132,163,112,134,101,74,97,143,190,149,215,264,322,283,489,520,373,623,"1,400"
2020년02월_여_60~69세,"6,218",362,246,111,181,174,241,165,157,140,101,135,176,173,185,160,284,292,324,376,469,358,550,858
2020년02월_여_70~79세,"5,652",372,213,100,202,219,274,182,150,175,104,168,188,206,211,166,247,260,276,330,397,301,405,506
2020년02월_여_80~89세,"4,068",289,153,121,195,172,207,198,144,138,93,161,187,184,153,130,140,136,139,177,197,171,302,281
2020년02월_여_90~99세,707,67,22,24,34,29,35,39,36,19,11,25,28,38,23,16,29,17,24,25,34,38,45,49
2020년02월_여_100세 이상,32,3,5,0,2,1,1,0,0,2,0,1,1,2,2,0,1,0,1,2,1,0,4,3
