카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년04월_계_총인구수,"23,912","9,423","2,228","4,030","2,586","4,245","1,400"
2021년04월_계_연령구간인구수,"23,912","9,423","2,228","4,030","2,586","4,245","1,400"
2021년04월_계_0~9세,"1,152",705,54,174,62,124,33
2021년04월_계_10~19세,"1,812",993,109,289,111,254,56
2021년04월_계_20~29세,"1,736",863,117,315,146,238,57
2021년04월_계_30~39세,"1,676",882,133,246,113,236,66
2021년04월_계_40~49세,"2,813","1,433",188,490,230,371,101
2021년04월_계_50~59세,"4,143","1,484",436,779,443,760,241
2021년04월_계_60~69세,"4,518","1,315",523,796,569,951,364
2021년04월_계_70~79세,"3,332",984,363,538,475,699,273
2021년04월_계_80~89세,"2,374",649,268,358,385,537,177
2021년04월_계_90~99세,334,108,36,43,50,66,31
2021년04월_계_100세 이상,22,7,1,2,2,9,1
2021년04월_남_총인구수,"11,915","4,701","1,108","2,030","1,276","2,101",699
2021년04월_남_연령구간인구수,"11,915","4,701","1,108","2,030","1,276","2,101",699
2021년04월_남_0~9세,617,378,31,98,29,67,14
2021년04월_남_10~19세,923,492,65,161,53,124,28
2021년04월_남_20~29세,966,472,64,164,92,138,36
2021년04월_남_30~39세,921,456,76,144,69,139,37
2021년04월_남_40~49세,"1,564",753,112,275,132,227,65
2021년04월_남_50~59세,"2,296",828,227,436,252,416,137
2021년04월_남_60~69세,"2,327",650,271,406,307,497,196
2021년04월_남_70~79세,"1,395",420,165,212,190,291,117
2021년04월_남_80~89세,826,232,87,124,137,185,61
2021년04월_남_90~99세,76,20,9,10,15,14,8
2021년04월_남_100세 이상,4,0,1,0,0,3,0
2021년04월_여_총인구수,"11,997","4,722","1,120","2,000","1,310","2,144",701
2021년04월_여_연령구간인구수,"11,997","4,722","1,120","2,000","1,310","2,144",701
2021년04월_여_0~9세,535,327,23,76,33,57,19
2021년04월_여_10~19세,889,501,44,128,58,130,28
2021년04월_여_20~29세,770,391,53,151,54,100,21
2021년04월_여_30~39세,755,426,57,102,44,97,29
2021년04월_여_40~49세,"1,249",680,76,215,98,144,36
2021년04월_여_50~59세,"1,847",656,209,343,191,344,104
2021년04월_여_60~69세,"2,191",665,252,390,262,454,168
2021년04월_여_70~79세,"1,937",564,198,326,285,408,156
2021년04월_여_80~89세,"1,548",417,181,234,248,352,116
2021년04월_여_90~99세,258,88,27,33,35,52,23
2021년04월_여_100세 이상,18,7,0,2,2,6,1
