,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020년07월_계_총인구수,"28,016","10,264","1,572","2,059","1,771","1,752","1,453","1,998","2,233","1,342","1,168","2,404"
2020년07월_계_연령구간인구수,"28,016","10,264","1,572","2,059","1,771","1,752","1,453","1,998","2,233","1,342","1,168","2,404"
2020년07월_계_0~9세,"1,587",879,61,79,71,51,68,75,129,49,56,69
2020년07월_계_10~19세,"2,251","1,326",94,106,98,70,72,114,136,45,58,132
2020년07월_계_20~29세,"2,116","1,004",109,108,97,105,79,138,139,106,88,143
2020년07월_계_30~39세,"2,078","1,043",99,110,115,108,105,105,134,80,67,112
2020년07월_계_40~49세,"3,393","1,639",147,218,204,144,124,197,227,127,126,240
2020년07월_계_50~59세,"4,551","1,533",285,343,258,316,248,367,416,212,159,414
2020년07월_계_60~69세,"4,721","1,274",290,393,331,405,274,421,421,245,206,461
2020년07월_계_70~79세,"4,203",963,256,407,333,290,259,343,391,262,216,483
2020년07월_계_80~89세,"2,726",515,200,257,234,233,202,211,206,189,179,300
2020년07월_계_90~99세,359,82,26,35,28,28,20,27,31,23,12,47
2020년07월_계_100세 이상,31,6,5,3,2,2,2,0,3,4,1,3
2020년07월_남_총인구수,"13,595","4,949",759,"1,011",872,862,711,987,"1,074",650,544,"1,176"
2020년07월_남_연령구간인구수,"13,595","4,949",759,"1,011",872,862,711,987,"1,074",650,544,"1,176"
2020년07월_남_0~9세,821,459,33,41,36,26,36,34,72,15,35,34
2020년07월_남_10~19세,"1,151",671,48,53,52,39,39,66,67,23,27,66
2020년07월_남_20~29세,"1,161",528,64,59,57,61,47,73,84,67,39,82
2020년07월_남_30~39세,"1,013",464,45,63,72,66,46,57,57,46,34,63
2020년07월_남_40~49세,"1,927",859,80,148,126,96,79,117,122,78,78,144
2020년07월_남_50~59세,"2,464",803,170,179,147,163,148,187,223,124,89,231
2020년07월_남_60~69세,"2,380",596,148,230,169,225,135,226,215,115,97,224
2020년07월_남_70~79세,"1,694",385,111,144,136,109,106,145,161,108,93,196
2020년07월_남_80~89세,889,163,54,89,71,69,71,73,60,66,52,121
2020년07월_남_90~99세,94,20,6,5,6,8,4,9,13,8,0,15
2020년07월_남_100세 이상,1,1,0,0,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"14,421","5,315",813,"1,048",899,890,742,"1,011","1,159",692,624,"1,228"
2020년07월_여_연령구간인구수,"14,421","5,315",813,"1,048",899,890,742,"1,011","1,159",692,624,"1,228"
2020년07월_여_0~9세,766,420,28,38,35,25,32,41,57,34,21,35
2020년07월_여_10~19세,"1,100",655,46,53,46,31,33,48,69,22,31,66
2020년07월_여_20~29세,955,476,45,49,40,44,32,65,55,39,49,61
2020년07월_여_30~39세,"1,065",579,54,47,43,42,59,48,77,34,33,49
2020년07월_여_40~49세,"1,466",780,67,70,78,48,45,80,105,49,48,96
2020년07월_여_50~59세,"2,087",730,115,164,111,153,100,180,193,88,70,183
2020년07월_여_60~69세,"2,341",678,142,163,162,180,139,195,206,130,109,237
2020년07월_여_70~79세,"2,509",578,145,263,197,181,153,198,230,154,123,287
2020년07월_여_80~89세,"1,837",352,146,168,163,164,131,138,146,123,127,179
2020년07월_여_90~99세,265,62,20,30,22,20,16,18,18,15,12,32
2020년07월_여_100세 이상,30,5,5,3,2,2,2,0,3,4,1,3
