카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020년08월_계_총인구수,"27,942","10,268","1,566","2,055","1,763","1,748","1,439","1,988","2,232","1,330","1,159","2,394"
2020년08월_계_연령구간인구수,"27,942","10,268","1,566","2,055","1,763","1,748","1,439","1,988","2,232","1,330","1,159","2,394"
2020년08월_계_0~9세,"1,574",877,62,76,69,53,64,75,129,47,53,69
2020년08월_계_10~19세,"2,243","1,330",92,106,96,70,71,113,138,39,58,130
2020년08월_계_20~29세,"2,085","1,005",106,109,93,103,75,136,133,102,83,140
2020년08월_계_30~39세,"2,067","1,037",101,109,114,105,102,105,138,79,66,111
2020년08월_계_40~49세,"3,378","1,639",144,220,199,144,122,194,223,132,122,239
2020년08월_계_50~59세,"4,535","1,537",282,340,261,318,246,359,419,207,157,409
2020년08월_계_60~69세,"4,731","1,277",293,389,331,404,276,427,417,248,212,457
2020년08월_계_70~79세,"4,206",961,257,410,333,287,259,341,389,261,216,492
2020년08월_계_80~89세,"2,729",517,199,257,238,234,202,211,210,186,178,297
2020년08월_계_90~99세,363,82,25,36,27,28,20,27,33,25,13,47
2020년08월_계_100세 이상,31,6,5,3,2,2,2,0,3,4,1,3
2020년08월_남_총인구수,"13,569","4,961",756,"1,009",869,861,704,981,"1,074",645,539,"1,170"
2020년08월_남_연령구간인구수,"13,569","4,961",756,"1,009",869,861,704,981,"1,074",645,539,"1,170"
2020년08월_남_0~9세,812,460,33,39,33,27,34,34,71,14,33,34
2020년08월_남_10~19세,"1,150",675,48,52,51,39,39,65,68,20,28,65
2020년08월_남_20~29세,"1,142",528,63,60,56,59,44,73,81,63,35,80
2020년08월_남_30~39세,"1,012",463,46,62,72,64,45,57,60,46,34,63
2020년08월_남_40~49세,"1,926",860,79,149,124,96,79,116,120,82,77,144
2020년08월_남_50~59세,"2,463",810,168,177,148,167,146,184,226,120,87,230
2020년08월_남_60~69세,"2,382",596,150,230,168,225,136,228,213,118,100,218
2020년08월_남_70~79세,"1,698",386,111,147,137,108,106,143,159,106,93,202
2020년08월_남_80~89세,888,163,53,87,74,68,71,72,62,67,52,119
2020년08월_남_90~99세,95,19,5,6,6,8,4,9,14,9,0,15
2020년08월_남_100세 이상,1,1,0,0,0,0,0,0,0,0,0,0
2020년08월_여_총인구수,"14,373","5,307",810,"1,046",894,887,735,"1,007","1,158",685,620,"1,224"
2020년08월_여_연령구간인구수,"14,373","5,307",810,"1,046",894,887,735,"1,007","1,158",685,620,"1,224"
2020년08월_여_0~9세,762,417,29,37,36,26,30,41,58,33,20,35
2020년08월_여_10~19세,"1,093",655,44,54,45,31,32,48,70,19,30,65
2020년08월_여_20~29세,943,477,43,49,37,44,31,63,52,39,48,60
2020년08월_여_30~39세,"1,055",574,55,47,42,41,57,48,78,33,32,48
2020년08월_여_40~49세,"1,452",779,65,71,75,48,43,78,103,50,45,95
2020년08월_여_50~59세,"2,072",727,114,163,113,151,100,175,193,87,70,179
2020년08월_여_60~69세,"2,349",681,143,159,163,179,140,199,204,130,112,239
2020년08월_여_70~79세,"2,508",575,146,263,196,179,153,198,230,155,123,290
2020년08월_여_80~89세,"1,841",354,146,170,164,166,131,139,148,119,126,178
2020년08월_여_90~99세,268,63,20,30,21,20,16,18,19,16,13,32
2020년08월_여_100세 이상,30,5,5,3,2,2,2,0,3,4,1,3
