,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년11월_계_총인구수,"91,137","14,345","26,391","7,000","4,324","14,228","6,005","5,744","4,572","1,848","1,928","2,686","1,092",974
2021년11월_계_연령구간인구수,"91,137","14,345","26,391","7,000","4,324","14,228","6,005","5,744","4,572","1,848","1,928","2,686","1,092",974
2021년11월_계_0~9세,"6,376",672,"2,710",347,263,"1,551",212,178,217,53,48,80,29,16
2021년11월_계_10~19세,"8,202","1,123","3,437",484,363,"1,374",338,360,260,103,63,211,47,39
2021년11월_계_20~29세,"8,722","1,762","2,740",661,363,"1,347",490,518,331,112,80,191,78,49
2021년11월_계_30~39세,"8,847","1,203","3,263",528,306,"2,095",380,350,331,95,87,112,58,39
2021년11월_계_40~49세,"13,224","1,957","4,848",871,613,"2,515",564,571,502,181,176,268,78,80
2021년11월_계_50~59세,"15,259","2,479","3,795","1,317",785,"2,159","1,156","1,180",828,316,370,459,244,171
2021년11월_계_60~69세,"14,826","2,460","2,857","1,349",803,"1,668","1,417","1,306",910,425,489,575,316,251
2021년11월_계_70~79세,"9,307","1,558","1,693",861,518,984,845,749,678,306,358,438,137,182
2021년11월_계_80~89세,"5,474",983,888,501,266,463,519,466,439,209,226,290,90,134
2021년11월_계_90~99세,874,146,156,77,43,69,79,64,75,47,30,60,15,13
2021년11월_계_100세 이상,26,2,4,4,1,3,5,2,1,1,1,2,0,0
2021년11월_남_총인구수,"46,847","7,418","13,742","3,613","2,221","7,146","3,107","2,885","2,341",946,969,"1,400",558,501
2021년11월_남_연령구간인구수,"46,847","7,418","13,742","3,613","2,221","7,146","3,107","2,885","2,341",946,969,"1,400",558,501
2021년11월_남_0~9세,"3,174",333,"1,381",165,137,763,105,82,101,26,23,36,14,8
2021년11월_남_10~19세,"4,304",570,"1,812",258,184,702,182,184,155,56,39,118,24,20
2021년11월_남_20~29세,"4,893",973,"1,578",385,210,678,286,282,206,66,37,112,45,35
2021년11월_남_30~39세,"4,588",702,"1,642",272,158,"1,035",218,175,179,48,54,59,22,24
2021년11월_남_40~49세,"7,239","1,084","2,607",487,331,"1,334",332,296,298,105,109,154,51,51
2021년11월_남_50~59세,"8,495","1,435","2,130",756,435,"1,141",615,626,457,186,205,287,129,93
2021년11월_남_60~69세,"7,749","1,258","1,462",698,407,864,737,724,480,231,259,313,183,133
2021년11월_남_70~79세,"4,354",696,790,399,251,460,429,361,307,147,155,215,64,80
2021년11월_남_80~89세,"1,850",336,303,171,101,150,185,145,138,74,83,91,21,52
2021년11월_남_90~99세,195,29,35,22,7,19,17,10,19,7,5,15,5,5
2021년11월_남_100세 이상,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021년11월_여_총인구수,"44,290","6,927","12,649","3,387","2,103","7,082","2,898","2,859","2,231",902,959,"1,286",534,473
2021년11월_여_연령구간인구수,"44,290","6,927","12,649","3,387","2,103","7,082","2,898","2,859","2,231",902,959,"1,286",534,473
2021년11월_여_0~9세,"3,202",339,"1,329",182,126,788,107,96,116,27,25,44,15,8
2021년11월_여_10~19세,"3,898",553,"1,625",226,179,672,156,176,105,47,24,93,23,19
2021년11월_여_20~29세,"3,829",789,"1,162",276,153,669,204,236,125,46,43,79,33,14
2021년11월_여_30~39세,"4,259",501,"1,621",256,148,"1,060",162,175,152,47,33,53,36,15
2021년11월_여_40~49세,"5,985",873,"2,241",384,282,"1,181",232,275,204,76,67,114,27,29
2021년11월_여_50~59세,"6,764","1,044","1,665",561,350,"1,018",541,554,371,130,165,172,115,78
2021년11월_여_60~69세,"7,077","1,202","1,395",651,396,804,680,582,430,194,230,262,133,118
2021년11월_여_70~79세,"4,953",862,903,462,267,524,416,388,371,159,203,223,73,102
2021년11월_여_80~89세,"3,624",647,585,330,165,313,334,321,301,135,143,199,69,82
2021년11월_여_90~99세,679,117,121,55,36,50,62,54,56,40,25,45,10,8
2021년11월_여_100세 이상,20,0,2,4,1,3,4,2,0,1,1,2,0,0
