카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년12월_계_총인구수,"22,085","7,406","2,089","2,318","4,429","2,107","2,160","1,576"
2020년12월_계_연령구간인구수,"22,085","7,406","2,089","2,318","4,429","2,107","2,160","1,576"
2020년12월_계_0~9세,"1,156",559,74,69,256,48,84,66
2020년12월_계_10~19세,"1,658",751,115,117,349,94,143,89
2020년12월_계_20~29세,"1,669",647,136,147,369,130,153,87
2020년12월_계_30~39세,"1,553",680,110,118,313,120,126,86
2020년12월_계_40~49세,"2,582","1,030",193,212,588,183,228,148
2020년12월_계_50~59세,"3,682","1,143",341,378,773,381,403,263
2020년12월_계_60~69세,"4,216","1,202",394,540,789,492,429,370
2020년12월_계_70~79세,"3,136",840,378,433,554,360,323,248
2020년12월_계_80~89세,"2,121",483,302,262,385,257,244,188
2020년12월_계_90~99세,291,67,45,40,44,39,25,31
2020년12월_계_100세 이상,21,4,1,2,9,3,2,0
2020년12월_남_총인구수,"11,000","3,650","1,036","1,171","2,240","1,050","1,064",789
2020년12월_남_연령구간인구수,"11,000","3,650","1,036","1,171","2,240","1,050","1,064",789
2020년12월_남_0~9세,599,287,43,45,126,23,45,30
2020년12월_남_10~19세,847,361,62,61,202,47,65,49
2020년12월_남_20~29세,938,350,86,79,213,77,85,48
2020년12월_남_30~39세,808,332,61,70,164,70,72,39
2020년12월_남_40~49세,"1,464",565,115,131,316,107,129,101
2020년12월_남_50~59세,"2,067",632,195,203,444,223,229,141
2020년12월_남_60~69세,"2,143",582,192,292,398,256,221,202
2020년12월_남_70~79세,"1,366",357,172,196,249,148,131,113
2020년12월_남_80~89세,697,169,94,88,119,89,81,57
2020년12월_남_90~99세,67,13,16,6,8,10,5,9
2020년12월_남_100세 이상,4,2,0,0,1,0,1,0
2020년12월_여_총인구수,"11,085","3,756","1,053","1,147","2,189","1,057","1,096",787
2020년12월_여_연령구간인구수,"11,085","3,756","1,053","1,147","2,189","1,057","1,096",787
2020년12월_여_0~9세,557,272,31,24,130,25,39,36
2020년12월_여_10~19세,811,390,53,56,147,47,78,40
2020년12월_여_20~29세,731,297,50,68,156,53,68,39
2020년12월_여_30~39세,745,348,49,48,149,50,54,47
2020년12월_여_40~49세,"1,118",465,78,81,272,76,99,47
2020년12월_여_50~59세,"1,615",511,146,175,329,158,174,122
2020년12월_여_60~69세,"2,073",620,202,248,391,236,208,168
2020년12월_여_70~79세,"1,770",483,206,237,305,212,192,135
2020년12월_여_80~89세,"1,424",314,208,174,266,168,163,131
2020년12월_여_90~99세,224,54,29,34,36,29,20,22
2020년12월_여_100세 이상,17,2,1,2,8,3,1,0
