,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2021년01월_계_총인구수,"22,081","7,394","2,085","2,324","4,429","2,105","2,166","1,578"
2021년01월_계_연령구간인구수,"22,081","7,394","2,085","2,324","4,429","2,105","2,166","1,578"
2021년01월_계_0~9세,"1,147",551,73,70,254,48,85,66
2021년01월_계_10~19세,"1,654",745,116,119,350,94,144,86
2021년01월_계_20~29세,"1,649",638,131,147,369,127,149,88
2021년01월_계_30~39세,"1,555",679,111,117,311,121,131,85
2021년01월_계_40~49세,"2,568","1,030",193,214,580,182,223,146
2021년01월_계_50~59세,"3,680","1,139",339,378,772,377,407,268
2021년01월_계_60~69세,"4,238","1,208",394,540,797,498,431,370
2021년01월_계_70~79세,"3,131",841,379,432,554,359,323,243
2021년01월_계_80~89세,"2,141",489,304,264,387,256,246,195
2021년01월_계_90~99세,296,70,44,41,46,40,25,30
2021년01월_계_100세 이상,22,4,1,2,9,3,2,1
2021년01월_남_총인구수,"11,002","3,654","1,035","1,171","2,232","1,048","1,073",789
2021년01월_남_연령구간인구수,"11,002","3,654","1,035","1,171","2,232","1,048","1,073",789
2021년01월_남_0~9세,598,287,42,45,126,23,46,29
2021년01월_남_10~19세,849,361,64,63,202,46,67,46
2021년01월_남_20~29세,926,347,81,78,209,77,85,49
2021년01월_남_30~39세,808,332,64,70,160,71,74,37
2021년01월_남_40~49세,"1,449",561,115,131,309,107,126,100
2021년01월_남_50~59세,"2,067",636,192,203,442,218,231,145
2021년01월_남_60~69세,"2,164",585,195,290,408,259,224,203
2021년01월_남_70~79세,"1,365",358,173,196,248,148,132,110
2021년01월_남_80~89세,704,172,93,89,118,89,82,61
2021년01월_남_90~99세,68,13,16,6,9,10,5,9
2021년01월_남_100세 이상,4,2,0,0,1,0,1,0
2021년01월_여_총인구수,"11,079","3,740","1,050","1,153","2,197","1,057","1,093",789
2021년01월_여_연령구간인구수,"11,079","3,740","1,050","1,153","2,197","1,057","1,093",789
2021년01월_여_0~9세,549,264,31,25,128,25,39,37
2021년01월_여_10~19세,805,384,52,56,148,48,77,40
2021년01월_여_20~29세,723,291,50,69,160,50,64,39
2021년01월_여_30~39세,747,347,47,47,151,50,57,48
2021년01월_여_40~49세,"1,119",469,78,83,271,75,97,46
2021년01월_여_50~59세,"1,613",503,147,175,330,159,176,123
2021년01월_여_60~69세,"2,074",623,199,250,389,239,207,167
2021년01월_여_70~79세,"1,766",483,206,236,306,211,191,133
2021년01월_여_80~89세,"1,437",317,211,175,269,167,164,134
2021년01월_여_90~99세,228,57,28,35,37,30,20,21
2021년01월_여_100세 이상,18,2,1,2,8,3,1,1
