카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021년08월_계_총인구수,"25,063","9,996",820,"1,087","1,353",859,"1,955","1,773","1,836","2,831","1,052","1,501"
2021년08월_계_연령구간인구수,"25,063","9,996",820,"1,087","1,353",859,"1,955","1,773","1,836","2,831","1,052","1,501"
2021년08월_계_0~9세,"1,190",641,17,43,43,33,82,65,59,123,51,33
2021년08월_계_10~19세,"1,642",846,22,81,83,43,89,76,79,207,55,61
2021년08월_계_20~29세,"1,841",901,29,65,65,39,142,122,138,191,64,85
2021년08월_계_30~39세,"1,538",789,21,44,52,56,99,95,84,184,72,42
2021년08월_계_40~49세,"2,569","1,274",64,86,105,68,180,164,138,278,94,118
2021년08월_계_50~59세,"4,416","1,663",168,191,247,160,354,295,333,553,183,269
2021년08월_계_60~69세,"5,127","1,692",239,238,312,215,428,405,370,630,247,351
2021년08월_계_70~79세,"3,788","1,246",155,183,237,134,314,315,358,396,143,307
2021년08월_계_80~89세,"2,545",823,90,131,178,105,224,204,239,225,125,201
2021년08월_계_90~99세,390,112,13,25,31,6,41,31,37,43,17,34
2021년08월_계_100세 이상,17,9,2,0,0,0,2,1,1,1,1,0
2021년08월_남_총인구수,"12,683","5,045",406,526,643,442,"1,019",895,921,"1,467",559,760
2021년08월_남_연령구간인구수,"12,683","5,045",406,526,643,442,"1,019",895,921,"1,467",559,760
2021년08월_남_0~9세,585,314,7,19,17,15,44,30,34,63,25,17
2021년08월_남_10~19세,874,434,11,41,46,19,51,44,42,113,38,35
2021년08월_남_20~29세,"1,056",509,15,40,35,24,83,67,70,117,46,50
2021년08월_남_30~39세,748,372,14,19,18,30,62,42,42,89,39,21
2021년08월_남_40~49세,"1,497",730,40,44,58,42,109,102,85,157,55,75
2021년08월_남_50~59세,"2,502",929,94,100,138,90,203,176,201,318,98,155
2021년08월_남_60~69세,"2,738",886,120,129,167,119,229,226,190,344,134,194
2021년08월_남_70~79세,"1,748",565,73,82,110,66,149,149,162,188,71,133
2021년08월_남_80~89세,846,278,29,46,46,35,83,54,85,70,49,71
2021년08월_남_90~99세,84,24,2,6,8,2,6,5,10,8,4,9
2021년08월_남_100세 이상,5,4,1,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"12,380","4,951",414,561,710,417,936,878,915,"1,364",493,741
2021년08월_여_연령구간인구수,"12,380","4,951",414,561,710,417,936,878,915,"1,364",493,741
2021년08월_여_0~9세,605,327,10,24,26,18,38,35,25,60,26,16
2021년08월_여_10~19세,768,412,11,40,37,24,38,32,37,94,17,26
2021년08월_여_20~29세,785,392,14,25,30,15,59,55,68,74,18,35
2021년08월_여_30~39세,790,417,7,25,34,26,37,53,42,95,33,21
2021년08월_여_40~49세,"1,072",544,24,42,47,26,71,62,53,121,39,43
2021년08월_여_50~59세,"1,914",734,74,91,109,70,151,119,132,235,85,114
2021년08월_여_60~69세,"2,389",806,119,109,145,96,199,179,180,286,113,157
2021년08월_여_70~79세,"2,040",681,82,101,127,68,165,166,196,208,72,174
2021년08월_여_80~89세,"1,699",545,61,85,132,70,141,150,154,155,76,130
2021년08월_여_90~99세,306,88,11,19,23,4,35,26,27,35,13,25
2021년08월_여_100세 이상,12,5,1,0,0,0,2,1,1,1,1,0
