카테고리,제주특별자치도 제주시,제주특별자치도 제주시 한림읍,제주특별자치도 제주시 애월읍,제주특별자치도 제주시 구좌읍,제주특별자치도 제주시 조천읍,제주특별자치도 제주시 한경면,제주특별자치도 제주시 추자면,제주특별자치도 제주시 우도면,제주특별자치도 제주시 일도1동,제주특별자치도 제주시 일도2동,제주특별자치도 제주시 이도1동,제주특별자치도 제주시 이도2동,제주특별자치도 제주시 삼도1동,제주특별자치도 제주시 삼도2동,제주특별자치도 제주시 용담1동,제주특별자치도 제주시 용담2동,제주특별자치도 제주시 건입동,제주특별자치도 제주시 화북동,제주특별자치도 제주시 삼양동,제주특별자치도 제주시 봉개동,제주특별자치도 제주시 아라동,제주특별자치도 제주시 오라동,제주특별자치도 제주시 연동,제주특별자치도 제주시 노형동,제주특별자치도 제주시 외도동,제주특별자치도 제주시 이호동,제주특별자치도 제주시 도두동
2020년01월_계_총인구수,"489,202","21,373","36,186","15,549","24,803","9,044","1,717","1,860","2,701","33,612","7,688","49,953","13,771","8,141","7,261","15,051","9,230","24,850","25,712","5,272","34,879","15,397","41,487","54,148","21,742","4,573","3,202"
2020년01월_계_연령구간인구수,"489,202","21,373","36,186","15,549","24,803","9,044","1,717","1,860","2,701","33,612","7,688","49,953","13,771","8,141","7,261","15,051","9,230","24,850","25,712","5,272","34,879","15,397","41,487","54,148","21,742","4,573","3,202"
2020년01월_계_0~9세,"46,997","1,550","3,359",941,"2,079",544,66,96,112,"2,993",536,"4,902","1,173",486,456,"1,148",691,"2,636","3,838",563,"4,462","2,251","3,245","5,295","2,877",400,298
2020년01월_계_10~19세,"54,272","1,818","3,419","1,152","2,238",589,88,111,152,"3,968",769,"6,384","1,479",722,676,"1,488",792,"3,134","3,077",455,"4,290","1,724","4,332","7,752","2,907",447,309
2020년01월_계_20~29세,"62,670","2,167","3,628","1,463","2,779",719,117,193,268,"4,498","1,077","7,443","1,760","1,018",914,"1,970","1,130","3,280","2,895",707,"4,660","1,846","6,838","7,859","2,463",610,368
2020년01월_계_30~39세,"63,949","2,341","4,426","1,645","2,998",814,121,208,246,"4,020",899,"6,786","1,548",921,735,"1,687","1,050","3,106","4,238",796,"5,544","2,631","6,025","6,835","3,290",603,436
2020년01월_계_40~49세,"83,247","3,516","6,508","2,381","4,017","1,442",220,302,384,"5,229","1,067","8,439","2,268","1,262","1,112","2,239","1,347","4,184","4,679",788,"6,355","2,719","7,198","9,996","4,311",741,543
2020년01월_계_50~59세,"79,535","3,822","6,259","2,761","4,323","1,627",319,372,536,"5,642","1,383","7,686","2,180","1,506","1,365","2,582","1,578","4,092","3,301",774,"4,799","2,080","7,003","9,153","3,008",803,581
2020년01월_계_60~69세,"51,464","2,891","4,153","2,226","3,050","1,439",337,252,539,"3,943",997,"4,749","1,562","1,132",985,"1,977","1,404","2,467","2,030",551,"2,709","1,175","4,199","4,297","1,523",514,363
2020년01월_계_70~79세,"29,324","1,932","2,577","1,633","1,999",998,269,168,303,"2,229",574,"2,390","1,206",692,664,"1,267",809,"1,211","1,044",374,"1,292",618,"1,839","1,947",844,282,163
