카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년06월_계_총인구수,"2,117,400","657,503","256,047","401,456","103,640","98,993","320,340","176,090","115,305","43,168","166,754","50,890","64,361","51,153","30,548","99,440","77,348","61,867"
2021년06월_계_연령구간인구수,"2,117,400","657,503","256,047","401,456","103,640","98,993","320,340","176,090","115,305","43,168","166,754","50,890","64,361","51,153","30,548","99,440","77,348","61,867"
2021년06월_계_0~9세,"167,531","60,401","19,584","40,817","5,563","5,858","32,078","15,079","7,019","3,864","15,015","2,435","2,796","2,216","1,209","7,570","3,471","2,957"
2021년06월_계_10~19세,"201,249","67,839","25,808","42,031","8,026","8,135","34,914","17,134","9,591","6,270","15,713","4,261","4,528","3,383","2,004","9,543","5,607","4,301"
2021년06월_계_20~29세,"240,486","95,714","34,823","60,891","10,950","9,309","37,321","19,050","11,085","4,889","16,003","3,854","5,192","3,731","2,532","9,404","6,624","4,828"
2021년06월_계_30~39세,"262,958","103,263","32,323","70,940","9,229","9,093","48,303","21,839","10,382","4,630","22,265","3,520","4,225","3,288","1,980","10,215","5,890","4,836"
2021년06월_계_40~49세,"326,497","111,684","42,190","69,494","13,064","13,624","57,360","27,837","14,957","8,326","26,908","6,065","6,922","5,587","3,029","14,290","9,256","7,588"
2021년06월_계_50~59세,"337,494","102,887","43,318","59,569","17,968","16,633","46,974","28,381","19,299","7,072","26,054","8,855","10,472","8,314","5,100","15,656","13,232","10,597"
2021년06월_계_60~69세,"292,701","67,529","32,930","34,599","19,131","17,698","33,884","23,191","20,618","4,705","22,182","10,228","13,436","10,422","6,409","15,313","15,366","12,589"
2021년06월_계_70~79세,"171,223","30,319","15,595","14,724","11,399","11,259","18,118","13,961","12,930","2,088","13,247","6,807","9,353","8,011","4,469","10,050","10,293","8,919"
2021년06월_계_80~89세,"101,957","15,541","8,222","7,319","7,183","6,393","9,968","8,308","8,187","1,126","8,149","4,291","6,411","5,310","3,348","6,469","6,706","4,567"
2021년06월_계_90~99세,"14,785","2,243","1,208","1,035","1,087",949,"1,365","1,272","1,189",195,"1,167",565,990,867,459,905,870,662
2021년06월_계_100세 이상,519,83,46,37,40,42,55,38,48,3,51,9,36,24,9,25,33,23
2021년06월_남_총인구수,"1,082,113","335,917","129,806","206,111","51,835","50,235","166,425","91,855","57,674","21,504","88,637","25,662","31,965","25,270","15,510","49,522","38,925","31,177"
2021년06월_남_연령구간인구수,"1,082,113","335,917","129,806","206,111","51,835","50,235","166,425","91,855","57,674","21,504","88,637","25,662","31,965","25,270","15,510","49,522","38,925","31,177"
2021년06월_남_0~9세,"85,753","30,917","10,089","20,828","2,880","2,962","16,478","7,702","3,577","1,941","7,632","1,238","1,488","1,120",610,"3,932","1,800","1,476"
2021년06월_남_10~19세,"104,445","35,100","13,426","21,674","4,140","4,219","17,946","9,100","4,947","3,297","8,254","2,222","2,394","1,736","1,055","4,894","2,905","2,236"
2021년06월_남_20~29세,"132,940","50,354","18,469","31,885","6,014","5,496","20,789","11,375","6,202","2,722","9,334","2,202","3,005","2,156","1,478","5,199","3,783","2,831"
2021년06월_남_30~39세,"141,673","54,973","17,018","37,955","4,961","4,943","25,767","12,111","5,524","2,322","12,756","1,861","2,302","1,835","1,120","5,272","3,262","2,664"
2021년06월_남_40~49세,"174,199","57,934","21,810","36,124","6,896","7,474","31,139","14,899","7,928","4,046","15,138","3,344","3,763","3,051","1,779","7,460","5,076","4,272"
2021년06월_남_50~59세,"178,810","52,823","22,019","30,804","9,255","8,892","25,436","15,252","10,189","3,547","14,684","4,889","5,526","4,546","2,799","8,227","7,136","5,609"
2021년06월_남_60~69세,"146,907","34,174","16,593","17,581","9,614","8,688","16,985","11,654","10,433","2,274","11,397","5,234","6,748","5,111","3,297","7,558","7,650","6,090"
2021년06월_남_70~79세,"78,117","13,756","7,188","6,568","5,260","5,073","8,070","6,566","5,812",946,"6,238","3,125","4,216","3,602","2,049","4,498","4,667","4,239"
