카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021년09월_계_총인구수,"43,191","7,279","18,449","8,809","8,654"
2021년09월_계_연령구간인구수,"43,191","7,279","18,449","8,809","8,654"
2021년09월_계_0~9세,"3,807",592,"1,176","1,329",710
2021년09월_계_10~19세,"6,258",932,"2,302","1,954","1,070"
2021년09월_계_20~29세,"4,844",767,"2,289",815,973
2021년09월_계_30~39세,"4,590",686,"1,713","1,330",861
2021년09월_계_40~49세,"8,264","1,193","3,057","2,484","1,530"
2021년09월_계_50~59세,"7,158","1,342","3,541",730,"1,545"
2021년09월_계_60~69세,"4,833","1,075","2,421",93,"1,244"
2021년09월_계_70~79세,"2,104",452,"1,119",52,481
2021년09월_계_80~89세,"1,137",192,715,20,210
2021년09월_계_90~99세,194,47,115,2,30
2021년09월_계_100세 이상,2,1,1,0,0
2021년09월_남_총인구수,"21,492","3,561","9,003","4,593","4,335"
2021년09월_남_연령구간인구수,"21,492","3,561","9,003","4,593","4,335"
2021년09월_남_0~9세,"1,911",296,596,659,360
2021년09월_남_10~19세,"3,287",468,"1,235","1,020",564
2021년09월_남_20~29세,"2,708",409,"1,238",490,571
2021년09월_남_30~39세,"2,291",329,873,666,423
2021년09월_남_40~49세,"4,016",562,"1,457","1,273",724
2021년09월_남_50~59세,"3,577",667,"1,720",434,756
2021년09월_남_60~69세,"2,325",540,"1,155",28,602
2021년09월_남_70~79세,967,220,484,13,250
2021년09월_남_80~89세,370,65,221,9,75
2021년09월_남_90~99세,39,5,23,1,10
2021년09월_남_100세 이상,1,0,1,0,0
2021년09월_여_총인구수,"21,699","3,718","9,446","4,216","4,319"
2021년09월_여_연령구간인구수,"21,699","3,718","9,446","4,216","4,319"
2021년09월_여_0~9세,"1,896",296,580,670,350
2021년09월_여_10~19세,"2,971",464,"1,067",934,506
2021년09월_여_20~29세,"2,136",358,"1,051",325,402
2021년09월_여_30~39세,"2,299",357,840,664,438
2021년09월_여_40~49세,"4,248",631,"1,600","1,211",806
2021년09월_여_50~59세,"3,581",675,"1,821",296,789
2021년09월_여_60~69세,"2,508",535,"1,266",65,642
2021년09월_여_70~79세,"1,137",232,635,39,231
2021년09월_여_80~89세,767,127,494,11,135
2021년09월_여_90~99세,155,42,92,1,20
2021년09월_여_100세 이상,1,1,0,0,0
