,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020년03월_계_총인구수,"105,895","7,590","3,377","2,988","5,691","4,288","4,692","4,719","5,357","3,006","3,277","4,782","8,334","5,453","8,139","19,637","14,565"
2020년03월_계_연령구간인구수,"105,895","7,590","3,377","2,988","5,691","4,288","4,692","4,719","5,357","3,006","3,277","4,782","8,334","5,453","8,139","19,637","14,565"
2020년03월_계_0~9세,"6,141",281,115,74,179,179,213,126,173,81,84,198,453,388,343,"1,514","1,740"
2020년03월_계_10~19세,"8,582",435,140,135,300,219,378,237,305,160,94,375,755,582,581,"2,133","1,753"
2020년03월_계_20~29세,"11,646",532,247,187,355,360,469,294,434,200,180,606,940,758,923,"3,250","1,911"
2020년03월_계_30~39세,"10,018",528,218,187,348,322,401,283,361,161,199,401,877,522,764,"2,393","2,053"
2020년03월_계_40~49세,"13,691",826,278,238,536,511,588,433,567,282,315,616,"1,175",806,"1,039","3,081","2,400"
2020년03월_계_50~59세,"18,813","1,399",639,518,"1,062",996,947,866,985,549,649,831,"1,435",887,"1,566","3,236","2,248"
2020년03월_계_60~69세,"17,610","1,694",733,638,"1,349",920,804,"1,072","1,059",639,841,792,"1,353",800,"1,410","2,215","1,291"
2020년03월_계_70~79세,"11,351","1,101",553,532,873,484,515,740,823,504,519,594,853,438,983,"1,167",672
2020년03월_계_80~89세,"7,028",706,399,419,599,255,322,584,568,383,342,314,428,241,483,564,421
2020년03월_계_90~99세,957,81,50,57,85,41,54,80,75,43,51,53,59,31,45,79,73
2020년03월_계_100세 이상,58,7,5,3,5,1,1,4,7,4,3,2,6,0,2,5,3
2020년03월_남_총인구수,"53,074","3,828","1,716","1,542","2,899","2,267","2,432","2,453","2,782","1,509","1,467","2,403","4,126","2,744","4,098","9,609","7,199"
2020년03월_남_연령구간인구수,"53,074","3,828","1,716","1,542","2,899","2,267","2,432","2,453","2,782","1,509","1,467","2,403","4,126","2,744","4,098","9,609","7,199"
2020년03월_남_0~9세,"3,190",154,54,41,86,107,100,75,91,43,44,101,241,201,183,780,889
2020년03월_남_10~19세,"4,429",223,90,66,157,125,193,131,145,79,48,208,374,291,312,"1,068",919
2020년03월_남_20~29세,"6,468",327,131,114,189,210,296,181,272,104,103,337,534,382,537,"1,714","1,037"
2020년03월_남_30~39세,"5,361",320,127,109,197,193,210,169,214,105,104,233,491,273,432,"1,210",974
2020년03월_남_40~49세,"7,212",460,175,153,323,274,349,279,352,167,135,318,604,420,564,"1,504","1,135"
2020년03월_남_50~59세,"9,766",701,365,303,609,526,503,457,563,314,285,434,739,468,799,"1,563","1,137"
2020년03월_남_60~69세,"8,774",860,377,339,690,493,428,568,545,319,372,381,616,411,681,"1,036",658
2020년03월_남_70~79세,"5,157",503,257,254,418,228,237,344,384,226,233,262,362,214,416,520,299
2020년03월_남_80~89세,"2,447",256,120,152,206,101,105,227,191,141,122,115,147,78,165,192,129
2020년03월_남_90~99세,258,20,20,11,22,10,11,22,25,10,21,14,17,6,9,19,21
2020년03월_남_100세 이상,12,4,0,0,2,0,0,0,0,1,0,0,1,0,0,3,1
2020년03월_여_총인구수,"52,821","3,762","1,661","1,446","2,792","2,021","2,260","2,266","2,575","1,497","1,810","2,379","4,208","2,709","4,041","10,028","7,366"
2020년03월_여_연령구간인구수,"52,821","3,762","1,661","1,446","2,792","2,021","2,260","2,266","2,575","1,497","1,810","2,379","4,208","2,709","4,041","10,028","7,366"
2020년03월_여_0~9세,"2,951",127,61,33,93,72,113,51,82,38,40,97,212,187,160,734,851
2020년03월_여_10~19세,"4,153",212,50,69,143,94,185,106,160,81,46,167,381,291,269,"1,065",834
2020년03월_여_20~29세,"5,178",205,116,73,166,150,173,113,162,96,77,269,406,376,386,"1,536",874
2020년03월_여_30~39세,"4,657",208,91,78,151,129,191,114,147,56,95,168,386,249,332,"1,183","1,079"
2020년03월_여_40~49세,"6,479",366,103,85,213,237,239,154,215,115,180,298,571,386,475,"1,577","1,265"
2020년03월_여_50~59세,"9,047",698,274,215,453,470,444,409,422,235,364,397,696,419,767,"1,673","1,111"
2020년03월_여_60~69세,"8,836",834,356,299,659,427,376,504,514,320,469,411,737,389,729,"1,179",633
2020년03월_여_70~79세,"6,194",598,296,278,455,256,278,396,439,278,286,332,491,224,567,647,373
2020년03월_여_80~89세,"4,581",450,279,267,393,154,217,357,377,242,220,199,281,163,318,372,292
2020년03월_여_90~99세,699,61,30,46,63,31,43,58,50,33,30,39,42,25,36,60,52
2020년03월_여_100세 이상,46,3,5,3,3,1,1,4,7,3,3,2,5,0,2,2,2
