카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년12월_계_총인구수,"166,249","9,099","30,259","5,498","9,701","2,434","3,679","3,584","5,122","5,177","15,814","11,914","24,406","21,178","18,384"
2020년12월_계_연령구간인구수,"166,249","9,099","30,259","5,498","9,701","2,434","3,679","3,584","5,122","5,177","15,814","11,914","24,406","21,178","18,384"
2020년12월_계_0~9세,"15,561",325,"4,010",183,427,62,105,102,175,191,"1,492","1,191","2,561","2,598","2,139"
2020년12월_계_10~19세,"15,687",589,"2,558",276,498,98,190,190,318,346,"1,813","1,000","2,519","2,531","2,761"
2020년12월_계_20~29세,"16,075",696,"2,366",385,941,142,294,257,367,403,"1,423","1,025","3,406","2,223","2,147"
2020년12월_계_30~39세,"22,827",719,"5,544",329,"1,136",126,212,232,290,311,"1,701","1,995","4,499","3,183","2,550"
2020년12월_계_40~49세,"26,670","1,113","5,356",556,"1,345",208,324,375,547,589,"2,610","2,000","4,236","3,789","3,622"
2020년12월_계_50~59세,"25,934","1,567","4,426",954,"1,921",354,625,662,975,862,"2,511","1,847","3,385","3,095","2,750"
2020년12월_계_60~69세,"21,007","1,821","3,182","1,215","1,702",610,839,793,"1,049","1,061","2,071","1,367","2,070","1,978","1,249"
2020년12월_계_70~79세,"13,306","1,320","1,684",862,"1,025",502,617,556,776,818,"1,324",880,"1,145","1,084",713
2020년12월_계_80~89세,"7,965",814,995,632,614,286,408,354,534,520,757,534,508,615,394
2020년12월_계_90~99세,"1,147",119,131,102,87,43,64,61,86,74,104,70,76,72,58
2020년12월_계_100세 이상,70,16,7,4,5,3,1,2,5,2,8,5,1,10,1
2020년12월_남_총인구수,"88,206","4,765","16,760","2,805","5,704","1,211","1,878","1,838","2,590","2,611","8,041","6,783","12,977","10,742","9,501"
2020년12월_남_연령구간인구수,"88,206","4,765","16,760","2,805","5,704","1,211","1,878","1,838","2,590","2,611","8,041","6,783","12,977","10,742","9,501"
2020년12월_남_0~9세,"7,950",178,"2,082",92,223,38,45,50,80,97,723,593,"1,305","1,343","1,101"
2020년12월_남_10~19세,"8,246",326,"1,342",144,268,54,103,95,170,191,948,503,"1,316","1,309","1,477"
2020년12월_남_20~29세,"9,376",421,"1,364",219,646,83,182,159,208,246,818,664,"1,937","1,212","1,217"
2020년12월_남_30~39세,"13,000",432,"3,131",187,796,77,121,135,169,170,869,"1,292","2,653","1,648","1,320"
2020년12월_남_40~49세,"15,023",671,"3,281",327,915,131,180,232,329,340,"1,396","1,255","2,258","1,918","1,790"
2020년12월_남_50~59세,"14,526",900,"2,651",556,"1,212",175,342,358,534,467,"1,365","1,114","1,756","1,615","1,481"
2020년12월_남_60~69세,"10,733",881,"1,708",610,912,301,430,393,516,532,"1,038",746,"1,051",984,631
2020년12월_남_70~79세,"6,221",609,817,410,485,242,304,283,375,359,600,402,504,496,335
2020년12월_남_80~89세,"2,829",314,342,234,222,99,161,118,185,182,260,196,181,204,131
2020년12월_남_90~99세,288,31,42,26,23,10,10,13,23,26,22,18,16,11,17
2020년12월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년12월_여_총인구수,"78,043","4,334","13,499","2,693","3,997","1,223","1,801","1,746","2,532","2,566","7,773","5,131","11,429","10,436","8,883"
2020년12월_여_연령구간인구수,"78,043","4,334","13,499","2,693","3,997","1,223","1,801","1,746","2,532","2,566","7,773","5,131","11,429","10,436","8,883"
2020년12월_여_0~9세,"7,611",147,"1,928",91,204,24,60,52,95,94,769,598,"1,256","1,255","1,038"
2020년12월_여_10~19세,"7,441",263,"1,216",132,230,44,87,95,148,155,865,497,"1,203","1,222","1,284"
2020년12월_여_20~29세,"6,699",275,"1,002",166,295,59,112,98,159,157,605,361,"1,469","1,011",930
2020년12월_여_30~39세,"9,827",287,"2,413",142,340,49,91,97,121,141,832,703,"1,846","1,535","1,230"
2020년12월_여_40~49세,"11,647",442,"2,075",229,430,77,144,143,218,249,"1,214",745,"1,978","1,871","1,832"
2020년12월_여_50~59세,"11,408",667,"1,775",398,709,179,283,304,441,395,"1,146",733,"1,629","1,480","1,269"
2020년12월_여_60~69세,"10,274",940,"1,474",605,790,309,409,400,533,529,"1,033",621,"1,019",994,618
2020년12월_여_70~79세,"7,085",711,867,452,540,260,313,273,401,459,724,478,641,588,378
2020년12월_여_80~89세,"5,136",500,653,398,392,187,247,236,349,338,497,338,327,411,263
2020년12월_여_90~99세,859,88,89,76,64,33,54,48,63,48,82,52,60,61,41
2020년12월_여_100세 이상,56,14,7,4,3,2,1,0,4,1,6,5,1,8,0
