,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2020년05월_계_총인구수,"66,086","20,657","12,042","3,816","2,377","1,568","2,437","2,889","1,434","1,886","1,155","1,739","2,944","2,780","3,210","2,982","2,170"
2020년05월_계_연령구간인구수,"66,086","20,657","12,042","3,816","2,377","1,568","2,437","2,889","1,434","1,886","1,155","1,739","2,944","2,780","3,210","2,982","2,170"
2020년05월_계_0~9세,"3,075","1,122",991,104,50,54,63,88,26,49,22,29,106,85,109,114,63
2020년05월_계_10~19세,"4,845","1,983","1,201",211,122,54,156,175,56,80,34,49,146,122,133,239,84
2020년05월_계_20~29세,"5,549","2,263","1,323",245,116,67,147,191,73,105,54,78,167,158,194,234,134
2020년05월_계_30~39세,"4,584","1,665","1,233",196,98,87,126,136,54,87,56,78,144,148,184,163,129
2020년05월_계_40~49세,"7,438","2,803","1,743",364,207,110,237,252,111,139,67,111,260,233,284,335,182
2020년05월_계_50~59세,"11,160","3,753","1,937",658,405,269,402,458,210,261,185,252,425,441,568,573,363
2020년05월_계_60~69세,"12,681","3,469","1,667",911,560,362,461,634,354,416,291,424,651,591,739,607,544
2020년05월_계_70~79세,"9,439","2,219","1,099",598,483,311,460,569,289,401,234,370,581,512,566,393,354
2020년05월_계_80~89세,"6,296","1,169",736,459,287,222,338,325,218,300,191,292,386,425,387,285,276
2020년05월_계_90~99세,962,194,106,59,45,32,44,55,42,46,21,55,77,64,45,37,40
2020년05월_계_100세 이상,57,17,6,11,4,0,3,6,1,2,0,1,1,1,1,2,1
2020년05월_남_총인구수,"32,746","10,261","5,939","1,907","1,158",788,"1,185","1,402",682,916,580,826,"1,454","1,379","1,631","1,549","1,089"
2020년05월_남_연령구간인구수,"32,746","10,261","5,939","1,907","1,158",788,"1,185","1,402",682,916,580,826,"1,454","1,379","1,631","1,549","1,089"
2020년05월_남_0~9세,"1,646",608,527,53,25,30,37,48,14,29,12,15,47,50,53,62,36
2020년05월_남_10~19세,"2,547","1,046",606,99,82,32,81,95,25,43,23,28,82,68,74,123,40
2020년05월_남_20~29세,"3,205","1,322",703,161,75,44,83,109,50,63,36,42,101,84,107,142,83
2020년05월_남_30~39세,"2,491",871,608,116,54,54,76,78,35,56,33,49,82,88,111,101,79
2020년05월_남_40~49세,"4,064","1,430",915,211,123,62,140,137,62,86,44,58,155,158,179,191,113
2020년05월_남_50~59세,"5,786","1,888","1,009",355,200,135,198,246,106,137,103,132,241,222,301,322,191
2020년05월_남_60~69세,"6,332","1,652",833,449,268,197,236,293,179,212,137,213,339,324,378,327,295
2020년05월_남_70~79세,"4,214",998,465,284,219,147,209,257,122,167,116,169,249,216,268,181,147
2020년05월_남_80~89세,"2,215",403,248,160,104,77,115,122,76,108,74,107,142,149,144,90,96
2020년05월_남_90~99세,239,41,24,17,8,10,10,16,13,14,2,13,16,20,16,10,9
2020년05월_남_100세 이상,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020년05월_여_총인구수,"33,340","10,396","6,103","1,909","1,219",780,"1,252","1,487",752,970,575,913,"1,490","1,401","1,579","1,433","1,081"
2020년05월_여_연령구간인구수,"33,340","10,396","6,103","1,909","1,219",780,"1,252","1,487",752,970,575,913,"1,490","1,401","1,579","1,433","1,081"
2020년05월_여_0~9세,"1,429",514,464,51,25,24,26,40,12,20,10,14,59,35,56,52,27
2020년05월_여_10~19세,"2,298",937,595,112,40,22,75,80,31,37,11,21,64,54,59,116,44
2020년05월_여_20~29세,"2,344",941,620,84,41,23,64,82,23,42,18,36,66,74,87,92,51
2020년05월_여_30~39세,"2,093",794,625,80,44,33,50,58,19,31,23,29,62,60,73,62,50
2020년05월_여_40~49세,"3,374","1,373",828,153,84,48,97,115,49,53,23,53,105,75,105,144,69
2020년05월_여_50~59세,"5,374","1,865",928,303,205,134,204,212,104,124,82,120,184,219,267,251,172
2020년05월_여_60~69세,"6,349","1,817",834,462,292,165,225,341,175,204,154,211,312,267,361,280,249
2020년05월_여_70~79세,"5,225","1,221",634,314,264,164,251,312,167,234,118,201,332,296,298,212,207
2020년05월_여_80~89세,"4,081",766,488,299,183,145,223,203,142,192,117,185,244,276,243,195,180
2020년05월_여_90~99세,723,153,82,42,37,22,34,39,29,32,19,42,61,44,29,27,31
2020년05월_여_100세 이상,50,15,5,9,4,0,3,5,1,1,0,1,1,1,1,2,1
