,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년12월_계_총인구수,"51,866","11,126","13,744","4,939","2,264","1,674","2,540","1,494","1,286","1,262","2,135","2,049","2,950","4,403"
2020년12월_계_연령구간인구수,"51,866","11,126","13,744","4,939","2,264","1,674","2,540","1,494","1,286","1,262","2,135","2,049","2,950","4,403"
2020년12월_계_0~9세,"2,306",557,"1,009",163,48,29,63,50,28,31,39,47,51,191
2020년12월_계_10~19세,"3,487",863,"1,526",219,55,58,110,66,55,26,68,82,100,259
2020년12월_계_20~29세,"3,877","1,064","1,337",291,91,87,138,82,60,38,91,99,201,298
2020년12월_계_30~39세,"3,465",871,"1,139",304,113,58,110,74,65,55,91,104,150,331
2020년12월_계_40~49세,"5,844","1,545","1,998",487,156,140,225,100,77,95,146,153,241,481
2020년12월_계_50~59세,"8,503","1,929","2,271",810,311,254,372,219,177,185,341,312,540,782
2020년12월_계_60~69세,"10,232","1,987","2,093","1,062",524,369,522,343,301,313,536,496,702,984
2020년12월_계_70~79세,"8,037","1,467","1,407",923,471,347,516,295,249,288,425,405,563,681
2020년12월_계_80~89세,"5,240",738,808,587,428,274,415,233,239,204,342,288,335,349
2020년12월_계_90~99세,831,100,148,88,61,57,66,31,34,26,53,59,63,45
2020년12월_계_100세 이상,44,5,8,5,6,1,3,1,1,1,3,4,4,2
2020년12월_남_총인구수,"25,614","5,553","6,709","2,476","1,092",818,"1,185",714,630,643,"1,041",991,"1,451","2,311"
2020년12월_남_연령구간인구수,"25,614","5,553","6,709","2,476","1,092",818,"1,185",714,630,643,"1,041",991,"1,451","2,311"
2020년12월_남_0~9세,"1,158",276,500,86,28,11,29,24,15,21,17,26,30,95
2020년12월_남_10~19세,"1,807",446,799,112,35,29,52,31,29,16,36,38,49,135
2020년12월_남_20~29세,"2,247",602,747,165,59,52,76,52,34,26,52,62,137,183
2020년12월_남_30~39세,"1,939",456,568,182,72,36,67,45,43,32,63,65,91,219
2020년12월_남_40~49세,"3,205",822,964,303,100,96,119,61,45,64,79,86,150,316
2020년12월_남_50~59세,"4,609","1,071","1,170",471,157,139,203,114,103,110,180,182,283,426
2020년12월_남_60~69세,"4,985",947,996,531,260,181,246,173,158,149,264,246,332,502
2020년12월_남_70~79세,"3,562",621,633,396,212,161,226,135,107,140,211,184,257,279
2020년12월_남_80~89세,"1,900",287,290,210,152,100,151,71,85,83,131,87,108,145
2020년12월_남_90~99세,192,25,39,19,14,13,16,8,11,2,8,13,14,10
2020년12월_남_100세 이상,10,0,3,1,3,0,0,0,0,0,0,2,0,1
2020년12월_여_총인구수,"26,252","5,573","7,035","2,463","1,172",856,"1,355",780,656,619,"1,094","1,058","1,499","2,092"
2020년12월_여_연령구간인구수,"26,252","5,573","7,035","2,463","1,172",856,"1,355",780,656,619,"1,094","1,058","1,499","2,092"
2020년12월_여_0~9세,"1,148",281,509,77,20,18,34,26,13,10,22,21,21,96
2020년12월_여_10~19세,"1,680",417,727,107,20,29,58,35,26,10,32,44,51,124
2020년12월_여_20~29세,"1,630",462,590,126,32,35,62,30,26,12,39,37,64,115
2020년12월_여_30~39세,"1,526",415,571,122,41,22,43,29,22,23,28,39,59,112
2020년12월_여_40~49세,"2,639",723,"1,034",184,56,44,106,39,32,31,67,67,91,165
2020년12월_여_50~59세,"3,894",858,"1,101",339,154,115,169,105,74,75,161,130,257,356
2020년12월_여_60~69세,"5,247","1,040","1,097",531,264,188,276,170,143,164,272,250,370,482
2020년12월_여_70~79세,"4,475",846,774,527,259,186,290,160,142,148,214,221,306,402
2020년12월_여_80~89세,"3,340",451,518,377,276,174,264,162,154,121,211,201,227,204
2020년12월_여_90~99세,639,75,109,69,47,44,50,23,23,24,45,46,49,35
2020년12월_여_100세 이상,34,5,5,4,3,1,3,1,1,1,3,2,4,1
