카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년03월_계_총인구수,"51,361","11,077","13,550","4,885","2,262","1,653","2,497","1,480","1,279","1,253","2,132","2,029","2,890","4,374"
2021년03월_계_연령구간인구수,"51,361","11,077","13,550","4,885","2,262","1,653","2,497","1,480","1,279","1,253","2,132","2,029","2,890","4,374"
2021년03월_계_0~9세,"2,258",538,984,166,52,28,62,48,31,31,37,48,45,188
2021년03월_계_10~19세,"3,423",852,"1,490",212,59,60,110,67,52,27,67,77,96,254
2021년03월_계_20~29세,"3,769","1,049","1,303",278,91,85,121,82,57,37,87,98,191,290
2021년03월_계_30~39세,"3,361",865,"1,096",289,116,57,105,75,64,51,88,102,134,319
2021년03월_계_40~49세,"5,687","1,524","1,921",480,154,140,214,95,74,90,149,146,240,460
2021년03월_계_50~59세,"8,376","1,926","2,273",791,301,234,362,207,180,179,325,303,507,788
2021년03월_계_60~69세,"10,333","1,993","2,123","1,069",518,375,536,351,299,316,553,499,716,985
2021년03월_계_70~79세,"7,997","1,469","1,390",921,471,344,503,287,247,290,422,401,565,687
2021년03월_계_80~89세,"5,286",752,815,589,437,271,416,235,238,203,350,294,332,354
2021년03월_계_90~99세,847,104,150,88,62,59,67,32,35,29,52,58,63,48
2021년03월_계_100세 이상,24,5,5,2,1,0,1,1,2,0,2,3,1,1
2021년03월_남_총인구수,"25,385","5,531","6,622","2,457","1,092",809,"1,173",707,617,643,"1,039",987,"1,422","2,286"
2021년03월_남_연령구간인구수,"25,385","5,531","6,622","2,457","1,092",809,"1,173",707,617,643,"1,039",987,"1,422","2,286"
2021년03월_남_0~9세,"1,133",271,489,83,30,10,31,24,17,21,15,26,26,90
2021년03월_남_10~19세,"1,763",444,778,108,36,29,49,30,26,17,34,34,48,130
2021년03월_남_20~29세,"2,186",588,732,160,58,52,67,54,31,25,51,64,126,178
2021년03월_남_30~39세,"1,889",461,543,175,71,35,67,45,39,30,58,64,85,216
2021년03월_남_40~49세,"3,103",797,925,300,98,92,115,58,45,63,83,82,149,296
2021년03월_남_50~59세,"4,569","1,080","1,183",458,153,131,199,111,105,108,171,177,263,430
2021년03월_남_60~69세,"5,049",949,"1,004",542,265,183,253,177,155,151,276,251,343,500
2021년03월_남_70~79세,"3,582",631,633,402,208,161,223,131,107,142,208,186,261,289
2021년03월_남_80~89세,"1,906",284,292,213,157,103,151,71,80,83,134,88,106,144
2021년03월_남_90~99세,203,26,42,16,16,13,18,6,12,3,9,14,15,13
2021년03월_남_100세 이상,2,0,1,0,0,0,0,0,0,0,0,1,0,0
2021년03월_여_총인구수,"25,976","5,546","6,928","2,428","1,170",844,"1,324",773,662,610,"1,093","1,042","1,468","2,088"
2021년03월_여_연령구간인구수,"25,976","5,546","6,928","2,428","1,170",844,"1,324",773,662,610,"1,093","1,042","1,468","2,088"
2021년03월_여_0~9세,"1,125",267,495,83,22,18,31,24,14,10,22,22,19,98
2021년03월_여_10~19세,"1,660",408,712,104,23,31,61,37,26,10,33,43,48,124
2021년03월_여_20~29세,"1,583",461,571,118,33,33,54,28,26,12,36,34,65,112
2021년03월_여_30~39세,"1,472",404,553,114,45,22,38,30,25,21,30,38,49,103
2021년03월_여_40~49세,"2,584",727,996,180,56,48,99,37,29,27,66,64,91,164
2021년03월_여_50~59세,"3,807",846,"1,090",333,148,103,163,96,75,71,154,126,244,358
2021년03월_여_60~69세,"5,284","1,044","1,119",527,253,192,283,174,144,165,277,248,373,485
2021년03월_여_70~79세,"4,415",838,757,519,263,183,280,156,140,148,214,215,304,398
2021년03월_여_80~89세,"3,380",468,523,376,280,168,265,164,158,120,216,206,226,210
2021년03월_여_90~99세,644,78,108,72,46,46,49,26,23,26,43,44,48,35
2021년03월_여_100세 이상,22,5,4,2,1,0,1,1,2,0,2,2,1,1
