,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년12월_계_총인구수,"324,580","6,459","81,661","4,194","24,910","20,408","22,608","5,525","6,243","3,040","4,439","19,644","9,344","10,746","36,577","18,557","21,442","28,783"
2021년12월_계_연령구간인구수,"324,580","6,459","81,661","4,194","24,910","20,408","22,608","5,525","6,243","3,040","4,439","19,644","9,344","10,746","36,577","18,557","21,442","28,783"
2021년12월_계_0~9세,"31,531",316,"9,685",168,"3,202","2,428","2,535",136,255,60,104,"1,373",858,403,"3,626","1,404","1,972","3,006"
2021년12월_계_10~19세,"35,511",492,"9,811",362,"3,507","1,862","1,538",257,380,103,168,"2,021",715,787,"4,896","2,342","2,724","3,546"
2021년12월_계_20~29세,"37,503",551,"10,239",288,"3,197","2,129","2,363",410,513,167,332,"2,411","1,106","1,683","4,440","2,137","2,737","2,800"
2021년12월_계_30~39세,"48,272",571,"15,049",268,"4,417","3,484","4,773",404,568,173,302,"2,036","1,682","1,190","4,769","1,978","2,720","3,888"
2021년12월_계_40~49세,"58,246",853,"15,606",525,"5,483","3,603","3,827",536,900,236,385,"3,386","1,512","1,432","6,984","3,390","4,022","5,566"
2021년12월_계_50~59세,"48,416","1,146","10,858",747,"2,833","2,855","3,132",973,"1,176",507,825,"3,302","1,293","2,016","5,531","3,241","3,485","4,496"
2021년12월_계_60~69세,"35,069","1,228","6,173",848,"1,273","2,370","2,525","1,306","1,206",772,"1,035","2,632","1,164","1,735","3,526","2,220","2,090","2,966"
2021년12월_계_70~79세,"18,368",726,"2,749",579,608,"1,015","1,153",835,663,560,710,"1,523",655,964,"1,814","1,190","1,072","1,552"
2021년12월_계_80~89세,"10,192",505,"1,294",353,336,569,650,580,506,414,520,851,305,467,872,568,545,857
2021년12월_계_90~99세,"1,429",68,193,55,53,92,109,86,75,48,55,106,50,65,115,86,70,103
2021년12월_계_100세 이상,43,3,4,1,1,1,3,2,1,0,3,3,4,4,4,1,5,3
2021년12월_남_총인구수,"168,881","3,404","41,883","2,147","13,504","11,083","12,766","2,915","3,484","1,560","2,276","10,281","4,887","5,613","18,327","9,447","11,015","14,289"
2021년12월_남_연령구간인구수,"168,881","3,404","41,883","2,147","13,504","11,083","12,766","2,915","3,484","1,560","2,276","10,281","4,887","5,613","18,327","9,447","11,015","14,289"
2021년12월_남_0~9세,"16,200",162,"4,951",85,"1,662","1,209","1,322",66,139,34,46,706,421,196,"1,880",759,"1,071","1,491"
2021년12월_남_10~19세,"18,274",262,"5,067",190,"1,804",977,775,149,204,55,83,"1,017",389,414,"2,439","1,234","1,432","1,783"
2021년12월_남_20~29세,"20,910",332,"5,360",164,"1,857","1,359","1,430",253,327,87,196,"1,411",582,974,"2,362","1,200","1,537","1,479"
2021년12월_남_30~39세,"25,783",351,"7,778",143,"2,312","1,893","2,854",243,370,109,175,"1,108",929,730,"2,391","1,035","1,442","1,920"
2021년12월_남_40~49세,"31,589",499,"8,209",291,"3,101","2,143","2,442",317,573,153,237,"1,828",871,776,"3,572","1,726","2,031","2,820"
2021년12월_남_50~59세,"26,313",629,"5,728",416,"1,710","1,587","1,799",566,722,300,465,"1,830",697,"1,049","2,902","1,691","1,803","2,419"
2021년12월_남_60~69세,"17,629",629,"3,059",440,656,"1,218","1,359",711,650,375,540,"1,380",586,836,"1,651","1,075","1,020","1,444"
2021년12월_남_70~79세,"8,227",339,"1,240",281,266,495,549,380,304,276,327,661,301,438,773,509,451,637
2021년12월_남_80~89세,"3,632",187,452,125,126,185,214,208,179,159,196,310,104,180,323,202,211,271
2021년12월_남_90~99세,316,14,37,12,9,17,21,21,16,12,10,30,7,19,34,16,17,24
2021년12월_남_100세 이상,8,0,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1
2021년12월_여_총인구수,"155,699","3,055","39,778","2,047","11,406","9,325","9,842","2,610","2,759","1,480","2,163","9,363","4,457","5,133","18,250","9,110","10,427","14,494"
2021년12월_여_연령구간인구수,"155,699","3,055","39,778","2,047","11,406","9,325","9,842","2,610","2,759","1,480","2,163","9,363","4,457","5,133","18,250","9,110","10,427","14,494"
2021년12월_여_0~9세,"15,331",154,"4,734",83,"1,540","1,219","1,213",70,116,26,58,667,437,207,"1,746",645,901,"1,515"
2021년12월_여_10~19세,"17,237",230,"4,744",172,"1,703",885,763,108,176,48,85,"1,004",326,373,"2,457","1,108","1,292","1,763"
2021년12월_여_20~29세,"16,593",219,"4,879",124,"1,340",770,933,157,186,80,136,"1,000",524,709,"2,078",937,"1,200","1,321"
2021년12월_여_30~39세,"22,489",220,"7,271",125,"2,105","1,591","1,919",161,198,64,127,928,753,460,"2,378",943,"1,278","1,968"
2021년12월_여_40~49세,"26,657",354,"7,397",234,"2,382","1,460","1,385",219,327,83,148,"1,558",641,656,"3,412","1,664","1,991","2,746"
2021년12월_여_50~59세,"22,103",517,"5,130",331,"1,123","1,268","1,333",407,454,207,360,"1,472",596,967,"2,629","1,550","1,682","2,077"
2021년12월_여_60~69세,"17,440",599,"3,114",408,617,"1,152","1,166",595,556,397,495,"1,252",578,899,"1,875","1,145","1,070","1,522"
2021년12월_여_70~79세,"10,141",387,"1,509",298,342,520,604,455,359,284,383,862,354,526,"1,041",681,621,915
2021년12월_여_80~89세,"6,560",318,842,228,210,384,436,372,327,255,324,541,201,287,549,366,334,586
2021년12월_여_90~99세,"1,113",54,156,43,44,75,88,65,59,36,45,76,43,46,81,70,53,79
2021년12월_여_100세 이상,35,3,2,1,0,1,2,1,1,0,2,3,4,3,4,1,5,2
