카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2021년05월_계_총인구수,"77,468","33,010","10,066","2,450","3,051","3,132","1,769","2,539","6,674","2,479","4,477","3,482","4,339"
2021년05월_계_연령구간인구수,"77,468","33,010","10,066","2,450","3,051","3,132","1,769","2,539","6,674","2,479","4,477","3,482","4,339"
2021년05월_계_0~9세,"3,503","2,007",559,61,66,78,37,53,257,68,123,98,96
2021년05월_계_10~19세,"5,637","3,330",657,75,161,131,60,132,379,142,247,128,195
2021년05월_계_20~29세,"6,655","3,489","1,119",116,133,168,81,202,467,126,260,208,286
2021년05월_계_30~39세,"5,945","2,808","1,188",139,165,126,78,142,459,139,230,210,261
2021년05월_계_40~49세,"9,288","4,879","1,172",219,274,267,137,233,753,225,411,305,413
2021년05월_계_50~59세,"13,280","5,771","1,538",416,460,533,272,458,"1,291",418,752,580,791
2021년05월_계_60~69세,"15,259","5,555","1,722",600,758,697,491,603,"1,463",568,970,823,"1,009"
2021년05월_계_70~79세,"10,305","3,267","1,165",460,561,581,333,384,912,418,862,624,738
2021년05월_계_80~89세,"6,696","1,678",845,321,415,492,236,289,603,314,558,457,488
2021년05월_계_90~99세,868,217,98,40,55,56,44,40,86,60,62,49,61
2021년05월_계_100세 이상,32,9,3,3,3,3,0,3,4,1,2,0,1
2021년05월_남_총인구수,"38,979","16,425","5,087","1,262","1,549","1,549",888,"1,328","3,323","1,264","2,276","1,770","2,258"
2021년05월_남_연령구간인구수,"38,979","16,425","5,087","1,262","1,549","1,549",888,"1,328","3,323","1,264","2,276","1,770","2,258"
2021년05월_남_0~9세,"1,817","1,046",273,29,39,41,21,29,134,36,63,53,53
2021년05월_남_10~19세,"2,918","1,691",343,38,90,70,36,77,201,72,123,68,109
2021년05월_남_20~29세,"3,785","1,920",616,67,86,91,47,123,285,78,156,135,181
2021년05월_남_30~39세,"3,302","1,487",672,78,98,73,45,87,250,87,138,122,165
2021년05월_남_40~49세,"5,092","2,464",663,157,154,160,84,155,417,134,260,181,263
2021년05월_남_50~59세,"7,157","3,006",806,243,264,308,148,235,675,242,434,338,458
2021년05월_남_60~69세,"7,595","2,685",849,309,389,366,258,321,708,284,488,430,508
2021년05월_남_70~79세,"4,675","1,465",532,216,253,258,159,174,417,194,406,273,328
2021년05월_남_80~89세,"2,423",605,307,120,163,166,86,114,213,119,197,155,178
2021년05월_남_90~99세,210,54,26,4,13,15,4,12,23,18,11,15,15
2021년05월_남_100세 이상,5,2,0,1,0,1,0,1,0,0,0,0,0
2021년05월_여_총인구수,"38,489","16,585","4,979","1,188","1,502","1,583",881,"1,211","3,351","1,215","2,201","1,712","2,081"
2021년05월_여_연령구간인구수,"38,489","16,585","4,979","1,188","1,502","1,583",881,"1,211","3,351","1,215","2,201","1,712","2,081"
2021년05월_여_0~9세,"1,686",961,286,32,27,37,16,24,123,32,60,45,43
2021년05월_여_10~19세,"2,719","1,639",314,37,71,61,24,55,178,70,124,60,86
2021년05월_여_20~29세,"2,870","1,569",503,49,47,77,34,79,182,48,104,73,105
2021년05월_여_30~39세,"2,643","1,321",516,61,67,53,33,55,209,52,92,88,96
2021년05월_여_40~49세,"4,196","2,415",509,62,120,107,53,78,336,91,151,124,150
2021년05월_여_50~59세,"6,123","2,765",732,173,196,225,124,223,616,176,318,242,333
2021년05월_여_60~69세,"7,664","2,870",873,291,369,331,233,282,755,284,482,393,501
2021년05월_여_70~79세,"5,630","1,802",633,244,308,323,174,210,495,224,456,351,410
2021년05월_여_80~89세,"4,273","1,073",538,201,252,326,150,175,390,195,361,302,310
2021년05월_여_90~99세,658,163,72,36,42,41,40,28,63,42,51,34,46
2021년05월_여_100세 이상,27,7,3,2,3,2,0,2,4,1,2,0,1
