카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년06월_계_총인구수,"657,503","256,047","24,278","4,109","4,315","4,351","3,121","2,271","6,045","2,093","5,358","4,272","8,647","9,263","18,097","23,268","44,654","55,323","36,582","401,456","23,962","21,675","19,944","8,505","16,794","25,798","13,890","37,560","18,875","40,542","70,188","46,739","56,984"
2021년06월_계_연령구간인구수,"657,503","256,047","24,278","4,109","4,315","4,351","3,121","2,271","6,045","2,093","5,358","4,272","8,647","9,263","18,097","23,268","44,654","55,323","36,582","401,456","23,962","21,675","19,944","8,505","16,794","25,798","13,890","37,560","18,875","40,542","70,188","46,739","56,984"
2021년06월_계_0~9세,"60,401","19,584","1,633",125,107,123,74,50,239,24,162,158,406,278,"1,071","2,060","4,483","5,807","2,784","40,817","1,130","1,754","1,384",283,816,950,838,"3,292","1,364","5,506","10,390","3,947","9,163"
2021년06월_계_10~19세,"67,839","25,808","2,628",226,194,219,157,85,352,69,270,214,654,647,"1,415","3,198","5,798","6,964","2,718","42,031","2,183","2,330","1,866",531,"1,083","1,274","1,193","4,886","2,347","5,652","9,491","4,104","5,091"
2021년06월_계_20~29세,"95,714","34,823","2,861",378,355,392,229,173,734,135,546,630,"1,052","1,149","2,861","2,713","6,148","6,940","7,527","60,891","2,803","2,560","2,491",892,"2,468","6,490","2,443","5,950","2,632","5,118","8,787","10,189","8,068"
2021년06월_계_30~39세,"103,263","32,323","2,450",319,288,335,174,170,540,91,484,560,838,838,"2,497","2,477","6,611","8,122","5,529","70,940","2,056","2,730","2,671",702,"2,376","5,619","1,838","4,942","2,271","6,700","14,289","9,314","15,432"
2021년06월_계_40~49세,"111,684","42,190","4,381",442,429,511,314,232,725,170,648,563,"1,192","1,317","2,902","4,336","8,913","10,107","5,008","69,494","3,621","4,095","3,647","1,063","2,519","3,805","1,893","6,614","3,106","7,889","14,207","7,479","9,556"
2021년06월_계_50~59세,"102,887","43,318","4,495",744,848,838,588,420,"1,148",412,"1,036",744,"1,719","1,806","3,225","4,027","6,927","8,459","5,882","59,569","4,229","3,695","3,545","1,753","3,191","3,594","2,489","6,635","3,535","5,618","8,791","6,688","5,806"
2021년06월_계_60~69세,"67,529","32,930","3,166",957,"1,070","1,018",782,529,"1,178",535,"1,186",807,"1,524","1,661","2,526","2,565","3,572","5,460","4,394","34,599","4,027","2,603","2,458","1,695","2,529","2,563","2,014","3,367","2,111","2,692","2,877","3,065","2,598"
2021년06월_계_70~79세,"30,319","15,595","1,591",529,572,502,453,336,641,349,665,388,808,989,"1,076","1,239","1,381","2,242","1,834","14,724","2,445","1,189","1,150",949,"1,256",997,768,"1,223",919,898,855,"1,265",810
