,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년12월_계_총인구수,"658,486","255,292","24,376","4,068","4,301","4,349","3,078","2,254","6,149","2,071","5,368","4,230","8,608","9,191","18,018","23,052","44,450","54,874","36,855","403,194","23,797","21,502","20,057","8,420","17,780","25,868","13,796","37,323","18,708","40,497","33,189","37,270","47,267","57,720"
2021년12월_계_연령구간인구수,"658,486","255,292","24,376","4,068","4,301","4,349","3,078","2,254","6,149","2,071","5,368","4,230","8,608","9,191","18,018","23,052","44,450","54,874","36,855","403,194","23,797","21,502","20,057","8,420","17,780","25,868","13,796","37,323","18,708","40,497","33,189","37,270","47,267","57,720"
2021년12월_계_0~9세,"58,699","18,805","1,570",99,106,111,65,46,238,21,179,161,377,262,"1,044","1,973","4,243","5,546","2,764","39,894","1,061","1,653","1,347",272,902,907,800,"3,075","1,289","5,276","3,770","6,452","3,972","9,118"
2021년12월_계_10~19세,"67,655","25,588","2,565",220,178,220,150,79,337,67,273,210,647,630,"1,411","3,171","5,790","6,987","2,653","42,067","2,145","2,312","1,837",503,"1,157","1,182","1,199","4,745","2,291","5,719","4,569","5,097","4,032","5,279"
2021년12월_계_20~29세,"95,113","34,563","2,859",390,326,387,224,171,760,127,554,627,"1,060","1,144","2,767","2,657","6,071","6,794","7,645","60,550","2,770","2,524","2,482",875,"2,669","6,516","2,359","5,967","2,594","5,051","4,690","3,957","10,141","7,955"
2021년12월_계_30~39세,"102,296","31,663","2,409",299,292,311,169,166,564,95,505,571,838,812,"2,472","2,373","6,457","7,778","5,552","70,633","1,980","2,620","2,690",698,"2,616","5,623","1,840","4,908","2,234","6,454","6,099","7,948","9,552","15,371"
2021년12월_계_40~49세,"111,649","41,824","4,297",420,424,506,300,222,736,158,634,575,"1,155","1,292","2,884","4,274","8,840","10,092","5,015","69,825","3,539","4,035","3,659","1,003","2,600","3,813","1,875","6,447","3,020","7,949","6,416","7,984","7,509","9,976"
2021년12월_계_50~59세,"104,130","43,402","4,639",741,835,842,578,407,"1,132",410,"1,003",722,"1,682","1,781","3,205","4,068","7,016","8,497","5,844","60,728","4,258","3,763","3,566","1,757","3,360","3,666","2,434","6,754","3,531","5,804","5,045","3,987","6,834","5,969"
2021년12월_계_60~69세,"69,859","33,990","3,312",982,"1,119","1,040",792,540,"1,233",534,"1,189",801,"1,558","1,702","2,597","2,647","3,733","5,663","4,548","35,869","4,103","2,666","2,540","1,721","2,616","2,646","2,068","3,493","2,195","2,818","1,772","1,273","3,214","2,744"
2021년12월_계_70~79세,"30,759","15,811","1,635",520,564,511,457,342,652,360,672,373,824,974,"1,101","1,230","1,436","2,268","1,892","14,948","2,442","1,200","1,185",936,"1,265","1,006",792,"1,252",932,923,501,374,"1,298",842
2021년12월_계_80~89세,"15,914","8,358",950,336,378,351,287,252,421,256,329,161,403,537,465,577,756,"1,068",831,"7,556","1,334",655,662,555,516,438,368,592,534,433,279,169,628,393
2021년12월_계_90~99세,"2,345","1,254",137,60,76,69,55,29,75,41,30,29,62,57,70,80,105,173,106,"1,091",162,71,86,99,75,68,61,89,86,65,45,27,85,72
2021년12월_계_100세 이상,67,34,3,1,3,1,1,0,1,2,0,0,2,0,2,2,3,8,5,33,3,3,3,1,4,3,0,1,2,5,3,2,2,1
2021년12월_남_총인구수,"336,612","129,399","12,465","2,243","2,173","2,277","1,606","1,232","3,282","1,118","2,800","2,218","4,449","4,716","9,238","11,462","22,750","27,393","17,977","207,213","12,420","11,267","10,926","4,562","9,366","13,987","6,759","18,368","9,060","20,373","16,637","18,624","24,407","30,457"
2021년12월_남_연령구간인구수,"336,612","129,399","12,465","2,243","2,173","2,277","1,606","1,232","3,282","1,118","2,800","2,218","4,449","4,716","9,238","11,462","22,750","27,393","17,977","207,213","12,420","11,267","10,926","4,562","9,366","13,987","6,759","18,368","9,060","20,373","16,637","18,624","24,407","30,457"
