카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년01월_계_총인구수,"30,840","9,991","2,156","2,249","3,587","1,540","1,918","2,327","2,752","2,200","2,120"
2021년01월_계_연령구간인구수,"30,840","9,991","2,156","2,249","3,587","1,540","1,918","2,327","2,752","2,200","2,120"
2021년01월_계_0~9세,"1,259",637,56,74,147,40,53,76,81,51,44
2021년01월_계_10~19세,"2,018",972,88,83,260,85,106,110,100,109,105
2021년01월_계_20~29세,"2,617","1,245",152,149,324,88,120,133,172,125,109
2021년01월_계_30~39세,"2,087",927,109,114,265,75,101,114,136,125,121
2021년01월_계_40~49세,"3,100","1,247",176,217,410,131,169,193,222,167,168
2021년01월_계_50~59세,"5,257","1,671",359,429,610,308,305,369,484,345,377
2021년01월_계_60~69세,"6,199","1,567",468,529,685,331,435,528,609,530,517
2021년01월_계_70~79세,"4,521",994,380,340,504,246,347,455,499,398,358
2021년01월_계_80~89세,"3,310",617,332,281,337,202,245,310,405,303,278
2021년01월_계_90~99세,453,107,36,32,43,34,35,37,44,46,39
2021년01월_계_100세 이상,19,7,0,1,2,0,2,2,0,1,4
2021년01월_남_총인구수,"15,632","5,017","1,078","1,182","1,865",808,986,"1,177","1,365","1,111","1,043"
2021년01월_남_연령구간인구수,"15,632","5,017","1,078","1,182","1,865",808,986,"1,177","1,365","1,111","1,043"
2021년01월_남_0~9세,643,322,30,36,75,27,25,40,41,26,21
2021년01월_남_10~19세,"1,067",491,51,49,144,50,58,53,57,55,59
2021년01월_남_20~29세,"1,518",716,88,89,201,52,71,66,94,75,66
2021년01월_남_30~39세,"1,197",484,65,74,159,42,61,74,87,79,72
2021년01월_남_40~49세,"1,816",658,101,139,234,84,114,134,137,111,104
2021년01월_남_50~59세,"2,864",873,197,246,325,178,180,212,272,182,199
2021년01월_남_60~69세,"3,159",755,248,274,363,181,227,265,309,266,271
2021년01월_남_70~79세,"2,053",472,170,166,225,110,156,198,219,187,150
2021년01월_남_80~89세,"1,183",215,118,100,119,74,83,125,141,115,93
2021년01월_남_90~99세,127,27,10,9,20,10,10,10,8,15,8
2021년01월_남_100세 이상,5,4,0,0,0,0,1,0,0,0,0
2021년01월_여_총인구수,"15,208","4,974","1,078","1,067","1,722",732,932,"1,150","1,387","1,089","1,077"
2021년01월_여_연령구간인구수,"15,208","4,974","1,078","1,067","1,722",732,932,"1,150","1,387","1,089","1,077"
2021년01월_여_0~9세,616,315,26,38,72,13,28,36,40,25,23
2021년01월_여_10~19세,951,481,37,34,116,35,48,57,43,54,46
2021년01월_여_20~29세,"1,099",529,64,60,123,36,49,67,78,50,43
2021년01월_여_30~39세,890,443,44,40,106,33,40,40,49,46,49
2021년01월_여_40~49세,"1,284",589,75,78,176,47,55,59,85,56,64
2021년01월_여_50~59세,"2,393",798,162,183,285,130,125,157,212,163,178
2021년01월_여_60~69세,"3,040",812,220,255,322,150,208,263,300,264,246
2021년01월_여_70~79세,"2,468",522,210,174,279,136,191,257,280,211,208
2021년01월_여_80~89세,"2,127",402,214,181,218,128,162,185,264,188,185
2021년01월_여_90~99세,326,80,26,23,23,24,25,27,36,31,31
2021년01월_여_100세 이상,14,3,0,1,2,0,1,2,0,1,4
