카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년02월_계_총인구수,"62,418","29,381","8,666","2,394","4,464","5,393","5,374","4,442","2,304"
2020년02월_계_연령구간인구수,"62,418","29,381","8,666","2,394","4,464","5,393","5,374","4,442","2,304"
2020년02월_계_0~9세,"3,209","2,270",326,60,135,132,110,127,49
2020년02월_계_10~19세,"4,561","2,971",556,133,199,196,220,186,100
2020년02월_계_20~29세,"5,240","2,990",587,121,505,318,259,334,126
2020년02월_계_30~39세,"5,421","3,366",616,128,280,338,281,285,127
2020년02월_계_40~49세,"7,885","4,533","1,061",236,399,504,543,425,184
2020년02월_계_50~59세,"10,945","4,949","1,563",476,782,"1,012",988,788,387
2020년02월_계_60~69세,"11,619","4,090","1,877",524,986,"1,342","1,294",960,546
2020년02월_계_70~79세,"8,550","2,735","1,391",453,722,975,"1,037",793,444
2020년02월_계_80~89세,"4,379","1,301",586,235,401,512,569,475,300
2020년02월_계_90~99세,586,172,92,28,54,61,72,68,39
2020년02월_계_100세 이상,23,4,11,0,1,3,1,1,2
2020년02월_남_총인구수,"31,524","14,848","4,329","1,147","2,318","2,792","2,659","2,265","1,166"
2020년02월_남_연령구간인구수,"31,524","14,848","4,329","1,147","2,318","2,792","2,659","2,265","1,166"
2020년02월_남_0~9세,"1,603","1,148",163,22,59,62,58,63,28
2020년02월_남_10~19세,"2,382","1,533",306,59,107,113,112,98,54
2020년02월_남_20~29세,"3,057","1,694",334,66,356,205,144,193,65
2020년02월_남_30~39세,"3,029","1,805",344,69,162,217,172,181,79
2020년02월_남_40~49세,"4,503","2,423",607,147,250,333,345,267,131
2020년02월_남_50~59세,"5,718","2,515",836,255,398,543,522,429,220
2020년02월_남_60~69세,"5,582","1,973",874,251,497,644,616,465,262
2020년02월_남_70~79세,"3,983","1,277",638,197,332,460,480,385,214
2020년02월_남_80~89세,"1,541",442,205,76,142,200,197,170,109
2020년02월_남_90~99세,122,38,20,5,14,15,13,13,4
2020년02월_남_100세 이상,4,0,2,0,1,0,0,1,0
2020년02월_여_총인구수,"30,894","14,533","4,337","1,247","2,146","2,601","2,715","2,177","1,138"
2020년02월_여_연령구간인구수,"30,894","14,533","4,337","1,247","2,146","2,601","2,715","2,177","1,138"
2020년02월_여_0~9세,"1,606","1,122",163,38,76,70,52,64,21
2020년02월_여_10~19세,"2,179","1,438",250,74,92,83,108,88,46
2020년02월_여_20~29세,"2,183","1,296",253,55,149,113,115,141,61
2020년02월_여_30~39세,"2,392","1,561",272,59,118,121,109,104,48
2020년02월_여_40~49세,"3,382","2,110",454,89,149,171,198,158,53
2020년02월_여_50~59세,"5,227","2,434",727,221,384,469,466,359,167
2020년02월_여_60~69세,"6,037","2,117","1,003",273,489,698,678,495,284
2020년02월_여_70~79세,"4,567","1,458",753,256,390,515,557,408,230
2020년02월_여_80~89세,"2,838",859,381,159,259,312,372,305,191
2020년02월_여_90~99세,464,134,72,23,40,46,59,55,35
2020년02월_여_100세 이상,19,4,9,0,0,3,1,0,2
