,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년06월_계_총인구수,"61,867","29,411","8,535","2,345","4,272","5,382","5,355","4,333","2,234"
2021년06월_계_연령구간인구수,"61,867","29,411","8,535","2,345","4,272","5,382","5,355","4,333","2,234"
2021년06월_계_0~9세,"2,957","2,106",306,65,112,120,99,106,43
2021년06월_계_10~19세,"4,301","2,852",544,124,163,194,180,155,89
2021년06월_계_20~29세,"4,828","2,921",527,89,386,257,244,288,116
2021년06월_계_30~39세,"4,836","3,097",524,111,242,292,227,239,104
2021년06월_계_40~49세,"7,588","4,433",975,243,404,469,513,363,188
2021년06월_계_50~59세,"10,597","4,915","1,518",411,711,987,947,767,341
2021년06월_계_60~69세,"12,589","4,552","1,967",565,"1,050","1,441","1,412","1,048",554
2021년06월_계_70~79세,"8,919","2,960","1,452",443,720,"1,028","1,061",799,456
2021년06월_계_80~89세,"4,567","1,384",602,270,420,513,594,483,301
2021년06월_계_90~99세,662,187,110,23,62,78,78,83,41
2021년06월_계_100세 이상,23,4,10,1,2,3,0,2,1
2021년06월_남_총인구수,"31,177","14,849","4,235","1,130","2,196","2,754","2,650","2,217","1,146"
2021년06월_남_연령구간인구수,"31,177","14,849","4,235","1,130","2,196","2,754","2,650","2,217","1,146"
2021년06월_남_0~9세,"1,476","1,059",154,23,50,56,54,55,25
2021년06월_남_10~19세,"2,236","1,468",300,53,91,104,93,81,46
2021년06월_남_20~29세,"2,831","1,679",308,54,254,160,129,182,65
2021년06월_남_30~39세,"2,664","1,664",267,61,141,188,129,149,65
2021년06월_남_40~49세,"4,272","2,354",551,146,255,302,324,211,129
2021년06월_남_50~59세,"5,609","2,517",811,228,370,538,515,429,201
2021년06월_남_60~69세,"6,090","2,192",920,272,524,697,690,517,278
2021년06월_남_70~79세,"4,239","1,400",690,197,344,493,493,398,224
2021년06월_남_80~89세,"1,614",468,211,91,148,200,210,178,108
2021년06월_남_90~99세,138,48,18,5,17,16,13,16,5
2021년06월_남_100세 이상,8,0,5,0,2,0,0,1,0
2021년06월_여_총인구수,"30,690","14,562","4,300","1,215","2,076","2,628","2,705","2,116","1,088"
2021년06월_여_연령구간인구수,"30,690","14,562","4,300","1,215","2,076","2,628","2,705","2,116","1,088"
2021년06월_여_0~9세,"1,481","1,047",152,42,62,64,45,51,18
2021년06월_여_10~19세,"2,065","1,384",244,71,72,90,87,74,43
2021년06월_여_20~29세,"1,997","1,242",219,35,132,97,115,106,51
2021년06월_여_30~39세,"2,172","1,433",257,50,101,104,98,90,39
2021년06월_여_40~49세,"3,316","2,079",424,97,149,167,189,152,59
2021년06월_여_50~59세,"4,988","2,398",707,183,341,449,432,338,140
2021년06월_여_60~69세,"6,499","2,360","1,047",293,526,744,722,531,276
2021년06월_여_70~79세,"4,680","1,560",762,246,376,535,568,401,232
2021년06월_여_80~89세,"2,953",916,391,179,272,313,384,305,193
2021년06월_여_90~99세,524,139,92,18,45,62,65,67,36
2021년06월_여_100세 이상,15,4,5,1,0,3,0,1,1
