,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년12월_계_총인구수,"1,597,427","848,482","193,827","192,899","267,429","194,327","209,358","131,591","31,878","50,093","45,773","36,426","85,176","38,122","92,197","28,331"
2021년12월_계_연령구간인구수,"1,597,427","848,482","193,827","192,899","267,429","194,327","209,358","131,591","31,878","50,093","45,773","36,426","85,176","38,122","92,197","28,331"
2021년12월_계_0~9세,"116,975","71,136","15,904","12,811","23,434","18,987","13,756","8,188","1,334","2,397","2,087","2,947","7,389","1,248","5,407","1,086"
2021년12월_계_10~19세,"146,411","84,739","19,650","19,409","26,297","19,383","18,472","11,339","2,017","3,763","3,195","3,337","8,353","1,942","7,394","1,860"
2021년12월_계_20~29세,"194,415","118,755","24,415","28,114","40,499","25,727","23,613","14,271","2,247","4,111","3,814","4,412","9,223","2,757","9,161","2,051"
2021년12월_계_30~39세,"190,607","117,775","23,399","22,254","41,340","30,782","22,837","12,312","2,016","3,681","2,963","4,408","11,398","2,291","9,120","1,806"
2021년12월_계_40~49세,"237,327","135,963","30,482","29,693","43,211","32,577","30,153","17,667","3,135","6,025","4,956","5,442","13,827","3,756","13,343","3,060"
2021년12월_계_50~59세,"270,874","137,868","33,421","33,740","42,996","27,711","37,001","23,490","5,605","8,818","8,088","6,038","13,912","7,313","17,395","5,346"
2021년12월_계_60~69세,"241,697","105,609","26,351","27,020","30,094","22,144","34,440","24,399","7,353","10,447","9,767","5,394","11,395","9,494","16,580","6,819"
2021년12월_계_70~79세,"120,068","47,969","12,455","12,532","12,507","10,475","17,156","12,298","4,423","6,362","6,365","2,701","5,523","5,345","8,149","3,777"
2021년12월_계_80~89세,"69,193","25,055","6,752","6,424","6,154","5,725","10,516","6,751","3,220","3,865","3,995","1,551","3,654","3,477","4,885","2,224"
2021년12월_계_90~99세,"9,592","3,517",972,882,877,786,"1,384",838,514,611,528,193,488,484,744,291
2021년12월_계_100세 이상,268,96,26,20,20,30,30,38,14,13,15,3,14,15,19,11
2021년12월_남_총인구수,"810,672","427,881","96,267","95,958","135,780","99,876","105,932","66,170","16,074","25,242","22,810","18,993","44,715","19,612","48,883","14,360"
2021년12월_남_연령구간인구수,"810,672","427,881","96,267","95,958","135,780","99,876","105,932","66,170","16,074","25,242","22,810","18,993","44,715","19,612","48,883","14,360"
2021년12월_남_0~9세,"59,729","36,275","8,074","6,537","11,939","9,725","6,926","4,203",691,"1,235","1,068","1,535","3,798",627,"2,802",569
2021년12월_남_10~19세,"76,037","43,888","10,160","10,102","13,593","10,033","9,592","5,873","1,063","2,003","1,668","1,743","4,339",994,"3,875",999
2021년12월_남_20~29세,"108,354","64,833","13,178","15,267","22,007","14,381","13,617","8,006","1,353","2,337","2,139","2,630","5,354","1,616","5,286","1,183"
2021년12월_남_30~39세,"101,877","62,127","11,948","11,664","21,854","16,661","12,438","6,516","1,089","1,899","1,572","2,455","6,303","1,305","5,197",976
2021년12월_남_40~49세,"122,922","68,928","15,118","14,660","21,951","17,199","15,525","9,079","1,746","3,238","2,671","2,924","7,502","2,161","7,465","1,683"
2021년12월_남_50~59세,"139,540","69,055","16,635","16,620","21,557","14,243","18,944","12,031","3,119","4,747","4,326","3,186","7,635","3,982","9,662","2,853"
2021년12월_남_60~69세,"121,418","51,795","13,030","13,055","14,876","10,834","17,236","12,194","3,784","5,341","5,045","2,708","5,867","5,056","8,855","3,537"
2021년12월_남_70~79세,"54,663","21,649","5,611","5,595","5,708","4,735","7,687","5,611","2,031","2,980","2,812","1,234","2,559","2,532","3,877","1,691"
2021년12월_남_80~89세,"24,012","8,613","2,301","2,282","2,128","1,902","3,645","2,456","1,080","1,315","1,394",533,"1,256","1,231","1,695",794
2021년12월_남_90~99세,"2,081",707,210,174,164,159,318,196,118,146,113,45,97,105,163,73
2021년12월_남_100세 이상,39,11,2,2,3,4,4,5,0,1,2,0,5,3,6,2
2021년12월_여_총인구수,"786,755","420,601","97,560","96,941","131,649","94,451","103,426","65,421","15,804","24,851","22,963","17,433","40,461","18,510","43,314","13,971"
2021년12월_여_연령구간인구수,"786,755","420,601","97,560","96,941","131,649","94,451","103,426","65,421","15,804","24,851","22,963","17,433","40,461","18,510","43,314","13,971"
2021년12월_여_0~9세,"57,246","34,861","7,830","6,274","11,495","9,262","6,830","3,985",643,"1,162","1,019","1,412","3,591",621,"2,605",517
2021년12월_여_10~19세,"70,374","40,851","9,490","9,307","12,704","9,350","8,880","5,466",954,"1,760","1,527","1,594","4,014",948,"3,519",861
2021년12월_여_20~29세,"86,061","53,922","11,237","12,847","18,492","11,346","9,996","6,265",894,"1,774","1,675","1,782","3,869","1,141","3,875",868
2021년12월_여_30~39세,"88,730","55,648","11,451","10,590","19,486","14,121","10,399","5,796",927,"1,782","1,391","1,953","5,095",986,"3,923",830
2021년12월_여_40~49세,"114,405","67,035","15,364","15,033","21,260","15,378","14,628","8,588","1,389","2,787","2,285","2,518","6,325","1,595","5,878","1,377"
2021년12월_여_50~59세,"131,334","68,813","16,786","17,120","21,439","13,468","18,057","11,459","2,486","4,071","3,762","2,852","6,277","3,331","7,733","2,493"
2021년12월_여_60~69세,"120,279","53,814","13,321","13,965","15,218","11,310","17,204","12,205","3,569","5,106","4,722","2,686","5,528","4,438","7,725","3,282"
2021년12월_여_70~79세,"65,405","26,320","6,844","6,937","6,799","5,740","9,469","6,687","2,392","3,382","3,553","1,467","2,964","2,813","4,272","2,086"
2021년12월_여_80~89세,"45,181","16,442","4,451","4,142","4,026","3,823","6,871","4,295","2,140","2,550","2,601","1,018","2,398","2,246","3,190","1,430"
2021년12월_여_90~99세,"7,511","2,810",762,708,713,627,"1,066",642,396,465,415,148,391,379,581,218
2021년12월_여_100세 이상,229,85,24,18,17,26,26,33,14,12,13,3,9,12,13,9
