카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2021년02월_계_총인구수,"38,009","10,005","2,137","1,960","2,348","3,122","2,187","5,130","3,460","2,783","2,077","2,800"
2021년02월_계_연령구간인구수,"38,009","10,005","2,137","1,960","2,348","3,122","2,187","5,130","3,460","2,783","2,077","2,800"
2021년02월_계_0~9세,"1,302",612,66,50,42,76,45,112,97,75,55,72
2021년02월_계_10~19세,"2,026",904,125,62,91,137,100,209,124,107,62,105
2021년02월_계_20~29세,"2,963","1,255",129,114,124,225,148,268,205,217,120,158
2021년02월_계_30~39세,"2,435",974,119,78,112,200,124,233,184,155,123,133
2021년02월_계_40~49세,"3,874","1,484",171,160,199,306,194,395,295,274,167,229
2021년02월_계_50~59세,"7,295","1,687",418,439,431,666,439,"1,071",691,533,378,542
2021년02월_계_60~69세,"8,815","1,552",538,522,659,712,533,"1,400",916,647,597,739
2021년02월_계_70~79세,"5,434",962,314,294,385,481,344,870,523,460,338,463
2021년02월_계_80~89세,"3,385",520,226,212,265,287,221,491,365,284,196,318
2021년02월_계_90~99세,451,51,31,29,37,31,37,76,56,30,36,37
2021년02월_계_100세 이상,29,4,0,0,3,1,2,5,4,1,5,4
2021년02월_남_총인구수,"19,521","5,118","1,123",991,"1,210","1,584","1,100","2,648","1,764","1,443","1,074","1,466"
2021년02월_남_연령구간인구수,"19,521","5,118","1,123",991,"1,210","1,584","1,100","2,648","1,764","1,443","1,074","1,466"
2021년02월_남_0~9세,647,309,33,28,20,30,22,54,46,38,27,40
2021년02월_남_10~19세,"1,058",471,65,34,50,73,44,114,63,51,33,60
2021년02월_남_20~29세,"1,760",723,74,69,74,117,89,177,127,137,71,102
2021년02월_남_30~39세,"1,369",514,72,47,71,118,68,124,103,88,81,83
2021년02월_남_40~49세,"2,237",804,106,84,120,183,115,227,175,166,107,150
2021년02월_남_50~59세,"3,957",911,236,244,220,370,238,588,384,297,188,281
2021년02월_남_60~69세,"4,648",762,293,279,364,386,272,747,481,348,323,393
2021년02월_남_70~79세,"2,543",421,148,126,182,220,178,419,248,210,171,220
2021년02월_남_80~89세,"1,197",189,90,75,101,79,66,182,121,101,64,129
2021년02월_남_90~99세,97,13,6,5,7,8,8,15,15,6,9,5
2021년02월_남_100세 이상,8,1,0,0,1,0,0,1,1,1,0,3
2021년02월_여_총인구수,"18,488","4,887","1,014",969,"1,138","1,538","1,087","2,482","1,696","1,340","1,003","1,334"
2021년02월_여_연령구간인구수,"18,488","4,887","1,014",969,"1,138","1,538","1,087","2,482","1,696","1,340","1,003","1,334"
2021년02월_여_0~9세,655,303,33,22,22,46,23,58,51,37,28,32
2021년02월_여_10~19세,968,433,60,28,41,64,56,95,61,56,29,45
2021년02월_여_20~29세,"1,203",532,55,45,50,108,59,91,78,80,49,56
2021년02월_여_30~39세,"1,066",460,47,31,41,82,56,109,81,67,42,50
2021년02월_여_40~49세,"1,637",680,65,76,79,123,79,168,120,108,60,79
2021년02월_여_50~59세,"3,338",776,182,195,211,296,201,483,307,236,190,261
2021년02월_여_60~69세,"4,167",790,245,243,295,326,261,653,435,299,274,346
2021년02월_여_70~79세,"2,891",541,166,168,203,261,166,451,275,250,167,243
2021년02월_여_80~89세,"2,188",331,136,137,164,208,155,309,244,183,132,189
2021년02월_여_90~99세,354,38,25,24,30,23,29,61,41,24,27,32
2021년02월_여_100세 이상,21,3,0,0,2,1,2,4,3,0,5,1
